optimizer,batch_size,scaled_lr,acc_mean,acc_std,loss_mean,loss_std,n,score
Adam,32,0.00125,97.4325,0.0932291084729771,0.058219564190789774,0.0008409737012299081,4,96.9108060213899
Adam,256,0.01,96.405,0.12013880860627103,0.09657824051155928,0.0028476723813325925,4,95.56029079074376
Adam,512,0.02,95.59,0.5189091121445724,0.11887889011886035,0.007158803119683304,4,94.32762341176237
AdamW,32,0.00125,97.48,0.3205204101665459,0.05359607061992685,0.0009823832851499892,4,96.85891918894066
AdamW,256,0.01,96.3,0.29653555155045785,0.08634212225348953,0.005862367518966859,4,95.43134169104181
AdamW,512,0.02,96.1825,0.5050660022874849,0.10384676188125078,0.0063440138322276175,4,95.04868630357751
SGD,32,0.00125,90.89750000000001,0.24635678733630542,0.34909439864910485,0.007862036781705236,4,87.95693073840539
SGD,512,0.02,90.715,0.11090536506408995,0.3537298594162149,0.00244140018225817,4,87.81861790563184
SGD,256,0.01,90.6675,0.24198829172779313,0.356263180691484,0.0072757253158346235,4,87.67220157943146
SGD_Momentum,256,0.01,96.4575,0.053150729063671256,0.11812595596704714,0.0017904014936177995,4,95.48060191482541
SGD_Momentum,32,0.00125,96.4425,0.08381527307119617,0.11718237844598695,0.001295431149162534,4,95.45475180858938
SGD_Momentum,512,0.02,96.31,0.19096247449870282,0.12259521665719317,0.001990599192940873,4,95.21466078204323
