dataset,optimizer,batch_size,seed,base_lr,scaled_lr,final_loss,final_test_acc
MNIST,SGD,32,42,0.01,0.00125,0.34746409030587044,90.87
MNIST,SGD_Momentum,32,42,0.01,0.00125,0.1177351837977767,96.52
MNIST,Adam,32,42,0.01,0.00125,0.058764242751865786,97.38
MNIST,AdamW,32,42,0.01,0.00125,0.05248090931612432,97.8
MNIST,SGD,256,42,0.01,0.01,0.3627324902333354,90.55
MNIST,SGD_Momentum,256,42,0.01,0.01,0.11657640682224414,96.52
MNIST,Adam,256,42,0.01,0.01,0.09434995996231717,96.56
MNIST,AdamW,256,42,0.01,0.01,0.08229292346544176,96.05
MNIST,SGD,512,42,0.01,0.02,0.3524433579647316,90.85
MNIST,SGD_Momentum,512,42,0.01,0.02,0.12370919309697061,96.25
MNIST,Adam,512,42,0.01,0.02,0.11460234446205059,96.04
MNIST,AdamW,512,42,0.01,0.02,0.11207355776766562,95.52
MNIST,SGD,32,123,0.01,0.00125,0.35952842652894806,90.62
MNIST,SGD_Momentum,32,123,0.01,0.00125,0.11841361624270377,96.43
MNIST,Adam,32,123,0.01,0.00125,0.057410721848354676,97.57
MNIST,AdamW,32,123,0.01,0.00125,0.05485272574409792,97.49
MNIST,SGD,256,123,0.01,0.01,0.357336196712973,90.4
MNIST,SGD_Momentum,256,123,0.01,0.01,0.11786692169322786,96.39
MNIST,Adam,256,123,0.01,0.01,0.10052237298639748,96.43
MNIST,AdamW,256,123,0.01,0.01,0.08385012562770697,96.73
MNIST,SGD,512,123,0.01,0.02,0.35094616997916744,90.73
MNIST,SGD_Momentum,512,123,0.01,0.02,0.12044654716298266,96.42
MNIST,Adam,512,123,0.01,0.02,0.12944553806534354,94.89
MNIST,AdamW,512,123,0.01,0.02,0.10080207803479906,96.1
MNIST,SGD,32,456,0.01,0.00125,0.340499968956538,91.22
MNIST,SGD_Momentum,32,456,0.01,0.00125,0.11538994576013978,96.33
MNIST,Adam,32,456,0.01,0.00125,0.057598015410325325,97.37
MNIST,AdamW,32,456,0.01,0.00125,0.05334861254481378,97.04
MNIST,SGD,256,456,0.01,0.01,0.3458828625238337,90.95
MNIST,SGD_Momentum,256,456,0.01,0.01,0.12069050732876452,96.46
MNIST,Adam,256,456,0.01,0.01,0.09463998476723076,96.35
MNIST,AdamW,256,456,0.01,0.01,0.09504882067936292,96.22
MNIST,SGD,512,456,0.01,0.02,0.3554534546609195,90.58
MNIST,SGD_Momentum,512,456,0.01,0.02,0.1247700366349715,96.07
MNIST,Adam,512,456,0.01,0.02,0.11431612931894806,95.51
MNIST,AdamW,512,456,0.01,0.02,0.10515199394299174,96.41
MNIST,SGD,32,789,0.01,0.00125,0.3488851088050629,90.88
MNIST,SGD_Momentum,32,789,0.01,0.00125,0.11719076798332775,96.49
MNIST,Adam,32,789,0.01,0.00125,0.05910527675261352,97.41
MNIST,AdamW,32,789,0.01,0.00125,0.05370203487467156,97.59
MNIST,SGD,256,789,0.01,0.01,0.35910117329579394,90.77
MNIST,SGD_Momentum,256,789,0.01,0.01,0.11736998802395228,96.46
MNIST,Adam,256,789,0.01,0.01,0.09680064433029195,96.28
MNIST,AdamW,256,789,0.01,0.01,0.08417661924144668,96.2
MNIST,SGD,512,789,0.01,0.02,0.35607645506004115,90.7
MNIST,SGD_Momentum,512,789,0.01,0.02,0.12145508973384803,96.5
MNIST,Adam,512,789,0.01,0.02,0.11715154862909946,95.92
MNIST,AdamW,512,789,0.01,0.02,0.09735941777954686,96.7
