epoch,train_loss,train_acc,val_loss,val_acc,test_loss,test_acc,grad_norm,effective_batch_size,original_batch_size,elapsed_seconds,learning_rate,grad_noise_var
1,1.2703725060015494,75.38666666666667,0.5369384536083709,89.06666666666666,0.5369384536083709,89.06666666666666,0.7208415579487006,128,128,28.281420469284058,0.05,
2,0.5145434023927173,79.79333333333334,0.5794903128705127,86.4,0.5794903128705127,86.4,1.1861315914461006,128,128,57.271063566207886,0.04995116152859972,
3,0.5396434630827881,79.45666666666666,0.6646558033659103,88.03333333333333,0.6646558033659103,88.03333333333333,1.267556192420874,128,128,86.06285572052002,0.04980483885753333,
4,0.54442830313156,79.65,0.6325358875254368,87.18333333333334,0.6325358875254368,87.18333333333334,2.0864311291024866,128,128,115.06577563285828,0.049561609455535054,
5,0.5275562028466808,79.78833333333333,0.5366260961015173,88.43333333333334,0.5366260961015173,88.43333333333334,2.6700300547982736,128,128,143.92735195159912,0.04922243323793362,
6,0.560148668656417,79.09166666666667,0.6971815653303837,84.4,0.6971815653303837,84.4,0.6613945344874483,128,128,172.8873519897461,0.048788648778305056,
7,0.6537878034521618,75.03333333333333,1.0409716951086165,81.1,1.0409716951086165,81.1,0.7267798984534007,128,128,201.96682167053223,0.04826196802573422,
8,0.627718624557364,76.73,0.7425717825585223,83.71666666666667,0.7425717825585223,83.71666666666667,0.8803358500671552,128,128,231.55435729026794,0.047644469548533984,
9,0.6049989243678007,76.52666666666667,0.7884017894876764,83.4,0.7884017894876764,83.4,0.6114697091678792,128,128,260.6664228439331,0.046938590331085626,
10,0.5859172927895429,77.69833333333334,0.9121817502569645,85.66666666666667,0.4677621269999426,90.08,0.3683601716092919,128,128,296.86584734916687,0.046147116156174874,0.634985625743866
