epoch,train_loss,train_acc,val_loss,val_acc,test_loss,test_acc,grad_norm,effective_batch_size,original_batch_size,elapsed_seconds,learning_rate,grad_noise_var
1,1.940038826793291,47.531666666666666,1.5904463884678293,69.78333333333333,1.5904463884678293,69.78333333333333,1.9695032257974432,128,128,50.252806425094604,0.001,
2,1.3138413923611574,67.54833333333333,1.0868304726925302,78.53333333333333,1.0868304726925302,78.53333333333333,1.4884460287896073,128,128,93.36754155158997,0.0009990232305719944,
3,0.9367530454674038,72.88666666666667,0.8248050390405858,82.1,0.8248050390405858,82.1,1.5437062000636317,128,128,134.3609757423401,0.0009960967771506667,
4,0.7415795204763729,75.4,0.6850837912965329,84.6,0.6850837912965329,84.6,1.2857779572842458,128,128,174.0379114151001,0.000991232189110701,
5,0.6319594350753802,76.91666666666667,0.6010604209088265,85.66666666666667,0.6010604209088265,85.66666666666667,1.4569080141237565,128,128,213.67567992210388,0.0009844486647586723,
6,0.5630332956805614,77.84833333333333,0.5460486095002357,86.31666666666666,0.5460486095002357,86.31666666666666,1.415885124755617,128,128,253.25634741783142,0.0009757729755661011,
7,0.5157845618459286,78.58166666666666,0.5064384360262688,87.11666666666666,0.5064384360262688,87.11666666666666,1.1751104031739301,128,128,292.22652220726013,0.0009652393605146844,
8,0.4816298501045218,79.13166666666666,0.4774714854169399,87.51666666666667,0.4774714854169399,87.51666666666667,1.4324655906491888,128,128,331.810861825943,0.0009528893909706797,
9,0.45552711810263413,79.49166666666666,0.4549142724656044,87.98333333333333,0.4549142724656044,87.98333333333333,1.4415911234512662,128,128,370.64298820495605,0.0009387718066217125,
10,0.4351453395533901,79.815,0.43724528969602383,88.26666666666667,0.43724528969602383,88.26666666666667,1.479104968365873,128,128,416.97370886802673,0.0009229423231234975,0.9045050144195557
11,0.41872788344231826,80.08833333333334,0.4225403032404311,88.46666666666667,0.4225403032404311,88.46666666666667,1.5774514388376402,128,128,455.95349621772766,0.000905463412215599,
12,0.40502897988987197,80.29166666666667,0.41013180955927425,88.83333333333333,0.41013180955927425,88.83333333333333,1.008018128265712,128,128,495.87273955345154,0.0008864040551740157,
13,0.3935957037230238,80.46333333333334,0.39997432016311807,88.91666666666667,0.39997432016311807,88.91666666666667,1.1575798998771942,128,128,535.6061661243439,0.0008658394705735987,
14,0.3838224138058192,80.63,0.39106197369859574,89.16666666666667,0.39106197369859574,89.16666666666667,1.307331115479941,128,128,575.5338397026062,0.0008438508174347009,
15,0.37532873734196215,80.765,0.38362249732017517,89.3,0.38362249732017517,89.3,1.5101179892238212,128,128,616.3489618301392,0.0008205248749256015,
16,0.3679026768882693,80.915,0.376559445832638,89.43333333333334,0.376559445832638,89.43333333333334,1.2568110867963411,128,128,657.9286794662476,0.0007959536998847743,
17,0.3613278649005845,81.07166666666667,0.3703841827017196,89.6,0.3703841827017196,89.6,1.5550051496598567,128,128,707.9053447246552,0.0007702342635146033,
18,0.3554578941156514,81.14,0.3651223838963407,89.61666666666666,0.3651223838963407,89.61666666666666,1.1639932556434722,128,128,749.3432776927948,0.000743468068680349,
19,0.3502153199148404,81.27666666666667,0.3605473561489836,89.65,0.3605473561489836,89.65,1.4054324886921328,128,128,789.1807315349579,0.000715760749324711,
20,0.34554893322183056,81.36833333333334,0.35592352075779693,89.78333333333333,0.35592352075779693,89.78333333333333,1.2474341599291463,128,128,842.4514737129211,0.0006872216535789157,0.8167508840560913
21,0.3412760101364687,81.455,0.3518756700957075,89.95,0.3518756700957075,89.95,1.1379818117390277,128,128,908.9310522079468,0.000657963412215599,
22,0.33732260858984353,81.55333333333333,0.34830012220017453,90.0,0.34830012220017453,90.0,1.4622473702339054,128,128,958.1352274417877,0.000628101494146603,
23,0.3338615151025108,81.635,0.3450790133247984,90.1,0.3450790133247984,90.1,0.9768668565477332,128,128,1000.5896420478821,0.0005977537507199338,
24,0.33063881893717284,81.70666666666666,0.34208397091703213,90.18333333333334,0.34208397091703213,90.18333333333334,1.148456152064174,128,128,1043.0867383480072,0.0005670399506143307,
