epoch,train_loss,train_acc,val_loss,val_acc,test_loss,test_acc,grad_norm,effective_batch_size,original_batch_size,elapsed_seconds,learning_rate,grad_noise_var
1,1.9751797756312583,44.568333333333335,1.6217269390187365,70.35,1.6217269390187365,70.35,1.6378860198519278,128,128,28.96134924888611,0.001,
2,1.343203311565363,67.51833333333333,1.0967529276584058,79.41666666666667,1.0967529276584058,79.41666666666667,1.4150037183371584,128,128,58.39773082733154,0.0009990232305719944,
3,0.9504876769549474,73.27333333333333,0.8163380635545608,83.45,0.8163380635545608,83.45,1.4095901884915965,128,128,89.44865012168884,0.0009960967771506667,
4,0.7454182879902175,75.83333333333333,0.6683130708146603,85.66666666666667,0.6683130708146603,85.66666666666667,1.166952613847866,128,128,117.63253903388977,0.000991232189110701,
5,0.6315833065323355,77.11333333333333,0.581190197391713,86.93333333333334,0.581190197391713,86.93333333333334,1.083098307448184,128,128,146.6190276145935,0.0009844486647586723,
6,0.5612901413892682,77.88,0.5247950496825766,87.71666666666667,0.5247950496825766,87.71666666666667,1.1526136490936043,128,128,175.62525057792664,0.0009757729755661011,
7,0.5139105842576772,78.45833333333333,0.4855140967571989,88.28333333333333,0.4855140967571989,88.28333333333333,1.181366629577867,128,128,204.15814924240112,0.0009652393605146844,
8,0.4798504778700417,78.99333333333334,0.4568021297454834,88.63333333333334,0.4568021297454834,88.63333333333334,0.9985798755646669,128,128,233.44963884353638,0.0009528893909706797,
9,0.45424025022023096,79.34833333333333,0.4346498910416948,88.93333333333334,0.4346498910416948,88.93333333333334,1.2188522188983775,128,128,261.3754689693451,0.0009387718066217125,
10,0.43416339003644283,79.635,0.41706774336226443,89.3,0.41706774336226443,89.3,1.1173755895257254,128,128,297.2741868495941,0.0009229423231234975,0.9687918424606323
11,0.4180114982534924,79.905,0.4025470887092834,89.53333333333333,0.4025470887092834,89.53333333333333,1.0993238184466094,128,128,326.20346570014954,0.000905463412215599,
12,0.4047145787714782,80.11,0.3907474850086456,89.71666666666667,0.3907474850086456,89.71666666666667,1.250501101841785,128,128,354.32479524612427,0.0008864040551740157,
13,0.3934642986098737,80.29666666666667,0.3807060090785331,89.76666666666667,0.3807060090785331,89.76666666666667,0.9069628546632875,128,128,383.2513418197632,0.0008658394705735987,
14,0.3838935321399951,80.45833333333333,0.37215790850050906,90.03333333333333,0.37215790850050906,90.03333333333333,1.102933873632754,128,128,412.3081865310669,0.0008438508174347009,
15,0.3756127721184238,80.60666666666667,0.3647391764407462,90.1,0.3647391764407462,90.1,1.504224056452846,128,128,440.97138142585754,0.0008205248749256015,
16,0.3683016215808584,80.74166666666666,0.35821935534477234,90.2,0.35821935534477234,90.2,0.8422068493905904,128,128,469.6237463951111,0.0007959536998847743,
17,0.3619822641896411,80.90833333333333,0.35241539047119463,90.3,0.35241539047119463,90.3,0.7952560261288374,128,128,498.76412200927734,0.0007702342635146033,
18,0.35628147677505184,81.02,0.34738992883804,90.38333333333334,0.34738992883804,90.38333333333334,0.7887868585628728,128,128,528.7627928256989,0.000743468068680349,
19,0.3512224785242036,81.14,0.3429015126634151,90.45,0.3429015126634151,90.45,0.8590353562119405,128,128,557.9250018596649,0.000715760749324711,
20,0.3466680015644756,81.24333333333334,0.3386918068566221,90.5,0.3386918068566221,90.5,1.0886847968697402,128,128,594.1926119327545,0.0006872216535789157,0.9419189095497131
21,0.3425478636159151,81.34333333333333,0.33504946878615843,90.58333333333333,0.33504946878615843,90.58333333333333,0.9258873434031687,128,128,622.9732975959778,0.000657963412215599,
22,0.33880818049065875,81.40333333333334,0.331595057502706,90.66666666666667,0.331595057502706,90.66666666666667,1.081311827392826,128,128,652.1950881481171,0.000628101494146603,
23,0.3354639173330854,81.50666666666666,0.32832330528725967,90.73333333333333,0.32832330528725967,90.73333333333333,1.1531579243037704,128,128,681.7757036685944,0.0005977537507199338,
24,0.3323251234623493,81.56333333333333,0.32566856133176925,90.83333333333333,0.32566856133176925,90.83333333333333,0.9473329734365987,128,128,734.7763288021088,0.0005670399506143307,
25,0.3295257199220183,81.60666666666667,0.3231406674740162,90.85,0.3231406674740162,90.85,1.1960895873247814,128,128,771.7604897022247,0.0005360813071670102,
26,0.32702587322459964,81.69833333333334,0.32081503341806694,90.9,0.32081503341806694,90.9,1.3371030552712146,128,128,803.9565484523773,0.000505,
27,0.32461485294934134,81.715,0.3187450772904335,90.9,0.3187450772904335,90.9,1.3176988972192216,128,128,833.9345645904541,0.0004739186928329899,
28,0.322506709651077,81.78833333333333,0.31694769859313965,90.91666666666667,0.31694769859313965,90.91666666666667,0.9970598476565746,128,128,863.3073627948761,0.0004429600493856695,
29,0.32056629633027794,81.80333333333333,0.31510988068073353,90.98333333333333,0.31510988068073353,90.98333333333333,1.211698896856964,128,128,892.5804476737976,0.0004122462492800663,
30,0.31881892518692106,81.855,0.3135456854992725,91.03333333333333,0.3135456854992725,91.03333333333333,1.0543974542574046,128,128,929.2762198448181,0.00038189850585339686,0.9116020798683167
31,0.31722020905164744,81.87666666666667,0.31217132033185757,91.03333333333333,0.31217132033185757,91.03333333333333,0.9728639535058613,128,128,958.1263935565948,0.0003520365877844012,
32,0.31573820795634344,81.89166666666667,0.3108239475082844,91.03333333333333,0.3108239475082844,91.03333333333333,1.0269484209667303,128,128,987.5764355659485,0.00032277834642108455,
33,0.31445359908291515,81.94,0.3096946449355876,91.05,0.3096946449355876,91.05,0.9621112661438007,128,128,1016.8576264381409,0.0002942392506752891,
34,0.313250261707611,81.97333333333333,0.30858861829372164,91.11666666666666,0.30858861829372164,91.11666666666666,1.2816965000660272,128,128,1049.697599887848,0.0002665319313196509,
35,0.31223629496250105,82.00833333333334,0.3076885523314172,91.11666666666666,0.3076885523314172,91.11666666666666,1.3106063119611107,128,128,1088.3573017120361,0.00023976573648539653,
36,0.3112779183057247,82.04,0.3068859944952295,91.13333333333334,0.3068859944952295,91.13333333333334,0.8728679957038874,128,128,1119.3736205101013,0.00021404630011522585,
37,0.3104530844078245,82.045,0.3061489336034085,91.13333333333334,0.3061489336034085,91.13333333333334,1.1257330821423062,128,128,1151.6628437042236,0.00018947512507439858,
38,0.30971784720206147,82.07166666666667,0.30553368241228956,91.13333333333334,0.30553368241228956,91.13333333333334,1.0766670384810269,128,128,1184.8617341518402,0.00016614918256529907,
