iteration,loss,grad_norm,x,y,optimizer,elapsed_seconds,test_acc
0,50.425735,66.27925109863281,-4.635313034057617,-1.835179090499878,SAM_SGD,0.0,0.5
1,46.352264,63.06576919555664,-4.664684772491455,-1.8918991088867188,SAM_SGD,0.001,0.5
2,42.665367,57.189449310302734,-4.700033187866211,-1.936414122581482,SAM_SGD,0.002,0.5
3,39.715725,54.39860534667969,-4.742412567138672,-1.9637062549591064,SAM_SGD,0.003,0.5
4,37.082043,54.257808685302734,-4.791914939880371,-1.977616786956787,SAM_SGD,0.004,0.5
5,34.36889,51.311561584472656,-4.84518575668335,-1.984322428703308,SAM_SGD,0.005,0.5
6,31.831343,42.29314804077149,-4.895904064178467,-1.9875640869140625,SAM_SGD,0.006,0.5
7,30.014557,28.450782775878903,-4.937972068786621,-1.989139199256897,SAM_SGD,0.007,0.5
8,29.11341,13.999820709228516,-4.9688568115234375,-1.9898778200149536,SAM_SGD,0.008,0.5
9,28.860207,2.278787136077881,-4.989683151245117,-1.9900096654891968,SAM_SGD,0.009,0.5
10,28.897774,5.909470558166504,-4.964099884033203,-1.98984169960022,SAM_SGD,0.01,0.5
11,28.875443,4.1247148513793945,-4.986560344696045,-1.9900035858154297,SAM_SGD,0.011,0.5
12,28.881248,4.673873424530029,-4.962181091308594,-1.9898139238357544,SAM_SGD,0.012,0.5
13,28.884068,4.865906715393066,-4.985292911529541,-1.9900110960006716,SAM_SGD,0.013,0.5
14,28.87564,4.172996044158936,-4.961403846740723,-1.989786148071289,SAM_SGD,0.014,0.5
15,28.88797,5.165661811828613,-4.984777927398682,-1.9900273084640503,SAM_SGD,0.015,0.5
16,28.873547,3.969570875167847,-4.96108865737915,-1.9897541999816892,SAM_SGD,0.016,0.5
17,28.889618,5.287147045135498,-4.984568595886231,-1.9900509119033811,SAM_SGD,0.017,0.5
18,28.872726,3.8870890140533447,-4.96096134185791,-1.9897161722183228,SAM_SGD,0.018,0.5
19,28.890295,5.336312294006348,-4.98448371887207,-1.990081787109375,SAM_SGD,0.019,0.5
20,28.872398,3.853719472885132,-4.960910320281982,-1.9896694421768188,SAM_SGD,0.02,0.5
21,28.890574,5.356242656707764,-4.9844489097595215,-1.990120768547058,SAM_SGD,0.021,0.5
22,28.872269,3.8402373790740967,-4.960890293121338,-1.989612102508545,SAM_SGD,0.022,0.5
23,28.890686,5.36440896987915,-4.984434127807617,-1.9901694059371948,SAM_SGD,0.023,0.5
24,28.872215,3.834946870803833,-4.960883617401123,-1.9895415306091309,SAM_SGD,0.024,0.5
25,28.890732,5.367670059204102,-4.984427452087402,-1.9902294874191284,SAM_SGD,0.025,0.5
26,28.872196,3.833017349243164,-4.960883140563965,-1.9894545078277588,SAM_SGD,0.026,0.5
27,28.890749,5.368955612182617,-4.984423637390137,-1.990303635597229,SAM_SGD,0.027,0.5
28,28.872192,3.832533597946167,-4.960886478424072,-1.9893474578857424,SAM_SGD,0.028,0.5
29,28.890755,5.369268894195557,-4.984421253204346,-1.990394949913025,SAM_SGD,0.029,0.5
30,28.8722,3.833209991455078,-4.960893154144287,-1.989215612411499,SAM_SGD,0.03,0.5
31,28.89075,5.369128227233887,-4.984417915344238,-1.9905076026916504,SAM_SGD,0.031,0.5
32,28.87221,3.8343780040740967,-4.960903644561768,-1.9890533685684204,SAM_SGD,0.032,0.5
33,28.890743,5.368730545043945,-4.984413146972656,-1.9906460046768188,SAM_SGD,0.033,0.5
34,28.872227,3.836345911026001,-4.9609198570251465,-1.988854169845581,SAM_SGD,0.034,0.5
35,28.890732,5.368123531341553,-4.984406471252441,-1.9908157587051392,SAM_SGD,0.035,0.5
36,28.872257,3.839402675628662,-4.960944652557373,-1.98861026763916,SAM_SGD,0.036,0.5
37,28.890713,5.366980075836182,-4.984396457672119,-1.991023659706116,SAM_SGD,0.037,0.5
38,28.872303,3.8440189361572266,-4.960981369018555,-1.9883133172988887,SAM_SGD,0.038,0.5
39,28.890686,5.365499019622803,-4.984381198883057,-1.9912766218185425,SAM_SGD,0.039,0.5
40,28.872368,3.8507308959960938,-4.961036205291748,-1.9879534244537356,SAM_SGD,0.04,0.5
41,28.890652,5.363337516784668,-4.984357833862305,-1.9915827512741089,SAM_SGD,0.041,0.5
42,28.872463,3.860525369644165,-4.961117267608643,-1.987521767616272,SAM_SGD,0.042,0.5
43,28.890594,5.359953880310059,-4.984323978424072,-1.991949796676636,SAM_SGD,0.043,0.5
44,28.872604,3.875080347061157,-4.961235046386719,-1.9870115518569944,SAM_SGD,0.044,0.5
45,28.89051,5.354912757873535,-4.984274387359619,-1.992383360862732,SAM_SGD,0.045,0.5
46,28.872807,3.895458221435547,-4.96140193939209,-1.9864197969436648,SAM_SGD,0.046,0.5
47,28.89039,5.347753047943115,-4.984202861785889,-1.9928865432739256,SAM_SGD,0.047,0.5
48,28.873077,3.923423767089844,-4.961631774902344,-1.985751390457153,SAM_SGD,0.048,0.5
49,28.890226,5.337747097015381,-4.984103679656982,-1.993455529212952,SAM_SGD,0.049,0.5
50,28.873446,3.960281610488892,-4.961936473846436,-1.98502254486084,SAM_SGD,0.05,0.5
51,28.89,5.323828220367432,-4.983969688415527,-1.9940781593322756,SAM_SGD,0.051,0.5
52,28.873903,4.0061798095703125,-4.962320804595947,-1.9842605590820312,SAM_SGD,0.052,0.5
53,28.889711,5.305624485015869,-4.983797550201416,-1.9947339296340945,SAM_SGD,0.053,0.5
54,28.874447,4.060069561004639,-4.962778568267822,-1.9835017919540403,SAM_SGD,0.054,0.5
55,28.889359,5.282932281494141,-4.98358678817749,-1.9953943490982056,SAM_SGD,0.055,0.5
56,28.875051,4.118743419647217,-4.963291168212891,-1.9827823638916016,SAM_SGD,0.056,0.5
57,28.888956,5.256668567657471,-4.983342170715332,-1.9960302114486692,SAM_SGD,0.057,0.5
58,28.875668,4.178274631500244,-4.963831901550293,-1.9821317195892332,SAM_SGD,0.058,0.5
59,28.888533,5.228187084197998,-4.9830732345581055,-1.9966168403625488,SAM_SGD,0.059,0.5
60,28.876259,4.234361171722412,-4.964372634887695,-1.9815640449523928,SAM_SGD,0.06,0.5
61,28.888111,5.199581146240234,-4.982791423797607,-1.997139573097229,SAM_SGD,0.061,0.5
62,28.87679,4.284153938293457,-4.964890003204346,-1.9810810089111328,SAM_SGD,0.062,0.5
63,28.887726,5.1728692054748535,-4.98250675201416,-1.9975926876068115,SAM_SGD,0.063,0.5
64,28.877235,4.326025485992432,-4.965370178222656,-1.9806753396987915,SAM_SGD,0.064,0.5
65,28.887386,5.149102210998535,-4.982229232788086,-1.9979784488677976,SAM_SGD,0.065,0.5
66,28.877605,4.359877109527588,-4.965806484222412,-1.980336546897888,SAM_SGD,0.066,0.5
67,28.887093,5.128746509552002,-4.981964588165283,-1.9983035326004028,SAM_SGD,0.067,0.5
68,28.877893,4.386703014373779,-4.966197967529297,-1.980053663253784,SAM_SGD,0.068,0.5
69,28.886852,5.111797332763672,-4.981717109680176,-1.9985756874084477,SAM_SGD,0.069,0.5
70,28.878119,4.407314777374268,-4.966546535491943,-1.97981595993042,SAM_SGD,0.07,0.5
71,28.88666,5.098087787628174,-4.98148775100708,-1.9988036155700684,SAM_SGD,0.071,0.5
72,28.878286,4.42303466796875,-4.966856002807617,-1.9796152114868164,SAM_SGD,0.072,0.5
73,28.886501,5.087023735046387,-4.9812774658203125,-1.9989951848983765,SAM_SGD,0.073,0.5
74,28.878418,4.434957504272461,-4.967130661010742,-1.97944450378418,SAM_SGD,0.074,0.5
75,28.886375,5.07819128036499,-4.981085300445557,-1.9991567134857176,SAM_SGD,0.075,0.5
76,28.878513,4.443902969360352,-4.9673752784729,-1.9792982339859009,SAM_SGD,0.076,0.5
77,28.886278,5.071071147918701,-4.980910778045654,-1.999293565750122,SAM_SGD,0.077,0.5
78,28.878588,4.450686454772949,-4.967593193054199,-1.9791723489761357,SAM_SGD,0.078,0.5
79,28.886196,5.065298080444336,-4.980751514434815,-1.999410629272461,SAM_SGD,0.079,0.5
