iteration,loss,grad_norm,x,y,optimizer,elapsed_seconds,test_acc
0,50.22959,38.94563293457031,2.9275946617126465,-4.600811958312988,SGD,0.0,0.5
1,48.815456,35.44838333129883,2.949347972869873,-4.628800868988037,SGD,0.001,0.5
2,47.52682,38.74594879150391,2.963109970092773,-4.66502046585083,SGD,0.002,0.5
3,45.899155,45.5575065612793,2.9716172218322754,-4.709776401519775,SGD,0.003,0.5
4,43.671585,51.67886734008789,2.9768197536468506,-4.761192798614502,SGD,0.004,0.5
5,40.9336,53.248313903808594,2.979984998703003,-4.814346790313721,SGD,0.005,0.5
6,38.203434,48.17575454711914,2.981905698776245,-4.862484455108643,SGD,0.006,0.5
7,36.10633,38.07451248168945,2.983069896697998,-4.900541305541992,SGD,0.007,0.5
8,34.860416,26.966629028320312,2.9837749004364014,-4.927498817443848,SGD,0.008,0.5
9,34.254833,17.79273223876953,2.984201669692993,-4.945286273956299,SGD,0.009,0.5
10,33.99565,11.289478302001951,2.98445987701416,-4.956573009490967,SGD,0.01,0.5
11,33.8922,7.020837306976318,2.984616279602051,-4.963592052459717,SGD,0.011,0.5
12,33.852367,4.322015762329102,2.984710931777954,-4.9679131507873535,SGD,0.012,0.5
13,33.837307,2.6465132236480717,2.9847681522369385,-4.970559120178223,SGD,0.013,0.5
14,33.83166,1.6157742738723757,2.984802722930908,-4.972174644470215,SGD,0.014,0.5
15,33.829567,0.9850115180015564,2.984823703765869,-4.973159313201904,SGD,0.015,0.5
16,33.82878,0.5999017953872681,2.984836339950561,-4.973759174346924,SGD,0.016,0.5
17,33.828495,0.3651281893253326,2.9848439693450928,-4.974124431610107,SGD,0.017,0.5
18,33.82839,0.2221238017082214,2.984848499298096,-4.97434663772583,SGD,0.018,0.5
19,33.828346,0.1350833922624588,2.984851360321045,-4.974481582641602,SGD,0.019,0.5
20,33.82833,0.0821581780910492,2.984853029251098,-4.9745635986328125,SGD,0.02,0.5
21,33.828327,0.0500452704727649,2.984853982925415,-4.974613666534424,SGD,0.021,0.5
22,33.828323,0.0304183047264814,2.9848546981811523,-4.974644184112549,SGD,0.022,0.5
23,33.828323,0.0184019785374403,2.9848549365997314,-4.974662780761719,SGD,0.023,0.5
24,33.828323,0.0111491484567523,2.9848551750183105,-4.974673748016357,SGD,0.024,0.5
25,33.828323,0.0068654790520668,2.9848554134368896,-4.974680423736572,SGD,0.025,0.5
26,33.828323,0.0042474227957427,2.9848554134368896,-4.974684715270996,SGD,0.026,0.5
27,33.828323,0.0025827661156654,2.9848554134368896,-4.974687099456787,SGD,0.027,0.5
28,33.828323,0.001632634201087,2.9848554134368896,-4.974688529968262,SGD,0.028,0.5
29,33.828323,0.0010386026697233,2.9848554134368896,-4.974689483642578,SGD,0.029,0.5
30,33.828323,0.0006825025775469,2.9848554134368896,-4.974689960479736,SGD,0.03,0.5
31,33.828323,0.0005642321775667,2.9848554134368896,-4.974690437316895,SGD,0.031,0.5
32,33.828323,0.0003306531289126,2.9848554134368896,-4.974690914154053,SGD,0.032,0.5
33,33.82832,0.0001143862682511,2.9848554134368896,-4.974690914154053,SGD,0.033,0.5
34,33.82832,0.0001143862682511,2.9848554134368896,-4.974690914154053,SGD,0.034,0.5
35,33.82832,0.0001143862682511,2.9848554134368896,-4.974690914154053,SGD,0.035,0.5
36,33.82832,0.0001143862682511,2.9848554134368896,-4.974690914154053,SGD,0.036,0.5
37,33.82832,0.0001143862682511,2.9848554134368896,-4.974690914154053,SGD,0.037,0.5
38,33.82832,0.0001143862682511,2.9848554134368896,-4.974690914154053,SGD,0.038,0.5
39,33.82832,0.0001143862682511,2.9848554134368896,-4.974690914154053,SGD,0.039,0.5
40,33.82832,0.0001143862682511,2.9848554134368896,-4.974690914154053,SGD,0.04,0.5
41,33.82832,0.0001143862682511,2.9848554134368896,-4.974690914154053,SGD,0.041,0.5
42,33.82832,0.0001143862682511,2.9848554134368896,-4.974690914154053,SGD,0.042,0.5
43,33.82832,0.0001143862682511,2.9848554134368896,-4.974690914154053,SGD,0.043,0.5
44,33.82832,0.0001143862682511,2.9848554134368896,-4.974690914154053,SGD,0.044,0.5
45,33.82832,0.0001143862682511,2.9848554134368896,-4.974690914154053,SGD,0.045,0.5
46,33.82832,0.0001143862682511,2.9848554134368896,-4.974690914154053,SGD,0.046,0.5
47,33.82832,0.0001143862682511,2.9848554134368896,-4.974690914154053,SGD,0.047,0.5
48,33.82832,0.0001143862682511,2.9848554134368896,-4.974690914154053,SGD,0.048,0.5
49,33.82832,0.0001143862682511,2.9848554134368896,-4.974690914154053,SGD,0.049,0.5
50,33.82832,0.0001143862682511,2.9848554134368896,-4.974690914154053,SGD,0.05,0.5
51,33.82832,0.0001143862682511,2.9848554134368896,-4.974690914154053,SGD,0.051,0.5
52,33.82832,0.0001143862682511,2.9848554134368896,-4.974690914154053,SGD,0.052,0.5
53,33.82832,0.0001143862682511,2.9848554134368896,-4.974690914154053,SGD,0.053,0.5
54,33.82832,0.0001143862682511,2.9848554134368896,-4.974690914154053,SGD,0.054,0.5
55,33.82832,0.0001143862682511,2.9848554134368896,-4.974690914154053,SGD,0.055,0.5
56,33.82832,0.0001143862682511,2.9848554134368896,-4.974690914154053,SGD,0.056,0.5
57,33.82832,0.0001143862682511,2.9848554134368896,-4.974690914154053,SGD,0.057,0.5
58,33.82832,0.0001143862682511,2.9848554134368896,-4.974690914154053,SGD,0.058,0.5
59,33.82832,0.0001143862682511,2.9848554134368896,-4.974690914154053,SGD,0.059,0.5
60,33.82832,0.0001143862682511,2.9848554134368896,-4.974690914154053,SGD,0.06,0.5
61,33.82832,0.0001143862682511,2.9848554134368896,-4.974690914154053,SGD,0.061,0.5
62,33.82832,0.0001143862682511,2.9848554134368896,-4.974690914154053,SGD,0.062,0.5
63,33.82832,0.0001143862682511,2.9848554134368896,-4.974690914154053,SGD,0.063,0.5
64,33.82832,0.0001143862682511,2.9848554134368896,-4.974690914154053,SGD,0.064,0.5
65,33.82832,0.0001143862682511,2.9848554134368896,-4.974690914154053,SGD,0.065,0.5
