iteration,loss,grad_norm,x,y,optimizer,elapsed_seconds,test_acc
0,1087.6499,660.484130859375,-0.0819526761770248,3.2473597526550293,Adam,0.0,0.5
1,1051.3477,656.4304809570312,-0.128709465265274,3.1973838806152344,Adam,0.001,0.5
2,1013.03424,656.3439331054688,-0.1755264997482299,3.147451162338257,Adam,0.002,0.5
3,972.72723,659.8466186523438,-0.2228083908557891,3.097583532333374,Adam,0.003,0.5
4,930.489,666.3817138671875,-0.2706777453422546,3.047806024551392,Adam,0.004,0.5
5,886.40314,675.28173828125,-0.3191858828067779,2.9981470108032227,Adam,0.005,0.5
6,840.5767,685.8038330078125,-0.3683558702468872,2.948638439178467,Adam,0.006,0.5
7,793.1426,697.158447265625,-0.4181956648826599,2.8993163108825684,Adam,0.007,0.5
8,744.26245,708.53369140625,-0.468703031539917,2.8502211570739746,Adam,0.008,0.5
9,694.1305,719.1132202148438,-0.519867479801178,2.801398515701294,Adam,0.009,0.5
10,642.9751,728.0875854492188,-0.5716709494590759,2.752899646759033,Adam,0.01,0.5
11,591.0624,734.6627807617188,-0.6240875124931335,2.7047815322875977,Adam,0.011,0.5
12,538.6974,738.064697265625,-0.6770828366279602,2.6571078300476074,Adam,0.012,0.5
13,486.22604,737.542236328125,-0.7306128740310669,2.609949827194214,Adam,0.013,0.5
14,434.0369,732.3724975585938,-0.7846221923828125,2.563386917114258,Adam,0.014,0.5
15,382.55978,721.8638916015625,-0.8390417098999023,2.5175068378448486,Adam,0.015,0.5
16,332.26605,705.3651733398438,-0.8937857151031494,2.47240686416626,Adam,0.016,0.5
17,283.6647,682.2752075195312,-0.9487481117248536,2.428194522857666,Adam,0.017,0.5
18,237.29788,652.0592651367188,-1.0037975311279297,2.3849880695343018,Adam,0.018,0.5
19,193.73238,614.2699584960938,-1.0587713718414309,2.342916488647461,Adam,0.019,0.5
20,153.5473,568.57568359375,-1.1134682893753052,2.3021202087402344,Adam,0.02,0.5
21,117.3167,514.7992553710938,-1.1676390171051023,2.2627503871917725,Adam,0.021,0.5
22,85.58521,452.96575927734375,-1.22097647190094,2.2249677181243896,Adam,0.022,0.5
23,58.835373,383.3624267578125,-1.2731044292449951,2.188941717147827,Adam,0.023,0.5
24,37.446083,306.6106262207031,-1.323567509651184,2.154846668243408,Adam,0.024,0.5
25,21.641132,223.74319458007807,-1.3718249797821045,2.122858047485352,Adam,0.025,0.5
26,11.43145,136.28016662597656,-1.4172526597976685,2.0931475162506104,Adam,0.026,0.5
27,6.557853,46.29126739501953,-1.4591587781906128,2.0658748149871826,Adam,0.027,0.5
28,6.447767,43.71784210205078,-1.4968197345733645,2.041180372238159,Adam,0.028,0.5
29,10.205713,130.54681396484375,-1.5295374393463137,2.01917576789856,Adam,0.029,0.5
30,16.65834,210.9893951416016,-1.5567115545272827,1.9999350309371948,Adam,0.03,0.5
31,24.464867,281.79327392578125,-1.5779128074645996,1.983486890792847,Adam,0.031,0.5
32,32.281822,340.1515808105469,-1.5929367542266846,1.9698102474212649,Adam,0.032,0.5
33,38.944523,384.0339050292969,-1.601823091506958,1.9588323831558228,Adam,0.033,0.5
34,43.61496,412.4028625488281,-1.604839563369751,1.950430512428284,Adam,0.034,0.5
35,45.857628,425.2615051269531,-1.6024389266967771,1.9444371461868288,Adam,0.035,0.5
36,45.63213,423.5376586914063,-1.5952068567276,1.9406466484069824,Adam,0.036,0.5
37,43.22132,408.87158203125,-1.583810806274414,1.93882429599762,Adam,0.037,0.5
38,39.124187,383.3629760742188,-1.5689592361450195,1.9387143850326536,Adam,0.038,0.5
39,33.943935,349.3356018066406,-1.5513707399368286,1.940049171447754,Adam,0.039,0.5
40,28.290565,309.1418762207031,-1.5317522287368774,1.9425567388534544,Adam,0.04,0.5
41,22.707792,265.0150146484375,-1.5107829570770264,1.945967674255371,Adam,0.041,0.5
42,17.62709,218.97006225585935,-1.4891027212142944,1.9500219821929927,Adam,0.042,0.5
43,13.346178,172.74298095703125,-1.4673022031784058,1.954473614692688,Adam,0.043,0.5
44,10.027893,127.76432037353516,-1.445914626121521,1.959095358848572,Adam,0.044,0.5
45,7.7136655,85.15741729736328,-1.4254095554351809,1.9636821746826167,Adam,0.045,0.5
46,6.3465114,45.759395599365234,-1.406187653541565,1.9680534601211548,Adam,0.046,0.5
47,5.7984066,10.220213890075684,-1.388578176498413,1.972055196762085,Adam,0.047,0.5
48,5.898078,21.48586845397949,-1.3728379011154177,1.9755605459213257,Adam,0.048,0.5
49,6.456218,48.6783332824707,-1.3591527938842771,1.978470087051392,Adam,0.049,0.5
50,7.286257,71.57691955566406,-1.3476412296295166,1.9807114601135252,Adam,0.05,0.5
51,8.2199,90.2369613647461,-1.338358759880066,1.9822381734848025,Adam,0.051,0.5
52,9.117319,104.804443359375,-1.3313043117523191,1.983027935028076,Adam,0.052,0.5
53,9.872607,115.47679901123048,-1.32642662525177,1.9830808639526367,Adam,0.053,0.5
54,10.415232,122.48311614990234,-1.3236308097839355,1.9824172258377075,Adam,0.054,0.5
55,10.708537,126.0728759765625,-1.322785258293152,1.9810750484466555,Adam,0.055,0.5
56,10.745956,126.5083999633789,-1.3237279653549194,1.9791077375411987,Adam,0.056,0.5
57,10.545898,124.06248474121094,-1.3262724876403809,1.976581335067749,Adam,0.057,0.5
58,10.1457615,119.01774597167967,-1.33021342754364,1.97357189655304,Adam,0.058,0.5
59,9.595747,111.6689453125,-1.3353317975997925,1.9701632261276243,Adam,0.059,0.5
60,8.952629,102.32405090332033,-1.3413996696472168,1.96644389629364,Adam,0.06,0.5
61,8.274085,91.30670166015624,-1.3481847047805786,1.962505340576172,Adam,0.061,0.5
62,7.6136675,78.95709228515625,-1.3554551601409912,1.9584391117095947,Adam,0.062,0.5
63,7.0166383,65.62989044189453,-1.3629837036132812,1.954334735870361,Adam,0.063,0.5
64,6.517045,51.6922721862793,-1.3705520629882812,1.9502778053283687,Adam,0.064,0.5
65,6.1359725,37.51891708374024,-1.377955436706543,1.9463478326797483,Adam,0.065,0.5
66,5.881121,23.487659454345703,-1.3850061893463137,1.942616581916809,Adam,0.066,0.5
67,5.747666,10.00194263458252,-1.391538143157959,1.9391467571258545,Adam,0.067,0.5
68,5.720221,3.2890818119049072,-1.3974093198776243,1.935990571975708,Adam,0.068,0.5
69,5.775669,14.55564022064209,-1.4025053977966309,1.9331891536712649,Adam,0.069,0.5
70,5.886494,24.72869110107422,-1.4067410230636597,1.930771827697754,Adam,0.07,0.5
71,6.0242305,33.32798385620117,-1.4100613594055176,1.9287558794021609,Adam,0.071,0.5
72,6.162625,40.19236755371094,-1.4124417304992676,1.9271469116210935,Adam,0.072,0.5
73,6.280166,45.23848724365234,-1.4138871431350708,1.9259393215179443,Adam,0.073,0.5
74,6.36176,48.451805114746094,-1.4144299030303955,1.9251168966293333,Adam,0.074,0.5
75,6.399423,49.88197326660156,-1.414126992225647,1.9246543645858765,Adam,0.075,0.5
76,6.392021,49.636207580566406,-1.413056492805481,1.924518346786499,Adam,0.076,0.5
77,6.344274,47.87144470214844,-1.411313772201538,1.9246691465377808,Adam,0.077,0.5
78,6.265177,44.78374862670898,-1.409006953239441,1.9250622987747192,Adam,0.078,0.5
79,6.1661797,40.5972785949707,-1.406252384185791,1.9256500005722048,Adam,0.079,0.5
80,6.059367,35.552669525146484,-1.403170466423035,1.926383137702942,Adam,0.08,0.5
81,5.9558897,29.896629333496094,-1.3998812437057495,1.9272127151489256,Adam,0.081,0.5
82,5.8647614,23.87226676940918,-1.3965007066726685,1.928091287612915,Adam,0.082,0.5
83,5.7921576,17.712440490722656,-1.3931375741958618,1.928974151611328,Adam,0.083,0.5
84,5.7411685,11.638463973999023,-1.389890432357788,1.929820656776428,Adam,0.084,0.5
85,5.7119665,5.89088249206543,-1.3868454694747925,1.93059504032135,Adam,0.085,0.5
86,5.7022953,1.6329638957977295,-1.3840750455856323,1.9312671422958372,Adam,0.086,0.5
87,5.7081614,4.971765995025635,-1.3816365003585815,1.931812524795532,Adam,0.087,0.5
88,5.724602,9.121134757995604,-1.3795719146728516,1.932213306427002,Adam,0.088,0.5
89,5.746432,12.648584365844728,-1.3779078722000122,1.9324575662612915,Adam,0.089,0.5
90,5.7688746,15.44879913330078,-1.3766562938690186,1.9325395822525024,Adam,0.09,0.5
91,5.7880497,17.493532180786133,-1.3758151531219482,1.9324593544006348,Adam,0.091,0.5
92,5.801251,18.787147521972656,-1.375369906425476,1.9322221279144287,Adam,0.092,0.5
93,5.8070545,19.357675552368164,-1.375294804573059,1.9318376779556277,Adam,0.093,0.5
94,5.805257,19.25296401977539,-1.3755545616149902,1.9313198328018188,Adam,0.094,0.5
95,5.796684,18.53740882873535,-1.3761065006256104,1.9306856393814087,Adam,0.095,0.5
96,5.782904,17.288578033447266,-1.3769021034240725,1.929954409599304,Adam,0.096,0.5
97,5.7659106,15.59432888031006,-1.3778893947601318,1.9291470050811768,Adam,0.097,0.5
98,5.7477965,13.54945182800293,-1.3790143728256226,1.9282851219177248,Adam,0.098,0.5
99,5.73049,11.25444793701172,-1.380223274230957,1.927390456199646,Adam,0.099,0.5
100,5.7155232,8.81270980834961,-1.3814640045166016,1.9264838695526123,Adam,0.1,0.5
101,5.703919,6.334385395050049,-1.38268780708313,1.9255849123001096,Adam,0.101,0.5
102,5.696133,3.957843065261841,-1.3838505744934082,1.9247113466262815,Adam,0.102,0.5
103,5.6920924,2.02017879486084,-1.3849139213562012,1.92387855052948,Adam,0.103,0.5
104,5.6912856,1.91212010383606,-1.3858460187911987,1.923099160194397,Adam,0.104,0.5
105,5.6929016,3.407011747360229,-1.386622190475464,1.9223828315734863,Adam,0.105,0.5
106,5.6959767,4.961352348327637,-1.3872251510620115,1.921736478805542,Adam,0.106,0.5
107,5.69955,6.271447658538818,-1.3876451253890991,1.9211639165878296,Adam,0.107,0.5
108,5.7027817,7.268192291259766,-1.387879490852356,1.920665979385376,Adam,0.108,0.5
109,5.705041,7.931100845336914,-1.387932300567627,1.9202407598495483,Adam,0.109,0.5
110,5.7059603,8.261953353881836,-1.3878138065338137,1.919884204864502,Adam,0.11,0.5
111,5.7054286,8.277435302734375,-1.387539267539978,1.919589877128601,Adam,0.111,0.5
112,5.703565,8.005840301513672,-1.3871281147003174,1.9193499088287356,Adam,0.112,0.5
113,5.70066,7.484529495239258,-1.3866031169891355,1.91915500164032,Adam,0.113,0.5
114,5.6971083,6.758406162261963,-1.3859890699386597,1.918995141983032,Adam,0.114,0.5
115,5.6933327,5.877658843994141,-1.385311722755432,1.918859839439392,Adam,0.115,0.5
116,5.689717,4.897599697113037,-1.384596824645996,1.918738603591919,Adam,0.116,0.5
117,5.686568,3.8800556659698486,-1.3838692903518677,1.918621301651001,Adam,0.117,0.5
118,5.6840763,2.9023783206939697,-1.3831521272659302,1.918498516082764,Adam,0.118,0.5
119,5.6823173,2.085066795349121,-1.382465958595276,1.9183619022369385,Adam,0.119,0.5
120,5.681256,1.6440223455429075,-1.3818283081054688,1.9182043075561523,Adam,0.12,0.5
121,5.680771,1.7525935173034668,-1.3812536001205444,1.918019771575928,Adam,0.121,0.5
122,5.6806884,2.20229172706604,-1.3807523250579834,1.9178040027618408,Adam,0.122,0.5
123,5.680812,2.71392035484314,-1.3803315162658691,1.9175541400909424,Adam,0.123,0.5
124,5.6809573,3.159050703048706,-1.3799943923950195,1.9172688722610476,Adam,0.124,0.5
125,5.680974,3.488974094390869,-1.3797409534454346,1.916948199272156,Adam,0.125,0.5
126,5.680758,3.686724185943604,-1.3795678615570068,1.916593313217163,Adam,0.126,0.5
127,5.680261,3.751119613647461,-1.3794690370559692,1.91620671749115,Adam,0.127,0.5
128,5.6794868,3.690750598907471,-1.3794362545013428,1.915791749954224,Adam,0.128,0.5
129,5.67848,3.52053451538086,-1.3794595003128052,1.915352463722229,Adam,0.129,0.5
130,5.6773124,3.2611749172210693,-1.3795273303985596,1.9148935079574585,Adam,0.13,0.5
131,5.6760693,2.938397169113159,-1.379627704620361,1.914419770240784,Adam,0.131,0.5
132,5.674832,2.582523822784424,-1.3797483444213867,1.913936138153076,Adam,0.132,0.5
133,5.673669,2.2300376892089844,-1.3798773288726809,1.9134474992752075,Adam,0.133,0.5
134,5.672626,1.9238182306289675,-1.3800033330917358,1.9129585027694704,Adam,0.134,0.5
135,5.6717253,1.7103524208068848,-1.3801162242889404,1.912473201751709,Adam,0.135,0.5
136,5.6709633,1.6232422590255735,-1.3802073001861572,1.9119951725006104,Adam,0.136,0.5
137,5.670319,1.6591684818267822,-1.3802694082260132,1.9115272760391235,Adam,0.137,0.5
138,5.669758,1.7770529985427856,-1.3802971839904783,1.9110716581344604,Adam,0.138,0.5
139,5.6692386,1.926199197769165,-1.3802870512008667,1.9106298685073853,Adam,0.139,0.5
140,5.668724,2.0675621032714844,-1.3802372217178345,1.9102025032043457,Adam,0.14,0.5
141,5.6681786,2.177253007888794,-1.3801476955413818,1.9097896814346316,Adam,0.141,0.5
142,5.667585,2.243360996246338,-1.380020022392273,1.9093906879425049,Adam,0.142,0.5
143,5.6669316,2.262358903884888,-1.379857063293457,1.9090044498443604,Adam,0.143,0.5
144,5.6662188,2.2365036010742188,-1.3796629905700684,1.9086291790008545,Adam,0.144,0.5
145,5.6654577,2.172760009765625,-1.379442572593689,1.9082629680633545,Adam,0.145,0.5
146,5.6646647,2.080993413925171,-1.3792014122009275,1.9079035520553589,Adam,0.146,0.5
147,5.663856,1.9735090732574463,-1.3789454698562622,1.9075485467910769,Adam,0.147,0.5
148,5.6630507,1.8639401197433472,-1.3786804676055908,1.9071955680847168,Adam,0.148,0.5
149,5.6622624,1.7653777599334717,-1.3784122467041016,1.9068422317504885,Adam,0.149,0.5
150,5.6614985,1.688936471939087,-1.3781461715698242,1.9064863920211792,Adam,0.15,0.5
151,5.6607623,1.6411799192428589,-1.3778868913650513,1.9061261415481567,Adam,0.151,0.5
152,5.6600513,1.622776746749878,-1.377638339996338,1.9057598114013672,Adam,0.152,0.5
153,5.6593614,1.6288065910339355,-1.377403736114502,1.905386209487915,Adam,0.153,0.5
154,5.658683,1.6507959365844729,-1.377185344696045,1.905004382133484,Adam,0.154,0.5
155,5.658007,1.6793726682662964,-1.3769845962524414,1.904613733291626,Adam,0.155,0.5
156,5.657327,1.7063930034637451,-1.37680184841156,1.904214143753052,Adam,0.156,0.5
157,5.6566367,1.7261744737625122,-1.3766368627548218,1.9038057327270508,Adam,0.157,0.5
158,5.6559315,1.7355035543441772,-1.376488447189331,1.903388857841492,Adam,0.158,0.5
159,5.6552114,1.7337977886199951,-1.3763549327850342,1.9029643535614011,Adam,0.159,0.5
160,5.6544785,1.7223281860351562,-1.3762340545654297,1.9025330543518064,Adam,0.16,0.5
161,5.653735,1.7038573026657104,-1.3761231899261477,1.9020960330963133,Adam,0.161,0.5
162,5.6529856,1.6819491386413574,-1.3760197162628174,1.9016544818878172,Adam,0.162,0.5
163,5.6522336,1.66021466255188,-1.3759205341339111,1.9012094736099243,Adam,0.163,0.5
164,5.651482,1.64194917678833,-1.375822901725769,1.9007622003555296,Adam,0.164,0.5
165,5.6507344,1.6293976306915283,-1.375724196434021,1.9003138542175293,Adam,0.165,0.5
166,5.64999,1.6235334873199463,-1.375622034072876,1.8998652696609497,Adam,0.166,0.5
167,5.649249,1.6240664720535278,-1.3755143880844116,1.8994174003601076,Adam,0.167,0.5
168,5.6485124,1.6296581029891968,-1.375399470329285,1.8989708423614504,Adam,0.168,0.5
169,5.647775,1.6383265256881714,-1.3752762079238892,1.898526072502136,Adam,0.169,0.5
170,5.6470366,1.647917866706848,-1.3751438856124878,1.8980834484100344,Adam,0.17,0.5
171,5.6462975,1.656545877456665,-1.375002145767212,1.8976430892944336,Adam,0.171,0.5
172,5.645552,1.662778377532959,-1.374851107597351,1.897204875946045,Adam,0.172,0.5
173,5.6448035,1.665781855583191,-1.3746912479400637,1.8967686891555784,Adam,0.173,0.5
174,5.6440487,1.665413737297058,-1.374523401260376,1.896334171295166,Adam,0.174,0.5
175,5.643289,1.6620384454727173,-1.374348759651184,1.895900845527649,Adam,0.175,0.5
176,5.6425247,1.656472086906433,-1.3741685152053833,1.8954682350158687,Adam,0.176,0.5
177,5.6417575,1.6496602296829224,-1.3739839792251587,1.895035743713379,Adam,0.177,0.5
178,5.640989,1.6425585746765137,-1.3737967014312744,1.89460289478302,Adam,0.178,0.5
179,5.6402183,1.6360911130905151,-1.3736079931259155,1.8941689729690552,Adam,0.179,0.5
180,5.639447,1.630837082862854,-1.373419165611267,1.893733620643616,Adam,0.18,0.5
181,5.6386743,1.627102613449097,-1.3732314109802246,1.893296241760254,Adam,0.181,0.5
182,5.6379004,1.624921798706055,-1.3730456829071045,1.892856478691101,Adam,0.182,0.5
183,5.6371245,1.6240636110305786,-1.3728628158569336,1.8924139738082888,Adam,0.183,0.5
184,5.6363482,1.624153971672058,-1.37268328666687,1.8919684886932373,Adam,0.184,0.5
185,5.6355686,1.6247667074203491,-1.3725074529647827,1.8915200233459477,Adam,0.185,0.5
186,5.634788,1.6255182027816772,-1.372335433959961,1.891068458557129,Adam,0.186,0.5
187,5.634003,1.6261054277420044,-1.3721671104431152,1.8906137943267824,Adam,0.187,0.5
188,5.633216,1.626373052597046,-1.3720022439956665,1.8901561498641968,Adam,0.188,0.5
189,5.6324253,1.6262751817703247,-1.3718403577804563,1.889695763587952,Adam,0.189,0.5
190,5.631633,1.62589693069458,-1.3716808557510376,1.889232873916626,Adam,0.19,0.5
191,5.630836,1.6253879070281982,-1.3715230226516724,1.8887677192687988,Adam,0.191,0.5
192,5.630038,1.6249209642410278,-1.371366262435913,1.8883006572723389,Adam,0.192,0.5
193,5.629238,1.6246464252471924,-1.3712098598480225,1.8878319263458248,Adam,0.193,0.5
194,5.6284356,1.6246713399887085,-1.3710530996322632,1.887361764907837,Adam,0.194,0.5
195,5.6276317,1.6250373125076294,-1.3708953857421875,1.886890530586243,Adam,0.195,0.5
196,5.6268244,1.625714898109436,-1.3707361221313477,1.886418342590332,Adam,0.196,0.5
197,5.626016,1.626623511314392,-1.370574951171875,1.885945439338684,Adam,0.197,0.5
198,5.6252055,1.6276397705078125,-1.3704115152359009,1.8854719400405884,Adam,0.198,0.5
199,5.624392,1.628640055656433,-1.3702455759048462,1.8849979639053345,Adam,0.199,0.5
200,5.6235766,1.629500150680542,-1.3700770139694214,1.884523630142212,Adam,0.2,0.5
201,5.6227603,1.630126953125,-1.3699058294296265,1.8840488195419312,Adam,0.201,0.5
202,5.62194,1.630462408065796,-1.369732141494751,1.883573532104492,Adam,0.202,0.5
203,5.6211176,1.6305040121078491,-1.369556188583374,1.8830976486206052,Adam,0.203,0.5
204,5.6202927,1.6302921772003174,-1.3693780899047852,1.8826210498809812,Adam,0.204,0.5
205,5.6194654,1.6298624277114868,-1.3691983222961426,1.88214373588562,Adam,0.205,0.5
206,5.6186357,1.6293026208877563,-1.369017243385315,1.8816654682159424,Adam,0.206,0.5
207,5.617803,1.6286965608596802,-1.3688350915908811,1.8811861276626587,Adam,0.207,0.5
208,5.616969,1.6280944347381592,-1.36865234375,1.8807055950164795,Adam,0.208,0.5
209,5.616133,1.6275554895401,-1.36846923828125,1.8802236318588257,Adam,0.209,0.5
210,5.6152945,1.6271116733551023,-1.3682860136032104,1.8797402381896973,Adam,0.21,0.5
211,5.614455,1.6267658472061155,-1.36810302734375,1.879255294799805,Adam,0.211,0.5
212,5.613611,1.626529097557068,-1.3679203987121582,1.8787686824798584,Adam,0.212,0.5
213,5.6127663,1.6263818740844729,-1.3677382469177246,1.8782804012298584,Adam,0.213,0.5
214,5.611919,1.6263090372085571,-1.3675566911697388,1.877790451049805,Adam,0.214,0.5
215,5.6110687,1.6262952089309692,-1.3673756122589111,1.877298712730408,Adam,0.215,0.5
216,5.610217,1.6263220310211182,-1.3671950101852417,1.876805305480957,Adam,0.216,0.5
217,5.609363,1.6263843774795532,-1.3670148849487305,1.8763102293014529,Adam,0.217,0.5
218,5.6085057,1.626481056213379,-1.3668349981307983,1.875813603401184,Adam,0.218,0.5
219,5.607648,1.6266061067581177,-1.366655349731445,1.8753154277801516,Adam,0.219,0.5
220,5.606786,1.6267693042755127,-1.3664755821228027,1.874815821647644,Adam,0.22,0.5
221,5.6059227,1.6269623041152954,-1.366295576095581,1.874314904212952,Adam,0.221,0.5
222,5.605057,1.6271809339523315,-1.3661152124404907,1.8738126754760744,Adam,0.222,0.5
223,5.604189,1.6274265050888062,-1.3659342527389526,1.873309135437012,Adam,0.223,0.5
224,5.6033196,1.6276865005493164,-1.3657525777816772,1.8728044033050537,Adam,0.224,0.5
225,5.6024475,1.6279479265213013,-1.3655701875686646,1.8722985982894895,Adam,0.225,0.5
226,5.6015716,1.6282036304473877,-1.3653868436813354,1.87179172039032,Adam,0.226,0.5
227,5.6006966,1.6284315586090088,-1.36520254611969,1.871283769607544,Adam,0.227,0.5
228,5.5998163,1.6286314725875854,-1.3650171756744385,1.870774745941162,Adam,0.228,0.5
229,5.5989356,1.628782868385315,-1.3648308515548706,1.870264768600464,Adam,0.229,0.5
230,5.5980525,1.6288959980010986,-1.3646435737609863,1.86975371837616,Adam,0.23,0.5
231,5.597167,1.6289654970169067,-1.3644553422927856,1.8692415952682493,Adam,0.231,0.5
232,5.5962787,1.6289916038513184,-1.364266276359558,1.8687283992767332,Adam,0.232,0.5
233,5.5953894,1.6289924383163452,-1.3640763759613037,1.8682140111923216,Adam,0.233,0.5
234,5.5944967,1.6289622783660889,-1.363885760307312,1.867698550224304,Adam,0.234,0.5
235,5.5936027,1.6289169788360596,-1.3636945486068726,1.8671818971633911,Adam,0.235,0.5
236,5.592706,1.6288666725158691,-1.363502860069275,1.8666640520095823,Adam,0.236,0.5
237,5.5918074,1.628821611404419,-1.363310694694519,1.8661448955535889,Adam,0.237,0.5
238,5.5909066,1.6287808418273926,-1.3631181716918943,1.8656244277954104,Adam,0.238,0.5
239,5.590003,1.6287554502487185,-1.362925410270691,1.8651026487350464,Adam,0.239,0.5
240,5.5890975,1.6287492513656616,-1.3627322912216189,1.8645795583724976,Adam,0.24,0.5
241,5.5881896,1.6287556886672974,-1.3625390529632568,1.864055156707764,Adam,0.241,0.5
242,5.58728,1.628783106803894,-1.362345576286316,1.8635294437408447,Adam,0.242,0.5
243,5.586368,1.628828525543213,-1.362151861190796,1.8630023002624512,Adam,0.243,0.5
244,5.5854535,1.628888487815857,-1.3619579076766968,1.8624738454818728,Adam,0.244,0.5
245,5.5845375,1.6289652585983276,-1.3617637157440186,1.8619440793991089,Adam,0.245,0.5
246,5.5836186,1.629056453704834,-1.3615691661834717,1.86141300201416,Adam,0.246,0.5
247,5.5826974,1.6291579008102417,-1.3613742589950562,1.8608806133270264,Adam,0.247,0.5
248,5.581775,1.6292674541473389,-1.361178994178772,1.860347032546997,Adam,0.248,0.5
249,5.580849,1.6293827295303345,-1.3609833717346191,1.8598122596740725,Adam,0.249,0.5
250,5.5799227,1.629507064819336,-1.360787272453308,1.8592761754989624,Adam,0.25,0.5
251,5.5789933,1.6296356916427612,-1.360590577125549,1.858738899230957,Adam,0.251,0.5
252,5.5780606,1.6297544240951538,-1.3603934049606323,1.858200430870056,Adam,0.252,0.5
253,5.577128,1.6298774480819702,-1.3601956367492676,1.85766077041626,Adam,0.253,0.5
254,5.576191,1.629993200302124,-1.359997272491455,1.8571200370788572,Adam,0.254,0.5
255,5.5752535,1.630095362663269,-1.3597983121871948,1.85657811164856,Adam,0.255,0.5
256,5.5743136,1.630192756652832,-1.3595986366271973,1.8560349941253664,Adam,0.256,0.5
257,5.5733705,1.6302728652954102,-1.359398365020752,1.855490803718567,Adam,0.257,0.5
258,5.572426,1.6303420066833496,-1.3591974973678589,1.854945421218872,Adam,0.258,0.5
259,5.57148,1.6304028034210205,-1.3589961528778076,1.8543988466262815,Adam,0.259,0.5
260,5.5705304,1.6304638385772705,-1.3587942123413086,1.853851079940796,Adam,0.26,0.5
261,5.569579,1.6305166482925415,-1.3585917949676514,1.8533021211624143,Adam,0.261,0.5
262,5.568626,1.6305699348449707,-1.3583887815475464,1.8527519702911377,Adam,0.262,0.5
263,5.5676713,1.6306151151657104,-1.3581852912902832,1.852200627326965,Adam,0.263,0.5
264,5.5667133,1.630660891532898,-1.3579813241958618,1.8516480922698972,Adam,0.264,0.5
265,5.5657525,1.630704402923584,-1.3577769994735718,1.851094365119934,Adam,0.265,0.5
266,5.564792,1.630759358406067,-1.3575721979141235,1.8505394458770752,Adam,0.266,0.5
267,5.563827,1.6308116912841797,-1.3573670387268066,1.8499833345413208,Adam,0.267,0.5
268,5.562862,1.63086998462677,-1.3571614027023315,1.8494259119033811,Adam,0.268,0.5
269,5.561894,1.6309338808059692,-1.3569554090499878,1.8488672971725464,Adam,0.269,0.5
270,5.560923,1.6310031414031982,-1.3567490577697754,1.848307490348816,Adam,0.27,0.5
271,5.5599504,1.631077766418457,-1.3565422296524048,1.84774649143219,Adam,0.271,0.5
272,5.558975,1.631155252456665,-1.3563350439071655,1.847184181213379,Adam,0.272,0.5
273,5.5579996,1.6312408447265625,-1.356127381324768,1.8466206789016724,Adam,0.273,0.5
274,5.5570197,1.6313265562057495,-1.355919361114502,1.8460559844970703,Adam,0.274,0.5
275,5.556039,1.6314178705215454,-1.3557108640670776,1.8454900979995728,Adam,0.275,0.5
276,5.5550566,1.6315093040466309,-1.3555018901824951,1.84492301940918,Adam,0.276,0.5
277,5.5540705,1.6316039562225342,-1.3552924394607544,1.8443547487258911,Adam,0.277,0.5
278,5.553083,1.6316959857940674,-1.3550825119018557,1.843785285949707,Adam,0.278,0.5
279,5.5520935,1.6317884922027588,-1.3548721075057983,1.843214750289917,Adam,0.279,0.5
280,5.5511026,1.6318786144256592,-1.3546611070632937,1.8426430225372317,Adam,0.28,0.5
281,5.550108,1.6319605112075806,-1.3544496297836304,1.8420701026916504,Adam,0.281,0.5
