function,optimizer,seed,initial_x,initial_y,final_loss,final_grad_norm,final_x,iterations,converged,converged_strict,converged_practical,path_length,mean_step_size,oscillation_rate,strict_convergence_threshold,practical_convergence_threshold,error
Rosenbrock,SGD,42,1.64373629133578,0.6332706385123137,0.02450224757194519,0.15946568548679352,"[0.8436997532844543, 0.7111432552337646]",1000,False,False,False,0.9138058128758179,0.0009147205334092271,0.0,1e-06,0.001,
Rosenbrock,SGD,123,1.094111179488861,-1.677073887186664,0.10876326262950897,0.3938136696815491,"[0.6708211898803711, 0.4484213888645172]",1000,False,False,False,1.9359191311086537,0.0019378569880967504,0.0,1e-06,0.001,
Rosenbrock,SGD,456,-0.18196053381140587,0.6859317889427352,0.1500927209854126,0.48913806676864624,"[0.6133558750152588, 0.3743082880973816]",1000,False,False,False,1.6287784666220988,0.0016304088754975964,0.0,1e-06,0.001,
Rosenbrock,SGD,789,-2.450419581208655,-0.715135870823238,,,"[nan, nan]",1000,False,False,False,4.794297085566388e+31,1.198574271391597e+31,1.0,1e-06,0.001,
Rosenbrock,SGD,1011,-1.2952509578973803,1.379941213056373,0.9787330031394958,1.9784902334213257,"[0.012669181451201439, 8.827935380395502e-05]",1000,False,False,False,2.035562265777866,0.0020375998656435097,0.003006012024048096,1e-06,0.001,
Rosenbrock,SGD,1213,0.4051607307853571,-1.336424782813797,0.10664203763008118,0.3887523114681244,"[0.6740444898605347, 0.4527739882469177]",1000,False,False,False,1.8459416096689414,0.0018477893990680094,0.0,1e-06,0.001,
Rosenbrock,SGD,1415,-1.0588132802110195,0.2583181563820962,0.19691357016563416,0.5922382473945618,"[0.5571949481964111, 0.3082599937915802]",1000,False,False,False,1.5102833322646663,0.0015117951273920583,0.0,1e-06,0.001,
Rosenbrock,SGD,1617,-0.031952673883189675,3.2973596935124707,0.357756108045578,0.9306454062461853,"[0.40331295132637024, 0.15973655879497528]",1000,False,False,False,3.837836086891108,0.0038416777646557636,0.0,1e-06,0.001,
Rosenbrock,SGD,1819,-2.668408970933381,0.9954312927793856,,,"[nan, nan]",1000,False,False,False,1.64429834697074e+27,4.11074586742685e+26,1.0,1e-06,0.001,
Rosenbrock,SGD,2021,1.541686967608003,3.6482911987671924,0.14913085103034973,0.26196253299713135,"[1.3858891725540161, 1.9219207763671875]",1000,False,False,False,18.892030961788734,0.018910941903692427,0.12324649298597194,1e-06,0.001,
Rosenbrock,Adam,42,1.64373629133578,0.6332706385123137,0.001343148062005639,0.03641965612769127,"[1.03661048412323, 1.074666142463684]",1000,False,False,False,1.3898078567934624,0.0013911990558493118,0.002004008016032064,1e-06,0.001,
Rosenbrock,Adam,123,1.094111179488861,-1.677073887186664,0.25876301527023315,0.7445356845855713,"[0.49216020107269287, 0.24028773605823517]",1000,False,False,False,2.6590386230353125,0.0026617003233586714,0.0,1e-06,0.001,
Rosenbrock,Adam,456,-0.18196053381140587,0.6859317889427352,0.00201025209389627,0.041792843490839005,"[0.9553667306900024, 0.9125317931175232]",1000,False,False,False,2.868320357788602,0.00287119154933794,0.0,1e-06,0.001,
Rosenbrock,Adam,789,-2.450419581208655,-0.715135870823238,3.3418734073638916,2.3829989433288574,"[-0.8273084759712219, 0.6887752413749695]",1000,False,False,False,2.555821980114291,0.0025583803604747658,0.0,1e-06,0.001,
Rosenbrock,Adam,1011,-1.2952509578973803,1.379941213056373,0.00037556671304628253,0.019268464297056198,"[0.9807472825050354, 0.9618050456047058]",1000,False,False,True,3.800359801416514,0.0038041639653818957,0.002004008016032064,1e-06,0.001,
Rosenbrock,Adam,1213,0.4051607307853571,-1.336424782813797,0.037407923489809036,0.211521178483963,"[0.8071538209915161, 0.650482177734375]",1000,False,False,False,2.7421128509679136,0.0027448577086765904,0.0,1e-06,0.001,
Rosenbrock,Adam,1415,-1.0588132802110195,0.2583181563820962,0.02129419334232807,0.15341012179851532,"[0.8545596599578857, 0.7297457456588745]",1000,False,False,False,2.988647316132785,0.002991638955087873,0.0,1e-06,0.001,
Rosenbrock,Adam,1617,-0.031952673883189675,3.2973596935124707,4.288175106048584,1.754991888999939,"[-1.0687017440795898, 1.1498863697052002]",1000,False,False,False,3.304678158641196,0.003307986144785982,0.0,1e-06,0.001,
Rosenbrock,Adam,1819,-2.668408970933381,0.9954312927793856,5.528570652008057,2.141098737716675,"[-1.3504751920700073, 1.8290305137634277]",1000,False,False,False,2.340592821704237,0.002342935757461699,0.0,1e-06,0.001,
Rosenbrock,Adam,2021,1.541686967608003,3.6482911987671924,0.34798455238342285,0.4069535732269287,"[1.589378833770752, 2.527510643005371]",1000,False,False,False,1.7551687183596094,0.0017569256440036131,0.004008016032064128,1e-06,0.001,
Rosenbrock,SAM_SGD,42,1.64373629133578,0.6332706385123137,0.3423161208629608,4.609604835510254,"[0.4461592733860016, 0.18600253760814667]",1000,False,False,False,22.17610348990214,0.022198301791693832,0.9919839679358717,1e-06,0.001,
Rosenbrock,SAM_SGD,123,1.094111179488861,-1.677073887186664,0.34732353687286377,4.468415260314941,"[0.4402589797973633, 0.18090757727622986]",1000,False,False,False,16.2712887834197,0.01628757635977948,0.8276553106212425,1e-06,0.001,
Rosenbrock,SAM_SGD,456,-0.18196053381140587,0.6859317889427352,0.3359961211681366,2.7829251289367676,"[0.4218829274177551, 0.19137021899223328]",1000,False,False,False,12.7107430360027,0.012723466502505205,0.7054108216432866,1e-06,0.001,
Rosenbrock,SAM_SGD,789,-2.450419581208655,-0.715135870823238,,,"[nan, nan]",0,False,False,False,,,,1e-06,0.001,"SAMWrapper: Non-finite loss detected at current point: inf\nThis indicates numerical instability. Consider: gradient clipping, smaller LR, or AMP."
Rosenbrock,SAM_SGD,1011,-1.2952509578973803,1.379941213056373,0.38139674067497253,3.6663711071014404,"[0.4035106301307678, 0.15069067478179932]",1000,False,False,False,27.340836791604506,0.027368204996601107,0.7104208416833667,1e-06,0.001,
Rosenbrock,SAM_SGD,1213,0.4051607307853571,-1.336424782813797,0.3298104405403137,2.8323867321014404,"[0.4273281693458557, 0.19645963609218597]",1000,False,False,False,16.401622835470082,0.016418040876346428,0.8416833667334669,1e-06,0.001,
Rosenbrock,SAM_SGD,1415,-1.0588132802110195,0.2583181563820962,0.3570094406604767,4.214244842529297,"[0.4292566478252411, 0.17158468067646027]",1000,False,False,False,13.09526580861241,0.013108374182795205,0.7054108216432866,1e-06,0.001,
Rosenbrock,SAM_SGD,1617,-0.031952673883189675,3.2973596935124707,0.3661818206310272,3.9939966201782227,"[0.4192753732204437, 0.1633295714855194]",1000,False,False,False,18.5312591195991,0.018549808928527627,0.7044088176352705,1e-06,0.001,
Rosenbrock,SAM_SGD,1819,-2.668408970933381,0.9954312927793856,,,"[nan, nan]",0,False,False,False,,,,1e-06,0.001,"SAMWrapper: Non-finite loss detected at current point: inf\nThis indicates numerical instability. Consider: gradient clipping, smaller LR, or AMP."
Rosenbrock,SAM_SGD,2021,1.541686967608003,3.6482911987671924,0.38280585408210754,2.4698474407196045,"[0.38254672288894653, 0.15656986832618713]",1000,False,False,False,45.21420126948574,0.04525946073021596,0.7054108216432866,1e-06,0.001,
Rastrigin,SGD,42,1.683827571005236,-0.20169828719513205,3.9798316955566406,2.5272369384765625e-05,"[1.9899121522903442, -1.401298464324817e-45]",1000,False,False,False,0.29123013913473195,0.0002915216607955275,0.0,1e-06,0.001,
Rastrigin,SGD,123,-1.6575102915803281,-4.531933285238857,28.85354995727539,8.764598896959797e-05,"[-1.9899121522903442, -4.974690914154053]",1000,False,False,False,0.6433611867070683,0.0006440051918989673,0.0,1e-06,0.001,
Rastrigin,SGD,456,-1.2216614369254044,2.0531764329755564,4.974790573120117,3.649595964816399e-05,"[-0.9949586391448975, 1.9899122714996338]",1000,False,False,False,0.16700332380021118,0.00016717049429450568,0.0,1e-06,0.001,
Rastrigin,SGD,789,3.2307403966547765,1.9337431868081305,12.934430122375488,4.939351856592111e-05,"[2.9848556518554688, 1.9899121522903442]",1000,False,False,False,0.18044794830910052,0.0001806285768859865,0.0,1e-06,0.001,
Rastrigin,SGD,1011,-4.878722908975583,2.3402788899427502,28.85354995727539,9.08559377421625e-05,"[-4.974690914154053, 1.9899122714996338]",1000,False,False,False,0.3001225178747058,0.0003004229408155213,0.0,1e-06,0.001,
Rastrigin,SGD,1213,2.9514961592824482,3.408781320718883,17.909198760986328,8.855573105392978e-05,"[2.9848554134368896, 2.9848556518554688]",1000,False,False,False,0.38393673032866943,0.0003843210513800495,0.0,1e-06,0.001,
Rastrigin,SGD,1415,-0.534376602263567,3.3282501098601562,9.94955825805664,4.6527678932761773e-05,"[-0.9949585795402527, 2.9848556518554688]",1000,False,False,False,0.5992472286439642,0.0005998470757196838,0.0,1e-06,0.001,
Rastrigin,SGD,1617,-0.8436690048393052,-1.1316626332592739,1.9899177551269531,2.2001784600433894e-05,"[-0.9949585795402527, -0.9949586391448975]",1000,False,False,False,0.13388624239531968,0.00013402026265797766,0.0,1e-06,0.001,
Rastrigin,SGD,1819,2.8948171536461826,-4.5797784560242345,33.82831954956055,0.00011438626825110987,"[2.9848554134368896, -4.974690914154053]",1000,False,False,False,0.38510056423020345,0.0003854860502804839,0.0,1e-06,0.001,
Rastrigin,SGD,2021,-4.611519197527872,-1.7762072028728015,28.85354995727539,8.764598896959797e-05,"[-4.974690914154053, -1.9899121522903442]",1000,False,False,False,0.38006707348304436,0.0003804475210040484,0.0,1e-06,0.001,
Rastrigin,Adam,42,1.683827571005236,-0.20169828719513205,3.9798316955566406,2.5272369384765625e-05,"[1.9899121522903442, -1.734880257701964e-24]",1000,False,False,False,0.9889002859245001,0.0009898901761006007,0.06412825651302605,1e-06,0.001,
Rastrigin,Adam,123,-1.6575102915803281,-4.531933285238857,28.853553771972656,4.34026587754488e-05,"[-1.9899121522903442, -4.974691390991211]",1000,False,False,False,1.235158540127681,0.0012363949350627438,0.0,1e-06,0.001,
Rastrigin,Adam,456,-1.2216614369254044,2.0531764329755564,4.974790573120117,3.9692218706477433e-05,"[-0.9949585795402527, 1.9899120330810547]",1000,False,False,False,0.7231249087594656,0.0007238487575169825,0.08216432865731463,1e-06,0.001,
Rastrigin,Adam,789,3.2307403966547765,1.9337431868081305,12.934430122375488,4.939351856592111e-05,"[2.9848554134368896, 1.9899122714996338]",1000,False,False,False,0.7450312400594216,0.0007457770170764981,0.09919839679358718,1e-06,0.001,
Rastrigin,Adam,1011,-4.878722908975583,2.3402788899427502,28.853553771972656,4.34026587754488e-05,"[-4.974690914154053, 1.9899121522903442]",1000,False,False,False,0.9176527083639631,0.0009185712796436066,0.04008016032064128,1e-06,0.001,
Rastrigin,Adam,1213,2.9514961592824482,3.408781320718883,17.909198760986328,0.0001675870589679107,"[2.9848549365997314, 2.9848556518554688]",1000,False,False,False,0.9443952448155863,0.0009453405854009874,0.2985971943887776,1e-06,0.001,
Rastrigin,Adam,1415,-0.534376602263567,3.3282501098601562,9.949559211730957,7.849440589779988e-05,"[-0.9949586391448975, 2.9848551750183105]",1000,False,False,False,1.2566376989990768,0.0012578955945936705,0.006012024048096192,1e-06,0.001,
Rastrigin,Adam,1617,-0.8436690048393052,-1.1316626332592739,1.9899177551269531,2.2001784600433894e-05,"[-0.9949585795402527, -0.9949585795402527]",1000,False,False,False,0.700679193769381,0.0007013805743437247,0.021042084168336674,1e-06,0.001,
Rastrigin,Adam,1819,2.8948171536461826,-4.5797784560242345,33.82831954956055,0.00011438626825110987,"[2.9848554134368896, -4.974691390991211]",1000,False,False,False,0.9641826885314673,0.0009651478363678351,0.08617234468937876,1e-06,0.001,
Rastrigin,Adam,2021,-4.611519197527872,-1.7762072028728015,28.85354995727539,8.764598896959797e-05,"[-4.974690914154053, -1.9899121522903442]",1000,False,False,False,1.0681809626595482,0.0010692502128724205,0.004008016032064128,1e-06,0.001,
Rastrigin,SAM_SGD,42,1.683827571005236,-0.20169828719513205,4.008116722106934,4.736055850982666,"[1.981785774230957, -0.009341277182102203]",1000,False,False,False,24.46092722606869,0.024485412638707398,0.9949899799599199,1e-06,0.001,
Rastrigin,SAM_SGD,123,-1.6575102915803281,-4.531933285238857,44.365333557128906,5.038525581359863,"[-2.0010569095611572, -4.522993564605713]",1000,False,False,False,23.963906395451648,0.02398789428974139,0.9909819639278558,1e-06,0.001,
Rastrigin,SAM_SGD,456,-1.2216614369254044,2.0531764329755564,5.006000518798828,4.96772575378418,"[-1.0037428140640259, 1.9977335929870605]",1000,False,False,False,24.36283391002572,0.024387221131156878,0.996993987975952,1e-06,0.001,
Rastrigin,SAM_SGD,789,3.2307403966547765,1.9337431868081305,12.963296890258789,4.777087211608887,"[2.992565631866455, 1.980495572090149]",1000,False,False,False,24.309090247637556,0.024333423671308866,0.996993987975952,1e-06,0.001,
Rastrigin,SAM_SGD,1011,-4.878722908975583,2.3402788899427502,28.88463020324707,4.949161529541016,"[-4.970083713531494, 2.0004632472991943]",1000,False,False,False,24.19269840530535,0.024216915320625976,0.9949899799599199,1e-06,0.001,
Rastrigin,SAM_SGD,1213,2.9514961592824482,3.408781320718883,17.938148498535156,4.779901027679443,"[2.9761624336242676, 2.993283271789551]",1000,False,False,False,24.36023073511068,0.02438461535046114,0.9929859719438878,1e-06,0.001,
Rastrigin,SAM_SGD,1415,-0.534376602263567,3.3282501098601562,9.978499412536621,4.786023139953613,"[-1.0046550035476685, 2.977487325668335]",1000,False,False,False,24.55723250926714,0.02458181432359073,0.9879759519038076,1e-06,0.001,
Rastrigin,SAM_SGD,1617,-0.8436690048393052,-1.1316626332592739,2.0192909240722656,4.825061321258545,"[-1.0035215616226196, -0.9863072037696838]",1000,False,False,False,24.37737494222632,0.024401776718945268,0.9979959919839679,1e-06,0.001,
Rastrigin,SAM_SGD,1819,2.8948171536461826,-4.5797784560242345,33.852169036865234,4.342623710632324,"[2.9733781814575195, -4.968475341796875]",1000,False,False,False,24.10393282993162,0.02412806089082244,0.9889779559118237,1e-06,0.001,
Rastrigin,SAM_SGD,2021,-4.611519197527872,-1.7762072028728015,28.885730743408203,5.033493995666504,"[-4.978846073150635, -2.000396490097046]",1000,False,False,False,24.21341410279535,0.0242376517545499,0.9919839679358717,1e-06,0.001,
