iteration,loss,grad_norm,x,y,optimizer,elapsed_seconds,test_acc
0,12.5,10.0,-1.4904829263687134,2.003070116043091,SGD,0.0,0.5
1,10.975381851196287,9.999999046325684,-1.4809672832489014,2.006144762039185,SGD,0.001,0.5
2,9.656559944152832,10.000000953674316,-1.471451759338379,2.0092196464538574,SGD,0.002,0.5
3,8.540130615234375,9.999999046325684,-1.4619343280792236,2.0122883319854736,SGD,0.003,0.5
4,7.622714519500732,10.0,-1.4524112939834597,2.0153398513793945,SGD,0.004,0.5
5,6.900905609130859,10.0,-1.442875862121582,2.0183522701263428,SGD,0.005,0.5
6,6.371356964111328,10.0,-1.433313012123108,2.0212764739990234,SGD,0.006,0.5
7,6.030636310577393,10.0,-1.4236775636672974,2.023951768875122,SGD,0.007,0.5
8,5.875056743621826,6.528210163116455,-1.41717529296875,2.024533033370972,SGD,0.008,0.5
9,5.868809223175049,5.392844676971436,-1.4214942455291748,2.021303653717041,SGD,0.009,0.5
10,5.863677978515625,4.470902442932129,-1.4170253276824951,2.021172046661377,SGD,0.01,0.5
11,5.8594651222229,3.7451791763305664,-1.4196795225143433,2.018529891967773,SGD,0.011,0.5
12,5.855773448944092,3.171931505203247,-1.4165663719177246,2.0179219245910645,SGD,0.012,0.5
13,5.852475643157959,2.7330358028411865,-1.418114423751831,2.015669584274292,SGD,0.013,0.5
14,5.849412441253662,2.4000513553619385,-1.415899395942688,2.0147454738616943,SGD,0.014,0.5
15,5.846518516540527,2.155843734741211,-1.416716694831848,2.012750625610352,SGD,0.015,0.5
16,5.8437275886535645,1.9797016382217407,-1.415093183517456,2.011617660522461,SGD,0.016,0.5
17,5.841009140014648,1.8566854000091555,-1.4154304265975952,2.009791851043701,SGD,0.017,0.5
18,5.838335514068604,1.772290587425232,-1.4141939878463743,2.0085220336914062,SGD,0.018,0.5
19,5.835690498352051,1.7156319618225098,-1.4142175912857056,2.0068066120147705,SGD,0.019,0.5
20,5.833063125610352,1.6781554222106934,-1.4132330417633057,2.005447626113892,SGD,0.02,0.5
21,5.830450534820557,1.6537922620773315,-1.413053274154663,2.0038037300109863,SGD,0.021,0.5
22,5.827844619750977,1.6380136013031006,-1.4122313261032104,2.0023868083953857,SGD,0.022,0.5
23,5.825243949890137,1.6279345750808716,-1.4119200706481934,2.000788927078247,SGD,0.023,0.5
24,5.822644710540772,1.6215569972991943,-1.4112024307250977,1.9993348121643064,SGD,0.024,0.5
25,5.820047855377197,1.6175878047943115,-1.4108070135116575,1.9977662563323972,SGD,0.025,0.5
26,5.81745195388794,1.6151365041732788,-1.4101556539535522,1.9962882995605469,SGD,0.026,0.5
27,5.814856052398682,1.613651156425476,-1.409706473350525,1.9947384595870967,SGD,0.027,0.5
28,5.812260150909424,1.6127887964248655,-1.4090970754623413,1.993245244026184,SGD,0.028,0.5
29,5.809663772583008,1.6123164892196655,-1.408613681793213,1.9917070865631104,SGD,0.029,0.5
30,5.807066440582275,1.612093210220337,-1.4080305099487305,1.990204215049744,SGD,0.03,0.5
31,5.804470062255859,1.6120249032974243,-1.4075254201889038,1.9886733293533323,SGD,0.031,0.5
32,5.801872730255127,1.6120519638061523,-1.4069585800170898,1.9871642589569087,SGD,0.032,0.5
33,5.79927396774292,1.612140417098999,-1.4064396619796753,1.985637903213501,SGD,0.033,0.5
34,5.796675682067871,1.612266182899475,-1.4058828353881836,1.984124779701233,SGD,0.034,0.5
35,5.794075965881348,1.612417459487915,-1.4053552150726318,1.9826011657714844,SGD,0.035,0.5
