iteration,loss,grad_norm,optimizer,elapsed_seconds,test_acc
0,404.0,10.000000953674316,Adam_start8,0.0,0.5
1,346.97808837890625,10.000000953674316,Adam_start8,0.001,0.5
2,296.0143737792969,10.000000953674316,Adam_start8,0.002,0.5
3,250.6787872314453,10.000000953674316,Adam_start8,0.003,0.5
4,210.55715942382807,10.0,Adam_start8,0.004,0.5
5,175.25108337402344,10.0,Adam_start8,0.005,0.5
6,144.37811279296875,10.0,Adam_start8,0.006,0.5
7,117.5713882446289,10.0,Adam_start8,0.007,0.5
8,94.47998046875,10.000001907348633,Adam_start8,0.008,0.5
9,74.76850128173828,10.000000953674316,Adam_start8,0.009,0.5
10,58.11736679077149,10.0,Adam_start8,0.01,0.5
11,44.222686767578125,9.999999046325684,Adam_start8,0.011,0.5
12,32.79643249511719,10.0,Adam_start8,0.012,0.5
13,23.56656265258789,10.000000953674316,Adam_start8,0.013,0.5
14,16.277435302734375,10.0,Adam_start8,0.014,0.5
15,10.690322875976562,10.0,Adam_start8,0.015,0.5
16,6.584287643432617,10.0,Adam_start8,0.016,0.5
17,3.757357120513916,10.0,Adam_start8,0.017,0.5
18,2.027966260910034,10.0,Adam_start8,0.018,0.5
19,1.236297607421875,5.392385005950928,Adam_start8,0.019,0.5
20,1.2299835681915283,7.360030651092529,Adam_start8,0.02,0.5
21,1.6531803607940674,10.0,Adam_start8,0.021,0.5
22,2.093233108520508,9.999999046325684,Adam_start8,0.022,0.5
23,2.348905086517334,9.999998092651367,Adam_start8,0.023,0.5
24,2.356426954269409,10.0,Adam_start8,0.024,0.5
25,2.1324734687805176,9.999999046325684,Adam_start8,0.025,0.5
26,1.7409709692001345,9.999999046325684,Adam_start8,0.026,0.5
27,1.274526596069336,9.999998092651367,Adam_start8,0.027,0.5
28,0.8448456525802612,9.999999046325684,Adam_start8,0.028,0.5
29,0.5788017511367798,3.389845609664917,Adam_start8,0.029,0.5
30,0.5928614139556885,5.646922588348389,Adam_start8,0.03,0.5
31,0.8254251480102539,9.999999046325684,Adam_start8,0.031,0.5
32,1.0874873399734497,10.0,Adam_start8,0.032,0.5
33,1.250026822090149,9.999999046325684,Adam_start8,0.033,0.5
34,1.256275296211243,10.0,Adam_start8,0.034,0.5
35,1.112069606781006,10.0,Adam_start8,0.035,0.5
36,0.8715026378631592,9.999999046325684,Adam_start8,0.036,0.5
37,0.6207388639450073,9.994150161743164,Adam_start8,0.037,0.5
38,0.4620771110057831,2.954408645629883,Adam_start8,0.038,0.5
39,0.4750775396823883,4.332069873809815,Adam_start8,0.039,0.5
40,0.5969095230102539,9.516799926757812,Adam_start8,0.04,0.5
41,0.6949215531349182,10.0,Adam_start8,0.041,0.5
42,0.7023124098777771,9.999999046325684,Adam_start8,0.042,0.5
