iteration,loss,grad_norm,optimizer,elapsed_seconds,test_acc
0,1806.5,10.0,SAM_Adam_start1,0.0,0.5
1,1642.478271484375,9.999999046325684,SAM_Adam_start1,0.001,0.5
2,1490.1038818359375,10.0,SAM_Adam_start1,0.002,0.5
3,1348.791259765625,10.0,SAM_Adam_start1,0.003,0.5
4,1217.97021484375,10.0,SAM_Adam_start1,0.004,0.5
5,1097.088134765625,10.0,SAM_Adam_start1,0.005,0.5
6,985.6079711914062,10.000000953674316,SAM_Adam_start1,0.006,0.5
7,883.010009765625,10.000000953674316,SAM_Adam_start1,0.007,0.5
8,788.7903442382812,10.0,SAM_Adam_start1,0.008,0.5
9,702.4609985351562,10.000000953674316,SAM_Adam_start1,0.009,0.5
10,623.551025390625,10.0,SAM_Adam_start1,0.01,0.5
11,551.6048583984375,9.999999046325684,SAM_Adam_start1,0.011,0.5
12,486.1832275390625,10.0,SAM_Adam_start1,0.012,0.5
13,426.86273193359375,9.999999046325684,SAM_Adam_start1,0.013,0.5
14,373.2355651855469,10.0,SAM_Adam_start1,0.014,0.5
15,324.90972900390625,10.0,SAM_Adam_start1,0.015,0.5
16,281.5086975097656,9.999999046325684,SAM_Adam_start1,0.016,0.5
17,242.671142578125,9.999999046325684,SAM_Adam_start1,0.017,0.5
18,208.0510711669922,10.000000953674316,SAM_Adam_start1,0.018,0.5
19,177.3175506591797,10.0,SAM_Adam_start1,0.019,0.5
20,150.15432739257812,10.000000953674316,SAM_Adam_start1,0.02,0.5
21,126.2599105834961,10.0,SAM_Adam_start1,0.021,0.5
22,105.34735107421876,10.000000953674316,SAM_Adam_start1,0.022,0.5
23,87.14400482177734,10.0,SAM_Adam_start1,0.023,0.5
24,71.39155578613281,10.000000953674316,SAM_Adam_start1,0.024,0.5
25,57.846038818359375,9.999999046325684,SAM_Adam_start1,0.025,0.5
26,46.27806854248047,10.000000953674316,SAM_Adam_start1,0.026,0.5
27,36.47332000732422,10.0,SAM_Adam_start1,0.027,0.5
28,28.23341178894043,10.0,SAM_Adam_start1,0.028,0.5
29,21.37711906433105,9.999999046325684,SAM_Adam_start1,0.029,0.5
30,15.741944313049316,10.0,SAM_Adam_start1,0.03,0.5
31,11.185832023620604,10.0,SAM_Adam_start1,0.031,0.5
32,7.588770866394043,10.0,SAM_Adam_start1,0.032,0.5
33,4.853894710540772,10.0,SAM_Adam_start1,0.033,0.5
34,2.907743453979492,9.999999046325684,SAM_Adam_start1,0.034,0.5
35,1.6995282173156738,9.999999046325684,SAM_Adam_start1,0.035,0.5
36,1.1992841958999634,5.771482944488525,SAM_Adam_start1,0.036,0.5
37,1.3776248693466189,9.999998092651367,SAM_Adam_start1,0.037,0.5
38,1.947286605834961,10.0,SAM_Adam_start1,0.038,0.5
39,2.5833327770233154,9.999999046325684,SAM_Adam_start1,0.039,0.5
40,3.097846746444702,9.999999046325684,SAM_Adam_start1,0.04,0.5
41,3.399019718170166,9.999999046325684,SAM_Adam_start1,0.041,0.5
42,3.4614546298980717,9.999999046325684,SAM_Adam_start1,0.042,0.5
43,3.3051633834838867,9.999998092651367,SAM_Adam_start1,0.043,0.5
44,2.9808270931243896,9.999998092651367,SAM_Adam_start1,0.044,0.5
45,2.559569358825684,9.999998092651367,SAM_Adam_start1,0.045,0.5
46,2.1259655952453613,9.999998092651367,SAM_Adam_start1,0.046,0.5
47,1.7732293605804443,9.999998092651367,SAM_Adam_start1,0.047,0.5
48,1.599091649055481,3.9632315635681152,SAM_Adam_start1,0.048,0.5
49,1.67267906665802,9.159422874450684,SAM_Adam_start1,0.049,0.5
50,1.8692644834518437,10.0,SAM_Adam_start1,0.05,0.5
51,2.034774780273437,9.999999046325684,SAM_Adam_start1,0.051,0.5
52,2.093101978302002,9.999999046325684,SAM_Adam_start1,0.052,0.5
53,2.0302929878234863,9.999999046325684,SAM_Adam_start1,0.053,0.5
54,1.8762521743774412,9.999998092651367,SAM_Adam_start1,0.054,0.5
55,1.6880284547805786,10.0,SAM_Adam_start1,0.055,0.5
56,1.5355494022369385,6.320925235748291,SAM_Adam_start1,0.056,0.5
57,1.4863122701644895,3.8503687381744394,SAM_Adam_start1,0.057,0.5
58,1.524809718132019,8.344400405883789,SAM_Adam_start1,0.058,0.5
59,1.5669004917144775,9.999999046325684,SAM_Adam_start1,0.059,0.5
60,1.556754231452942,10.0,SAM_Adam_start1,0.06,0.5
61,1.489097237586975,9.999999046325684,SAM_Adam_start1,0.061,0.5
62,1.389153242111206,7.755691051483154,SAM_Adam_start1,0.062,0.5
