iteration,loss,grad_norm,optimizer,elapsed_seconds,test_acc
0,2501.0,9.999999046325684,SAM_SGD_start4,0.0,0.5
1,1007.6226806640624,9.999999046325684,SAM_SGD_start4,0.001,0.5
2,325.6111145019531,9.999999046325684,SAM_SGD_start4,0.002,0.5
3,73.19205474853516,10.000000953674316,SAM_SGD_start4,0.003,0.5
4,5.860568046569824,10.0,SAM_SGD_start4,0.004,0.5
5,8.761557579040527,10.0,SAM_SGD_start4,0.005,0.5
6,5.826476573944092,10.0,SAM_SGD_start4,0.006,0.5
7,8.757781028747559,10.0,SAM_SGD_start4,0.007,0.5
8,5.82871150970459,9.999998092651367,SAM_SGD_start4,0.008,0.5
9,8.75768756866455,10.0,SAM_SGD_start4,0.009,0.5
10,5.828591823577881,10.0,SAM_SGD_start4,0.01,0.5
11,8.757691383361816,10.0,SAM_SGD_start4,0.011,0.5
12,5.8286004066467285,10.0,SAM_SGD_start4,0.012,0.5
13,8.757691383361816,9.999999046325684,SAM_SGD_start4,0.013,0.5
14,5.828596115112305,10.000000953674316,SAM_SGD_start4,0.014,0.5
15,8.757699966430664,10.0,SAM_SGD_start4,0.015,0.5
16,5.828591823577881,9.999999046325684,SAM_SGD_start4,0.016,0.5
17,8.757699966430664,10.0,SAM_SGD_start4,0.017,0.5
18,5.828591823577881,10.0,SAM_SGD_start4,0.018,0.5
19,8.757699966430664,10.0,SAM_SGD_start4,0.019,0.5
20,5.828591823577881,10.0,SAM_SGD_start4,0.02,0.5
21,8.757699966430664,10.0,SAM_SGD_start4,0.021,0.5
22,5.828591823577881,10.0,SAM_SGD_start4,0.022,0.5
23,8.757699966430664,10.0,SAM_SGD_start4,0.023,0.5
24,5.828591823577881,10.0,SAM_SGD_start4,0.024,0.5
25,8.757699966430664,10.0,SAM_SGD_start4,0.025,0.5
26,5.828591823577881,10.0,SAM_SGD_start4,0.026,0.5
27,8.757699966430664,10.0,SAM_SGD_start4,0.027,0.5
28,5.828591823577881,10.0,SAM_SGD_start4,0.028,0.5
29,8.757699966430664,10.0,SAM_SGD_start4,0.029,0.5
30,5.828591823577881,10.0,SAM_SGD_start4,0.03,0.5
31,8.757699966430664,10.0,SAM_SGD_start4,0.031,0.5
32,5.828591823577881,10.0,SAM_SGD_start4,0.032,0.5
33,8.757699966430664,10.0,SAM_SGD_start4,0.033,0.5
34,5.828591823577881,10.0,SAM_SGD_start4,0.034,0.5
35,8.757699966430664,10.0,SAM_SGD_start4,0.035,0.5
36,5.828591823577881,10.0,SAM_SGD_start4,0.036,0.5
37,8.757699966430664,10.0,SAM_SGD_start4,0.037,0.5
38,5.828591823577881,10.0,SAM_SGD_start4,0.038,0.5
39,8.757699966430664,10.0,SAM_SGD_start4,0.039,0.5
40,5.828591823577881,10.0,SAM_SGD_start4,0.04,0.5
41,8.757699966430664,10.0,SAM_SGD_start4,0.041,0.5
42,5.828591823577881,10.0,SAM_SGD_start4,0.042,0.5
43,8.757699966430664,10.0,SAM_SGD_start4,0.043,0.5
44,5.828591823577881,10.0,SAM_SGD_start4,0.044,0.5
45,8.757699966430664,10.0,SAM_SGD_start4,0.045,0.5
46,5.828591823577881,10.0,SAM_SGD_start4,0.046,0.5
47,8.757699966430664,10.0,SAM_SGD_start4,0.047,0.5
48,5.828591823577881,10.0,SAM_SGD_start4,0.048,0.5
49,8.757699966430664,10.0,SAM_SGD_start4,0.049,0.5
50,5.828591823577881,10.0,SAM_SGD_start4,0.05,0.5
51,8.757699966430664,10.0,SAM_SGD_start4,0.051,0.5
52,5.828591823577881,10.0,SAM_SGD_start4,0.052,0.5
53,8.757699966430664,10.0,SAM_SGD_start4,0.053,0.5
54,5.828591823577881,10.0,SAM_SGD_start4,0.054,0.5
55,8.757699966430664,10.0,SAM_SGD_start4,0.055,0.5
56,5.828591823577881,10.0,SAM_SGD_start4,0.056,0.5
57,8.757699966430664,10.0,SAM_SGD_start4,0.057,0.5
58,5.828591823577881,10.0,SAM_SGD_start4,0.058,0.5
59,8.757699966430664,10.0,SAM_SGD_start4,0.059,0.5
60,5.828591823577881,10.0,SAM_SGD_start4,0.06,0.5
61,8.757699966430664,10.0,SAM_SGD_start4,0.061,0.5
62,5.828591823577881,10.0,SAM_SGD_start4,0.062,0.5
63,8.757699966430664,10.0,SAM_SGD_start4,0.063,0.5
64,5.828591823577881,10.0,SAM_SGD_start4,0.064,0.5
65,8.757699966430664,10.0,SAM_SGD_start4,0.065,0.5
66,5.828591823577881,10.0,SAM_SGD_start4,0.066,0.5
67,8.757699966430664,10.0,SAM_SGD_start4,0.067,0.5
68,5.828591823577881,10.0,SAM_SGD_start4,0.068,0.5
69,8.757699966430664,10.0,SAM_SGD_start4,0.069,0.5
70,5.828591823577881,10.0,SAM_SGD_start4,0.07,0.5
71,8.757699966430664,10.0,SAM_SGD_start4,0.071,0.5
72,5.828591823577881,10.0,SAM_SGD_start4,0.072,0.5
73,8.757699966430664,10.0,SAM_SGD_start4,0.073,0.5
74,5.828591823577881,10.0,SAM_SGD_start4,0.074,0.5
75,8.757699966430664,10.0,SAM_SGD_start4,0.075,0.5
76,5.828591823577881,10.0,SAM_SGD_start4,0.076,0.5
77,8.757699966430664,10.0,SAM_SGD_start4,0.077,0.5
78,5.828591823577881,10.0,SAM_SGD_start4,0.078,0.5
79,8.757699966430664,10.0,SAM_SGD_start4,0.079,0.5
80,5.828591823577881,10.0,SAM_SGD_start4,0.08,0.5
81,8.757699966430664,10.0,SAM_SGD_start4,0.081,0.5
82,5.828591823577881,10.0,SAM_SGD_start4,0.082,0.5
83,8.757699966430664,10.0,SAM_SGD_start4,0.083,0.5
84,5.828591823577881,10.0,SAM_SGD_start4,0.084,0.5
85,8.757699966430664,10.0,SAM_SGD_start4,0.085,0.5
86,5.828591823577881,10.0,SAM_SGD_start4,0.086,0.5
87,8.757699966430664,10.0,SAM_SGD_start4,0.087,0.5
88,5.828591823577881,10.0,SAM_SGD_start4,0.088,0.5
89,8.757699966430664,10.0,SAM_SGD_start4,0.089,0.5
90,5.828591823577881,10.0,SAM_SGD_start4,0.09,0.5
91,8.757699966430664,10.0,SAM_SGD_start4,0.091,0.5
92,5.828591823577881,10.0,SAM_SGD_start4,0.092,0.5
93,8.757699966430664,10.0,SAM_SGD_start4,0.093,0.5
94,5.828591823577881,10.0,SAM_SGD_start4,0.094,0.5
95,8.757699966430664,10.0,SAM_SGD_start4,0.095,0.5
96,5.828591823577881,10.0,SAM_SGD_start4,0.096,0.5
97,8.757699966430664,10.0,SAM_SGD_start4,0.097,0.5
98,5.828591823577881,10.0,SAM_SGD_start4,0.098,0.5
99,8.757699966430664,10.0,SAM_SGD_start4,0.099,0.5
100,5.828591823577881,10.0,SAM_SGD_start4,0.1,0.5
101,8.757699966430664,10.0,SAM_SGD_start4,0.101,0.5
102,5.828591823577881,10.0,SAM_SGD_start4,0.102,0.5
103,8.757699966430664,10.0,SAM_SGD_start4,0.103,0.5
104,5.828591823577881,10.0,SAM_SGD_start4,0.104,0.5
105,8.757699966430664,10.0,SAM_SGD_start4,0.105,0.5
106,5.828591823577881,10.0,SAM_SGD_start4,0.106,0.5
107,8.757699966430664,10.0,SAM_SGD_start4,0.107,0.5
