iteration,loss,grad_norm,optimizer,elapsed_seconds,test_acc
0,58.5,10.0,SGD_Momentum_start3,0.0,0.5
1,4.210078716278076,10.0,SGD_Momentum_start3,0.001,0.5
2,27.226884841918945,10.000000953674316,SGD_Momentum_start3,0.002,0.5
3,4.504505634307861,10.000000953674316,SGD_Momentum_start3,0.003,0.5
4,4.14805793762207,10.0,SGD_Momentum_start3,0.004,0.5
5,111.57781219482422,10.000000953674316,SGD_Momentum_start3,0.005,0.5
6,94.82972717285156,9.999999046325684,SGD_Momentum_start3,0.006,0.5
7,65.9631576538086,10.0,SGD_Momentum_start3,0.007,0.5
8,82.27287292480469,10.0,SGD_Momentum_start3,0.008,0.5
9,63.76925277709961,10.000000953674316,SGD_Momentum_start3,0.009,0.5
10,36.2818489074707,10.0,SGD_Momentum_start3,0.01,0.5
11,253.52207946777344,10.0,SGD_Momentum_start3,0.011,0.5
12,267.15447998046875,9.999999046325684,SGD_Momentum_start3,0.012,0.5
13,14.30147647857666,10.0,SGD_Momentum_start3,0.013,0.5
14,3.5500378608703613,10.0,SGD_Momentum_start3,0.014,0.5
15,474.2388305664063,10.0,SGD_Momentum_start3,0.015,0.5
16,465.1871948242188,10.0,SGD_Momentum_start3,0.016,0.5
17,0.7360048890113831,9.472100257873535,SGD_Momentum_start3,0.017,0.5
18,1.111697554588318,10.0,SGD_Momentum_start3,0.018,0.5
19,244.2694854736328,9.999999046325684,SGD_Momentum_start3,0.019,0.5
20,183.2221527099609,10.0,SGD_Momentum_start3,0.02,0.5
21,36.85784530639648,10.0,SGD_Momentum_start3,0.021,0.5
22,36.8184928894043,10.0,SGD_Momentum_start3,0.022,0.5
23,122.76519012451172,10.0,SGD_Momentum_start3,0.023,0.5
24,86.9469223022461,10.0,SGD_Momentum_start3,0.024,0.5
25,91.8232192993164,9.999999046325684,SGD_Momentum_start3,0.025,0.5
26,83.17366027832031,10.0,SGD_Momentum_start3,0.026,0.5
27,58.42330932617188,10.0,SGD_Momentum_start3,0.027,0.5
28,37.41741561889648,10.0,SGD_Momentum_start3,0.028,0.5
29,131.05319213867188,10.0,SGD_Momentum_start3,0.029,0.5
