iteration,loss,grad_norm,optimizer,elapsed_seconds,test_acc
0,909.0,10.000000953674316,SGD_start5,0.0,0.5
1,144.1076202392578,9.999999046325684,SGD_start5,0.001,0.5
2,7.989408493041992,10.0,SGD_start5,0.002,0.5
3,139.99343872070312,10.0,SGD_start5,0.003,0.5
4,7.506307601928711,10.000000953674316,SGD_start5,0.004,0.5
5,135.6570281982422,10.0,SGD_start5,0.005,0.5
6,7.0179643630981445,10.0,SGD_start5,0.006,0.5
7,131.06346130371094,10.0,SGD_start5,0.007,0.5
8,6.524277687072754,10.000001907348633,SGD_start5,0.008,0.5
9,126.16776275634766,10.0,SGD_start5,0.009,0.5
10,6.025176048278809,10.0,SGD_start5,0.01,0.5
11,120.91032409667967,10.0,SGD_start5,0.011,0.5
12,5.520655632019043,10.0,SGD_start5,0.012,0.5
13,115.2099609375,10.0,SGD_start5,0.013,0.5
14,5.010794639587402,10.0,SGD_start5,0.014,0.5
15,108.9509048461914,10.000000953674316,SGD_start5,0.015,0.5
16,4.495811462402344,10.0,SGD_start5,0.016,0.5
17,101.9582061767578,10.0,SGD_start5,0.017,0.5
18,3.9761013984680176,10.000000953674316,SGD_start5,0.018,0.5
19,93.9463882446289,10.0,SGD_start5,0.019,0.5
20,3.4522082805633545,10.0,SGD_start5,0.02,0.5
21,84.39193725585938,10.0,SGD_start5,0.021,0.5
22,2.924346685409546,9.999999046325684,SGD_start5,0.022,0.5
23,72.14862060546875,10.0,SGD_start5,0.023,0.5
24,2.389065742492676,9.222498893737791,SGD_start5,0.024,0.5
25,45.18980407714844,10.0,SGD_start5,0.025,0.5
26,2.181027173995972,9.999999046325684,SGD_start5,0.026,0.5
27,33.688018798828125,10.0,SGD_start5,0.027,0.5
28,1.414016604423523,5.660480499267578,SGD_start5,0.028,0.5
29,7.29960823059082,10.0,SGD_start5,0.029,0.5
30,7.178974628448486,10.0,SGD_start5,0.03,0.5
31,7.245728969573975,10.000000953674316,SGD_start5,0.031,0.5
32,7.178468227386475,9.999999046325684,SGD_start5,0.032,0.5
33,7.245738983154297,10.0,SGD_start5,0.033,0.5
34,7.178468227386475,10.0,SGD_start5,0.034,0.5
35,7.245741844177246,10.0,SGD_start5,0.035,0.5
36,7.178466320037842,10.0,SGD_start5,0.036,0.5
37,7.245743274688721,10.0,SGD_start5,0.037,0.5
38,7.178466320037842,10.0,SGD_start5,0.038,0.5
39,7.245743274688721,10.0,SGD_start5,0.039,0.5
40,7.178466320037842,10.0,SGD_start5,0.04,0.5
41,7.245743274688721,10.0,SGD_start5,0.041,0.5
42,7.178466320037842,10.0,SGD_start5,0.042,0.5
43,7.245743274688721,10.0,SGD_start5,0.043,0.5
44,7.178466320037842,10.0,SGD_start5,0.044,0.5
45,7.245743274688721,10.0,SGD_start5,0.045,0.5
46,7.178466320037842,10.0,SGD_start5,0.046,0.5
47,7.245743274688721,10.0,SGD_start5,0.047,0.5
48,7.178466320037842,10.0,SGD_start5,0.048,0.5
49,7.245743274688721,10.0,SGD_start5,0.049,0.5
50,7.178466320037842,10.0,SGD_start5,0.05,0.5
51,7.245743274688721,10.0,SGD_start5,0.051,0.5
52,7.178466320037842,10.0,SGD_start5,0.052,0.5
53,7.245743274688721,10.0,SGD_start5,0.053,0.5
54,7.178466320037842,10.0,SGD_start5,0.054,0.5
55,7.245743274688721,10.0,SGD_start5,0.055,0.5
56,7.178466320037842,10.0,SGD_start5,0.056,0.5
57,7.245743274688721,10.0,SGD_start5,0.057,0.5
58,7.178466320037842,10.0,SGD_start5,0.058,0.5
59,7.245743274688721,10.0,SGD_start5,0.059,0.5
60,7.178466320037842,10.0,SGD_start5,0.06,0.5
61,7.245743274688721,10.0,SGD_start5,0.061,0.5
62,7.178466320037842,10.0,SGD_start5,0.062,0.5
63,7.245743274688721,10.0,SGD_start5,0.063,0.5
64,7.178466320037842,10.0,SGD_start5,0.064,0.5
65,7.245743274688721,10.0,SGD_start5,0.065,0.5
66,7.178466320037842,10.0,SGD_start5,0.066,0.5
67,7.245743274688721,10.0,SGD_start5,0.067,0.5
68,7.178466320037842,10.0,SGD_start5,0.068,0.5
69,7.245743274688721,10.0,SGD_start5,0.069,0.5
70,7.178466320037842,10.0,SGD_start5,0.07,0.5
71,7.245743274688721,10.0,SGD_start5,0.071,0.5
72,7.178466320037842,10.0,SGD_start5,0.072,0.5
73,7.245743274688721,10.0,SGD_start5,0.073,0.5
74,7.178466320037842,10.0,SGD_start5,0.074,0.5
75,7.245743274688721,10.0,SGD_start5,0.075,0.5
76,7.178466320037842,10.0,SGD_start5,0.076,0.5
77,7.245743274688721,10.0,SGD_start5,0.077,0.5
78,7.178466320037842,10.0,SGD_start5,0.078,0.5
79,7.245743274688721,10.0,SGD_start5,0.079,0.5
80,7.178466320037842,10.0,SGD_start5,0.08,0.5
81,7.245743274688721,10.0,SGD_start5,0.081,0.5
82,7.178466320037842,10.0,SGD_start5,0.082,0.5
83,7.245743274688721,10.0,SGD_start5,0.083,0.5
84,7.178466320037842,10.0,SGD_start5,0.084,0.5
85,7.245743274688721,10.0,SGD_start5,0.085,0.5
86,7.178466320037842,10.0,SGD_start5,0.086,0.5
87,7.245743274688721,10.0,SGD_start5,0.087,0.5
88,7.178466320037842,10.0,SGD_start5,0.088,0.5
89,7.245743274688721,10.0,SGD_start5,0.089,0.5
90,7.178466320037842,10.0,SGD_start5,0.09,0.5
91,7.245743274688721,10.0,SGD_start5,0.091,0.5
92,7.178466320037842,10.0,SGD_start5,0.092,0.5
93,7.245743274688721,10.0,SGD_start5,0.093,0.5
94,7.178466320037842,10.0,SGD_start5,0.094,0.5
95,7.245743274688721,10.0,SGD_start5,0.095,0.5
96,7.178466320037842,10.0,SGD_start5,0.096,0.5
97,7.245743274688721,10.0,SGD_start5,0.097,0.5
98,7.178466320037842,10.0,SGD_start5,0.098,0.5
99,7.245743274688721,10.0,SGD_start5,0.099,0.5
100,7.178466320037842,10.0,SGD_start5,0.1,0.5
101,7.245743274688721,10.0,SGD_start5,0.101,0.5
102,7.178466320037842,10.0,SGD_start5,0.102,0.5
103,7.245743274688721,10.0,SGD_start5,0.103,0.5
104,7.178466320037842,10.0,SGD_start5,0.104,0.5
105,7.245743274688721,10.0,SGD_start5,0.105,0.5
106,7.178466320037842,10.0,SGD_start5,0.106,0.5
107,7.245743274688721,10.0,SGD_start5,0.107,0.5
108,7.178466320037842,10.0,SGD_start5,0.108,0.5
109,7.245743274688721,10.0,SGD_start5,0.109,0.5
110,7.178466320037842,10.0,SGD_start5,0.11,0.5
111,7.245743274688721,10.0,SGD_start5,0.111,0.5
112,7.178466320037842,10.0,SGD_start5,0.112,0.5
113,7.245743274688721,10.0,SGD_start5,0.113,0.5
114,7.178466320037842,10.0,SGD_start5,0.114,0.5
115,7.245743274688721,10.0,SGD_start5,0.115,0.5
116,7.178466320037842,10.0,SGD_start5,0.116,0.5
117,7.245743274688721,10.0,SGD_start5,0.117,0.5
118,7.178466320037842,10.0,SGD_start5,0.118,0.5
119,7.245743274688721,10.0,SGD_start5,0.119,0.5
120,7.178466320037842,10.0,SGD_start5,0.12,0.5
121,7.245743274688721,10.0,SGD_start5,0.121,0.5
