filename,filename_lc,canonical,target,action
adam_l2_vs_adamw_comparison.png,adam_l2_vs_adamw_comparison.png,results_proposal_full_20260223_v2\experiments\adam_adamw_comparison\adam_l2_vs_adamw_comparison.png,results_proposal_full_20260223_v2\adam_adamw_comparison\adam_l2_vs_adamw_comparison.png,already_synced
adam_beta_heatmap.png,adam_beta_heatmap.png,results_proposal_full_20260223_v2\experiments\hyperparameter_heatmaps\adam_beta_heatmap.png,results_proposal_full_20260223_v2\hyperparameter_heatmaps\adam_beta_heatmap.png,already_synced
momentum_beta_heatmap.png,momentum_beta_heatmap.png,results_proposal_full_20260223_v2\experiments\hyperparameter_heatmaps\momentum_beta_heatmap.png,results_proposal_full_20260223_v2\hyperparameter_heatmaps\momentum_beta_heatmap.png,already_synced
adam_beta_trajectories_rosenbrock.png,adam_beta_trajectories_rosenbrock.png,results_proposal_full_20260223_v2\experiments\2d_visualization\adam_beta_trajectories_rosenbrock.png,results_proposal_full_20260223_v2\visualizations\2d_trajectories\adam_beta_trajectories_rosenbrock.png,already_synced
momentum_beta_trajectories_rosenbrock.png,momentum_beta_trajectories_rosenbrock.png,results_proposal_full_20260223_v2\experiments\2d_visualization\momentum_beta_trajectories_rosenbrock.png,results_proposal_full_20260223_v2\visualizations\2d_trajectories\momentum_beta_trajectories_rosenbrock.png,already_synced
optimizer_comparison_rosenbrock.png,optimizer_comparison_rosenbrock.png,results_proposal_full_20260223_v2\experiments\2d_visualization\optimizer_comparison_rosenbrock.png,results_proposal_full_20260223_v2\visualizations\2d_trajectories\optimizer_comparison_rosenbrock.png,already_synced
robustness_convergence_profile.png,robustness_convergence_profile.png,results_proposal_full_20260223_v2\visualizations\static\robustness\robustness_convergence_profile.png,results_proposal_full_20260223_v2\experiments\visualizations\static\robustness\robustness_convergence_profile.png,already_synced
robustness_convergence_rate.png,robustness_convergence_rate.png,results_proposal_full_20260223_v2\visualizations\static\robustness\robustness_convergence_rate.png,results_proposal_full_20260223_v2\experiments\visualizations\static\robustness\robustness_convergence_rate.png,already_synced
robustness_convergence_rate_strict.png,robustness_convergence_rate_strict.png,results_proposal_full_20260223_v2\visualizations\static\robustness\robustness_convergence_rate_strict.png,results_proposal_full_20260223_v2\experiments\visualizations\static\robustness\robustness_convergence_rate_strict.png,already_synced
robustness_final_loss_by_optimizer.png,robustness_final_loss_by_optimizer.png,results_proposal_full_20260223_v2\visualizations\static\robustness\robustness_final_loss_by_optimizer.png,results_proposal_full_20260223_v2\experiments\visualizations\static\robustness\robustness_final_loss_by_optimizer.png,already_synced
robustness_grad_norm_convergence.png,robustness_grad_norm_convergence.png,results_proposal_full_20260223_v2\visualizations\static\robustness\robustness_grad_norm_convergence.png,results_proposal_full_20260223_v2\experiments\visualizations\static\robustness\robustness_grad_norm_convergence.png,already_synced
robustness_iterations_to_convergence.png,robustness_iterations_to_convergence.png,results_proposal_full_20260223_v2\visualizations\static\robustness\robustness_iterations_to_convergence.png,results_proposal_full_20260223_v2\experiments\visualizations\static\robustness\robustness_iterations_to_convergence.png,already_synced
robustness_loss_convergence.png,robustness_loss_convergence.png,results_proposal_full_20260223_v2\visualizations\static\robustness\robustness_loss_convergence.png,results_proposal_full_20260223_v2\experiments\visualizations\static\robustness\robustness_loss_convergence.png,already_synced
robustness_start_point_sensitivity.png,robustness_start_point_sensitivity.png,results_proposal_full_20260223_v2\visualizations\static\robustness\robustness_start_point_sensitivity.png,results_proposal_full_20260223_v2\experiments\visualizations\static\robustness\robustness_start_point_sensitivity.png,already_synced
