experiment,exists,csv_count,png_count,unique_seeds_detected,missing_seeds,seed_source,seed_status,error_rows,nonfinite_final_loss_rows
2d_optimization,True,61,0,10,,experiments\2d_optimization\2d_optimization_results.csv,seed10_present,0,0
ablation,True,51,0,10,,experiments\ablation\ablation_results.csv,seed10_present,0,0
ablation_comprehensive,True,4,16,10,,experiments\ablation_comprehensive\ablation_adaptive_lr.csv,seed10_present,0,0
adam_adamw_comparison,True,2,1,10,,experiments\adam_adamw_comparison\adam_l2_vs_adamw_comparison.csv,seed10_present,0,0
advanced_ablation,True,81,5,0,,,no_seed_detected,0,0
batch_ablation,True,21,0,10,,experiments\batch_ablation\MNIST_batch_ablation_seeds42_123_456_789_1011_1213_1415_1617_1819_2021.csv,seed10_present,0,0
beta_sensitivity_training,True,4,4,3,"789,1011,1213,1415,1617,1819,2021",experiments\beta_sensitivity_training\adam_beta1_beta2_grid_mnist.csv,partial_seed_coverage,0,0
convergence_validation,True,6,1,0,,,no_seed_detected,0,0
cross_optimizer_dynamics,True,1,2,3,"789,1011,1213,1415,1617,1819,2021",experiments\cross_optimizer_dynamics\cross_optimizer_dynamics_MNIST.csv,partial_seed_coverage,0,0
dynamics_overhead,True,11,21,10,,experiments\dynamics_overhead\dynamics_overhead_ablation_MNIST.csv,seed10_present,0,0
highdim,True,61,0,10,,experiments\highdim\highdim_results.csv,seed10_present,0,0
hyperparam_sensitivity,True,4,3,0,,,no_seed_detected,0,0
hyperparameter_heatmaps,True,2,2,0,,,no_seed_detected,0,0
init_ablation,True,241,4,0,,,no_seed_detected,0,0
label_noise,True,2,0,1,"123,456,789,1011,1213,1415,1617,1819,2021",experiments\label_noise\label_noise_results_cifar10_resnet18.csv,partial_seed_coverage,0,0
lr_ablation,True,120,0,1,"42,123,456,789,1213,1415,1617,1819,2021",experiments\lr_ablation\SGD_lr1.0e-02_seed1011.csv,partial_seed_coverage,0,0
missing_ablations,True,51,0,10,,experiments\missing_ablations\gradient_clipping_ablation.csv,seed10_present,0,0
optimizer_comparison,True,1,0,0,,,no_seed_detected,0,0
resnet,True,8,0,1,"42,456,789,1011,1213,1415,1617,1819,2021",experiments\resnet\ResNet18_CIFAR10_Adam_seed123.csv,partial_seed_coverage,0,0
robustness,True,501,0,10,,experiments\robustness\robustness_results.csv,seed10_present,0,0
saddle_escape,True,4,1,0,,,no_seed_detected,1,1
sam_sensitivity,True,51,0,10,,experiments\sam_sensitivity\sam_sensitivity_results.csv,seed10_present,0,0
scheduler_ablation,True,43,1,10,,experiments\scheduler_ablation\MNIST_scheduler_ablation_seeds1617_1819_2021.csv,seed10_present,0,0
stochastic_2d_integrity,True,3,0,10,,experiments\stochastic_2d_integrity\deterministic\stochastic_2d_results.csv,seed10_present,157,157
theory_practice,True,1,0,0,,,no_seed_detected,0,0
wd_ablation,True,120,0,1,"42,123,456,789,1213,1415,1617,1819,2021",experiments\wd_ablation\SGD_Momentum_wd0.0e+00_seed1011.csv,partial_seed_coverage,0,0
