file,width,height,bytes
results_proposal_full_20260223_v2/adam_adamw_comparison/adam_l2_vs_adamw_comparison.png,2100,750,109746
results_proposal_full_20260223_v2/hyperparameter_heatmaps/adam_beta_heatmap.png,3371,2352,300971
results_proposal_full_20260223_v2/hyperparameter_heatmaps/momentum_beta_heatmap.png,3384,2352,441179
results_proposal_full_20260223_v2/visualizations/2d_training_results.png,4170,2955,970624
results_proposal_full_20260223_v2/visualizations/mnist_training_results.png,4170,2955,495938
results_proposal_full_20260223_v2/visualizations/other_training_results.png,4170,2955,419121
results_proposal_full_20260223_v2/visualizations/2d_trajectories/adam_beta_trajectories_rosenbrock.png,1477,1176,400467
results_proposal_full_20260223_v2/visualizations/2d_trajectories/momentum_beta_trajectories_rosenbrock.png,1477,1176,437983
results_proposal_full_20260223_v2/visualizations/2d_trajectories/optimizer_comparison_rosenbrock.png,1477,1176,428659
results_proposal_full_20260223_v2/visualizations/static/2d_optimization/2d_convergence_profile_by_threshold.png,2952,1485,145465
results_proposal_full_20260223_v2/visualizations/static/2d_optimization/2d_convergence_rate_by_optimizer.png,3354,1452,158377
results_proposal_full_20260223_v2/visualizations/static/2d_optimization/2d_convergence_rate_strict_by_optimizer.png,3260,1452,157999
results_proposal_full_20260223_v2/visualizations/static/2d_optimization/2d_final_loss_by_optimizer.png,2952,1752,136251
results_proposal_full_20260223_v2/visualizations/static/2d_optimization/2d_rastrigin_grad_norm_convergence.png,2952,1752,322612
results_proposal_full_20260223_v2/visualizations/static/2d_optimization/2d_rastrigin_loss_convergence.png,2952,1752,128092
results_proposal_full_20260223_v2/visualizations/static/2d_optimization/2d_rastrigin_trajectory_overlay.png,2352,2052,189561
results_proposal_full_20260223_v2/visualizations/static/2d_optimization/2d_rosenbrock_grad_norm_convergence.png,2952,1752,291298
results_proposal_full_20260223_v2/visualizations/static/2d_optimization/2d_rosenbrock_loss_convergence.png,2952,1752,358417
results_proposal_full_20260223_v2/visualizations/static/2d_optimization/2d_rosenbrock_trajectory_overlay.png,2352,2052,159011
results_proposal_full_20260223_v2/visualizations/static/ablation/ablation_convergence_profile.png,2952,1752,179232
results_proposal_full_20260223_v2/visualizations/static/ablation/ablation_convergence_rate.png,2652,1452,139335
results_proposal_full_20260223_v2/visualizations/static/ablation/ablation_convergence_rate_strict.png,2652,1452,137576
results_proposal_full_20260223_v2/visualizations/static/ablation/ablation_final_loss_by_optimizer.png,2652,1452,117098
results_proposal_full_20260223_v2/visualizations/static/ablation/ablation_iterations_by_optimizer.png,2652,1452,111539
results_proposal_full_20260223_v2/visualizations/static/ablation/ablation_loss_convergence.png,2952,1752,431568
results_proposal_full_20260223_v2/visualizations/static/robustness/robustness_convergence_rate.png,2352,1452,124875
results_proposal_full_20260223_v2/visualizations/static/robustness/robustness_final_loss_by_optimizer.png,2352,1452,114083
results_proposal_full_20260223_v2/visualizations/static/robustness/robustness_grad_norm_convergence.png,2952,1752,244651
results_proposal_full_20260223_v2/visualizations/static/robustness/robustness_iterations_to_convergence.png,2352,1452,134340
results_proposal_full_20260223_v2/visualizations/static/robustness/robustness_loss_convergence.png,2952,1752,315964
results_proposal_full_20260223_v2/visualizations/static/robustness/robustness_start_point_sensitivity.png,2952,1752,355341
results_proposal_full_20260223_v2/visualizations/static/sam_sensitivity/sam_all_metrics.png,5952,1476,306742
results_proposal_full_20260223_v2/visualizations/static/sam_sensitivity/sam_rho_sweep.png,2652,1452,126198
results_proposal_full_20260223_v2/visualizations/static/sam_sensitivity/sam_test_accuracy_by_epoch.png,2952,1752,328456
results_proposal_full_20260223_v2/visualizations/static/sam_sensitivity/sam_train_loss_by_epoch.png,2952,1752,174003
results_proposal_full_20260223_v2/experiments/2d_visualization/adam_beta_trajectories_rosenbrock.png,1477,1176,400467
results_proposal_full_20260223_v2/experiments/2d_visualization/momentum_beta_trajectories_rosenbrock.png,1477,1176,437983
results_proposal_full_20260223_v2/experiments/2d_visualization/optimizer_comparison_rosenbrock.png,1477,1176,428659
results_proposal_full_20260223_v2/experiments/adam_adamw_comparison/adam_l2_vs_adamw_comparison.png,2100,750,109746
results_proposal_full_20260223_v2/experiments/convergence_validation/convergence_rate_comparison.png,2100,750,207610
results_proposal_full_20260223_v2/experiments/hyperparameter_heatmaps/adam_beta_heatmap.png,3371,2352,300971
results_proposal_full_20260223_v2/experiments/hyperparameter_heatmaps/momentum_beta_heatmap.png,3384,2352,441179
results_proposal_full_20260223_v2/experiments/hyperparam_sensitivity/adam_beta_sweep_2d_rosenbrock.png,2100,1800,145900
results_proposal_full_20260223_v2/experiments/hyperparam_sensitivity/momentum_beta_sweep_ackley.png,2250,1500,184371
results_proposal_full_20260223_v2/experiments/hyperparam_sensitivity/momentum_beta_sweep_rosenbrock.png,2250,1500,188916
results_proposal_full_20260223_v2/experiments/saddle_escape/saddle_point_escape_comparison.png,4152,3552,498346
results_proposal_full_20260223_v2/experiments/advanced_ablation/visualizations/accuracy_comparison.png,3552,1752,185662
results_proposal_full_20260223_v2/experiments/advanced_ablation/visualizations/accuracy_distribution.png,4152,1752,197693
results_proposal_full_20260223_v2/experiments/advanced_ablation/visualizations/feature_heatmap.png,2952,2352,195387
results_proposal_full_20260223_v2/experiments/advanced_ablation/visualizations/summary_table.png,3315,2033,216866
results_proposal_full_20260223_v2/experiments/advanced_ablation/visualizations/training_time.png,3552,1752,181252
