experiment,path,exists,count,optimizer
2d,results_proposal_full_20260223_v2/experiments/2d_optimization/2d_optimization_results.csv,True,1,Unknown
robustness,results_proposal_full_20260223_v2/experiments/robustness/robustness_results.csv,True,1,Unknown
ablation,results_proposal_full_20260223_v2/experiments/ablation/ablation_results.csv,True,1,Unknown
sam,results_proposal_full_20260223_v2/experiments/sam_sensitivity/sam_sensitivity_results.csv,True,1,Unknown
sam_seed_csvs,results_proposal_full_20260223_v2/experiments/sam_sensitivity/mnist,True,50,Unknown
hyperparam_sensitivity,results_proposal_full_20260223_v2/experiments/hyperparam_sensitivity/hyperparam_sensitivity_results.csv,True,1,Unknown
convergence_validation,results_proposal_full_20260223_v2/experiments/convergence_validation/convergence_rate_summary.csv,True,1,Unknown
2d_visualization_manifest,results_proposal_full_20260223_v2/experiments/2d_visualization/2d_visualization_manifest.csv,True,1,Unknown
saddle_escape,results_proposal_full_20260223_v2/experiments/saddle_escape/saddle_escape_summary.csv,True,1,Unknown
stochastic_2d_integrity,results_proposal_full_20260223_v2/experiments/stochastic_2d_integrity/gd_vs_sgd_comparison.csv,True,1,Unknown
adam_adamw_comparison,results_proposal_full_20260223_v2/experiments/adam_adamw_comparison/adam_l2_vs_adamw_comparison.csv,True,1,Unknown
hyperparameter_heatmaps_adam,results_proposal_full_20260223_v2/experiments/hyperparameter_heatmaps/adam_beta_heatmap_data.csv,True,1,Unknown
hyperparameter_heatmaps_momentum,results_proposal_full_20260223_v2/experiments/hyperparameter_heatmaps/momentum_beta_heatmap_data.csv,True,1,Unknown
beta_sensitivity_momentum,results_proposal_full_20260223_v2/experiments/beta_sensitivity_2d/rosenbrock/momentum/momentum_beta_sweep.csv,True,1,Unknown
beta_sensitivity_adam,results_proposal_full_20260223_v2/experiments/beta_sensitivity_2d/saddle_point/adam/adam_beta_sweep.csv,True,1,Unknown
