source,destination,action,source_mtime,dest_mtime,size_bytes
results_proposal_full_20260223_v2\visualizations\2d_training_results.png,results_proposal_full_20260223\visualizations\2d_training_results.png,overwritten,1772136392.8858454,1772136392.8858454,977516
results_proposal_full_20260223_v2\visualizations\2d_trajectories\adam_beta_trajectories_rosenbrock.png,results_proposal_full_20260223\visualizations\2d_trajectories\adam_beta_trajectories_rosenbrock.png,copied,1772018744.023262,1772018744.023262,405640
results_proposal_full_20260223_v2\visualizations\2d_trajectories\momentum_beta_trajectories_rosenbrock.png,results_proposal_full_20260223\visualizations\2d_trajectories\momentum_beta_trajectories_rosenbrock.png,copied,1772018739.599798,1772018739.599798,429505
results_proposal_full_20260223_v2\visualizations\2d_trajectories\optimizer_comparison_rosenbrock.png,results_proposal_full_20260223\visualizations\2d_trajectories\optimizer_comparison_rosenbrock.png,copied,1772018748.050006,1772018748.050006,408891
results_proposal_full_20260223_v2\visualizations\static\2d_optimization\2d_convergence_profile_by_threshold.png,results_proposal_full_20260223\visualizations\static\2d_optimization\2d_convergence_profile_by_threshold.png,overwritten,1772115894.909839,1772115894.909839,150144
results_proposal_full_20260223_v2\visualizations\static\2d_optimization\2d_convergence_rate_by_optimizer.png,results_proposal_full_20260223\visualizations\static\2d_optimization\2d_convergence_rate_by_optimizer.png,overwritten,1772115893.4047196,1772115893.4047196,158377
results_proposal_full_20260223_v2\visualizations\static\2d_optimization\2d_convergence_rate_strict_by_optimizer.png,results_proposal_full_20260223\visualizations\static\2d_optimization\2d_convergence_rate_strict_by_optimizer.png,overwritten,1772115893.9347332,1772115893.9347332,157999
results_proposal_full_20260223_v2\visualizations\static\2d_optimization\2d_final_loss_by_optimizer.png,results_proposal_full_20260223\visualizations\static\2d_optimization\2d_final_loss_by_optimizer.png,overwritten,1772115892.6484985,1772115892.6484985,132567
results_proposal_full_20260223_v2\visualizations\static\2d_optimization\2d_rastrigin_grad_norm_convergence.png,results_proposal_full_20260223\visualizations\static\2d_optimization\2d_rastrigin_grad_norm_convergence.png,overwritten,1772115887.3519266,1772115887.3519266,464331
results_proposal_full_20260223_v2\visualizations\static\2d_optimization\2d_rastrigin_loss_convergence.png,results_proposal_full_20260223\visualizations\static\2d_optimization\2d_rastrigin_loss_convergence.png,overwritten,1772115885.764381,1772115885.764381,136244
results_proposal_full_20260223_v2\visualizations\static\2d_optimization\2d_rastrigin_trajectory_overlay.png,results_proposal_full_20260223\visualizations\static\2d_optimization\2d_rastrigin_trajectory_overlay.png,overwritten,1772115888.1452117,1772115888.1452117,134333
results_proposal_full_20260223_v2\visualizations\static\2d_optimization\2d_rosenbrock_grad_norm_convergence.png,results_proposal_full_20260223\visualizations\static\2d_optimization\2d_rosenbrock_grad_norm_convergence.png,overwritten,1772115891.1946359,1772115891.1946359,491916
results_proposal_full_20260223_v2\visualizations\static\2d_optimization\2d_rosenbrock_loss_convergence.png,results_proposal_full_20260223\visualizations\static\2d_optimization\2d_rosenbrock_loss_convergence.png,overwritten,1772115889.6905875,1772115889.6905875,428383
results_proposal_full_20260223_v2\visualizations\static\2d_optimization\2d_rosenbrock_trajectory_overlay.png,results_proposal_full_20260223\visualizations\static\2d_optimization\2d_rosenbrock_trajectory_overlay.png,overwritten,1772115892.0576408,1772115892.0576408,330016
results_proposal_full_20260223_v2\visualizations\static\robustness\robustness_convergence_rate.png,results_proposal_full_20260223\visualizations\static\robustness\robustness_convergence_rate.png,overwritten,1772136286.1203218,1772136286.1203218,124875
results_proposal_full_20260223_v2\visualizations\static\robustness\robustness_final_loss_by_optimizer.png,results_proposal_full_20260223\visualizations\static\robustness\robustness_final_loss_by_optimizer.png,overwritten,1772136285.4106944,1772136285.4106944,114083
results_proposal_full_20260223_v2\visualizations\static\robustness\robustness_grad_norm_convergence.png,results_proposal_full_20260223\visualizations\static\robustness\robustness_grad_norm_convergence.png,overwritten,1772136284.656547,1772136284.656547,244651
results_proposal_full_20260223_v2\visualizations\static\robustness\robustness_iterations_to_convergence.png,results_proposal_full_20260223\visualizations\static\robustness\robustness_iterations_to_convergence.png,overwritten,1772136286.3916514,1772136286.3916514,134340
results_proposal_full_20260223_v2\visualizations\static\robustness\robustness_loss_convergence.png,results_proposal_full_20260223\visualizations\static\robustness\robustness_loss_convergence.png,overwritten,1772136279.0504625,1772136279.0504625,315964
results_proposal_full_20260223_v2\visualizations\static\robustness\robustness_start_point_sensitivity.png,results_proposal_full_20260223\visualizations\static\robustness\robustness_start_point_sensitivity.png,overwritten,1772136285.8274698,1772136285.8274698,355341
results_proposal_full_20260223_v2\visualizations\static\sam_sensitivity\sam_all_metrics.png,results_proposal_full_20260223\visualizations\static\sam_sensitivity\sam_all_metrics.png,overwritten,1771958644.8927555,1771958644.8927555,306742
results_proposal_full_20260223_v2\visualizations\static\sam_sensitivity\sam_rho_sweep.png,results_proposal_full_20260223\visualizations\static\sam_sensitivity\sam_rho_sweep.png,overwritten,1771958644.067667,1771958644.067667,126198
