epoch,train_loss,train_acc,val_loss,val_acc,tainted,effective_batch_size,original_batch_size,test_acc,test_loss,synthetic_filled_row,synthetic_fill_policy
1,1.4601059860803864,45.977777777777774,1.2364550471305846,55.8,False,128,128,92.89,0.366953207552433,1,numeric:interpolate_ffill_bfill_median;categorical:mode_or_marker
2,1.000244340774688,64.0,1.1287166595458984,60.38,False,128,128,92.89,0.366953207552433,1,numeric:interpolate_ffill_bfill_median;categorical:mode_or_marker
3,0.7866328632967039,72.32,0.9273913204669952,66.72,False,128,128,92.89,0.366953207552433,1,numeric:interpolate_ffill_bfill_median;categorical:mode_or_marker
4,0.6575591017238118,77.07555555555555,0.6558392405509949,77.36,False,128,128,92.89,0.366953207552433,1,numeric:interpolate_ffill_bfill_median;categorical:mode_or_marker
5,0.5732317111370239,80.22222222222223,0.6537543714046479,76.96,False,128,128,92.89,0.366953207552433,1,numeric:interpolate_ffill_bfill_median;categorical:mode_or_marker
6,0.5205596615983681,82.19555555555556,0.8168567657470703,73.98,False,128,128,92.89,0.366953207552433,1,numeric:interpolate_ffill_bfill_median;categorical:mode_or_marker
7,0.4660524991764264,84.22888888888889,0.6882464826107025,77.1,False,128,128,92.89,0.366953207552433,1,numeric:interpolate_ffill_bfill_median;categorical:mode_or_marker
8,0.4386620160869576,84.95777777777778,0.60948646068573,79.78,False,128,128,92.89,0.366953207552433,1,numeric:interpolate_ffill_bfill_median;categorical:mode_or_marker
9,0.4112185036594217,86.03111111111112,0.562645873427391,80.52,False,128,128,92.89,0.366953207552433,1,numeric:interpolate_ffill_bfill_median;categorical:mode_or_marker
10,0.369892258789729,87.27777777777777,0.4748909175395965,83.62,False,128,128,92.89,0.366953207552433,1,numeric:interpolate_ffill_bfill_median;categorical:mode_or_marker
11,0.3526745221831582,87.85777777777778,0.5280376076698303,81.74,False,128,128,92.89,0.366953207552433,1,numeric:interpolate_ffill_bfill_median;categorical:mode_or_marker
12,0.3267733090641824,88.71333333333334,0.4394547462463379,84.9,False,128,128,92.89,0.366953207552433,1,numeric:interpolate_ffill_bfill_median;categorical:mode_or_marker
13,0.302060363729569,89.66,0.550992551445961,82.08,False,128,128,92.89,0.366953207552433,1,numeric:interpolate_ffill_bfill_median;categorical:mode_or_marker
14,0.2888601804152131,90.06,0.4016171157360076,86.3,False,128,128,92.89,0.366953207552433,1,numeric:interpolate_ffill_bfill_median;categorical:mode_or_marker
15,0.2681911911984736,90.84444444444443,0.4041009426116943,86.56,False,128,128,92.89,0.366953207552433,1,numeric:interpolate_ffill_bfill_median;categorical:mode_or_marker
16,0.2482314289293506,91.42888888888888,0.49018175303936,83.96,False,128,128,92.89,0.366953207552433,1,numeric:interpolate_ffill_bfill_median;categorical:mode_or_marker
17,0.2298136099072342,92.07777777777778,0.4726153165102005,84.72,False,128,128,92.89,0.366953207552433,1,numeric:interpolate_ffill_bfill_median;categorical:mode_or_marker
18,0.2185975584963506,92.42222222222222,0.4192226022481918,85.94,False,128,128,92.89,0.366953207552433,1,numeric:interpolate_ffill_bfill_median;categorical:mode_or_marker
19,0.2040894996290179,93.14222222222222,0.3558835059404373,88.26,False,128,128,92.89,0.366953207552433,1,numeric:interpolate_ffill_bfill_median;categorical:mode_or_marker
20,0.1887981587682258,93.55333333333331,0.4282316744327545,86.08,False,128,128,92.89,0.366953207552433,1,numeric:interpolate_ffill_bfill_median;categorical:mode_or_marker
21,0.1774780735881491,93.86444444444444,0.3799978852272033,87.44,False,128,128,92.89,0.366953207552433,1,numeric:interpolate_ffill_bfill_median;categorical:mode_or_marker
22,0.1632469790903004,94.32666666666668,0.3965760320425033,87.7,False,128,128,92.89,0.366953207552433,1,numeric:interpolate_ffill_bfill_median;categorical:mode_or_marker
23,0.1520463281565091,94.72888888888887,0.4240433037281036,86.78,False,128,128,92.89,0.366953207552433,1,numeric:interpolate_ffill_bfill_median;categorical:mode_or_marker
24,0.139113715257157,95.20222222222222,0.3623825162649154,89.04,False,128,128,92.89,0.366953207552433,1,numeric:interpolate_ffill_bfill_median;categorical:mode_or_marker
25,0.1316261353733187,95.37555555555556,0.4360238462686538,86.62,False,128,128,92.89,0.366953207552433,1,numeric:interpolate_ffill_bfill_median;categorical:mode_or_marker
26,0.115446863293817,95.97555555555556,0.3682351261377334,89.08,False,128,128,92.89,0.366953207552433,1,numeric:interpolate_ffill_bfill_median;categorical:mode_or_marker
27,0.1059056737629527,96.32222222222222,0.3535623222589493,89.08,False,128,128,92.89,0.366953207552433,1,numeric:interpolate_ffill_bfill_median;categorical:mode_or_marker
28,0.0945938131348653,96.70222222222222,0.3593294948339462,88.82,False,128,128,92.89,0.366953207552433,1,numeric:interpolate_ffill_bfill_median;categorical:mode_or_marker
29,0.0867929687215523,97.04222222222222,0.3602256774902344,89.68,False,128,128,92.89,0.366953207552433,1,numeric:interpolate_ffill_bfill_median;categorical:mode_or_marker
30,0.0767850068355487,97.33111111111111,0.3175171673297882,90.7,False,128,128,92.89,0.366953207552433,1,numeric:interpolate_ffill_bfill_median;categorical:mode_or_marker
31,0.0695940660609101,97.6288888888889,0.3297704443335533,90.28,False,128,128,92.89,0.366953207552433,1,numeric:interpolate_ffill_bfill_median;categorical:mode_or_marker
32,0.0618813816690817,97.84222222222222,0.2978278905153274,91.28,False,128,128,92.89,0.366953207552433,1,numeric:interpolate_ffill_bfill_median;categorical:mode_or_marker
33,0.0545777440896596,98.08888888888887,0.3232856690883636,90.5,False,128,128,92.89,0.366953207552433,1,numeric:interpolate_ffill_bfill_median;categorical:mode_or_marker
34,0.0467854560966688,98.38444444444444,0.3245129257440567,91.42,False,128,128,92.89,0.366953207552433,1,numeric:interpolate_ffill_bfill_median;categorical:mode_or_marker
35,0.039252677752467,98.61555555555556,0.337169075012207,90.88,False,128,128,92.89,0.366953207552433,1,numeric:interpolate_ffill_bfill_median;categorical:mode_or_marker
36,0.0295040774045363,99.02444444444444,0.334875662624836,91.62,False,128,128,92.89,0.366953207552433,1,numeric:interpolate_ffill_bfill_median;categorical:mode_or_marker
37,0.0284766096500044,99.08888888888887,0.3767958551645279,90.82,False,128,128,92.89,0.366953207552433,1,numeric:interpolate_ffill_bfill_median;categorical:mode_or_marker
38,0.0246950762521009,99.2311111111111,0.327870163321495,91.52,False,128,128,92.89,0.366953207552433,1,numeric:interpolate_ffill_bfill_median;categorical:mode_or_marker
39,0.0186439403676724,99.44222222222224,0.3249261945486069,91.92,False,128,128,92.89,0.366953207552433,1,numeric:interpolate_ffill_bfill_median;categorical:mode_or_marker
40,0.0162268086926567,99.50666666666666,0.3162458449602127,92.46,False,128,128,92.89,0.366953207552433,1,numeric:interpolate_ffill_bfill_median;categorical:mode_or_marker
41,0.0131882692347227,99.61333333333332,0.3174953073263168,92.1,False,128,128,92.89,0.366953207552433,1,numeric:interpolate_ffill_bfill_median;categorical:mode_or_marker
42,0.0111474022963772,99.66222222222224,0.3201642706990242,92.34,False,128,128,92.89,0.366953207552433,1,numeric:interpolate_ffill_bfill_median;categorical:mode_or_marker
43,0.0091181247811288,99.75111111111111,0.3227006435394287,92.3,False,128,128,92.89,0.366953207552433,1,numeric:interpolate_ffill_bfill_median;categorical:mode_or_marker
44,0.0073596499721382,99.80444444444444,0.329494696855545,92.74,False,128,128,92.89,0.366953207552433,1,numeric:interpolate_ffill_bfill_median;categorical:mode_or_marker
45,0.0070898958772225,99.79777777777778,0.3229309454560279,92.46,False,128,128,92.89,0.366953207552433,1,numeric:interpolate_ffill_bfill_median;categorical:mode_or_marker
46,0.0057701691019412,99.86444444444444,0.3298135504126548,92.32,False,128,128,92.89,0.366953207552433,1,numeric:interpolate_ffill_bfill_median;categorical:mode_or_marker
47,0.0046633484039789,99.87333333333332,0.3345000743865967,92.42,False,128,128,92.89,0.366953207552433,1,numeric:interpolate_ffill_bfill_median;categorical:mode_or_marker
48,0.0044555328085235,99.88444444444444,0.3251750454306602,92.62,False,128,128,92.89,0.366953207552433,1,numeric:interpolate_ffill_bfill_median;categorical:mode_or_marker
49,0.0038529617555799,99.93555555555557,0.3284602344036102,92.66,False,128,128,92.89,0.366953207552433,1,numeric:interpolate_ffill_bfill_median;categorical:mode_or_marker
50,0.0036002129474416,99.92,0.3161256968975067,93.02,False,128,128,92.89,0.366953207552433,0,numeric:interpolate_ffill_bfill_median;categorical:mode_or_marker
