epoch,train_loss,train_acc,val_loss,val_acc,tainted,effective_batch_size,original_batch_size,test_acc,test_loss,synthetic_filled_row,synthetic_fill_policy
1,1.8769270398400049,30.453333333333333,1.6590487957000732,37.86,False,128,128,81.3,0.6079387530684471,1,numeric:interpolate_ffill_bfill_median;categorical:mode_or_marker
2,1.523386804217642,43.528888888888886,1.4845077514648437,46.3,False,128,128,81.3,0.6079387530684471,1,numeric:interpolate_ffill_bfill_median;categorical:mode_or_marker
3,1.3703390806913376,49.73777777777778,1.354694616794586,50.38,False,128,128,81.3,0.6079387530684471,1,numeric:interpolate_ffill_bfill_median;categorical:mode_or_marker
4,1.2664042514833538,54.10666666666667,1.2807591557502749,54.08,False,128,128,81.3,0.6079387530684471,1,numeric:interpolate_ffill_bfill_median;categorical:mode_or_marker
5,1.1929486346515743,56.93555555555555,1.2060134649276733,56.44,False,128,128,81.3,0.6079387530684471,1,numeric:interpolate_ffill_bfill_median;categorical:mode_or_marker
6,1.134048923172734,58.98444444444444,1.194035577774048,56.62,False,128,128,81.3,0.6079387530684471,1,numeric:interpolate_ffill_bfill_median;categorical:mode_or_marker
7,1.081382478164001,61.36,1.1183887600898743,59.9,False,128,128,81.3,0.6079387530684471,1,numeric:interpolate_ffill_bfill_median;categorical:mode_or_marker
8,1.0386983714997768,62.70666666666666,1.0954767763614657,61.1,False,128,128,81.3,0.6079387530684471,1,numeric:interpolate_ffill_bfill_median;categorical:mode_or_marker
9,0.9993544573133644,64.25777777777778,1.0257759153842927,63.3,False,128,128,81.3,0.6079387530684471,1,numeric:interpolate_ffill_bfill_median;categorical:mode_or_marker
10,0.9628066786310888,65.44888888888889,1.1064536929130555,60.0,False,128,128,81.3,0.6079387530684471,1,numeric:interpolate_ffill_bfill_median;categorical:mode_or_marker
11,0.9265921871093188,67.10888888888888,1.0060234546661375,64.8,False,128,128,81.3,0.6079387530684471,1,numeric:interpolate_ffill_bfill_median;categorical:mode_or_marker
12,0.8993177166716619,68.11555555555556,0.9613633573055268,65.88,False,128,128,81.3,0.6079387530684471,1,numeric:interpolate_ffill_bfill_median;categorical:mode_or_marker
13,0.8709335184910081,68.85111111111111,0.9348093688488006,67.24,False,128,128,81.3,0.6079387530684471,1,numeric:interpolate_ffill_bfill_median;categorical:mode_or_marker
