epoch,optimizer,noise_rate,seed,train_loss,train_acc,val_loss,val_acc,best_val_acc,best_val_epoch,test_acc,test_loss,peak_val_acc,peak_val_epoch,final_test_loss,final_test_acc,synthetic_filled_row,synthetic_fill_policy
0,SGD,0.0,42,2.004540950859917,24.18,1.7581668426513672,32.94,32.94,0,32.94,1.7581668426513672,83.82,47.0,0.5260326651096344,83.1,1,numeric:interpolate_ffill_bfill_median;categorical:mode_or_marker
1,SGD,0.0,42,1.6835589743296306,36.07111111111111,1.6110063133239747,39.68,39.68,1,39.68,1.6110063133239747,83.82,47.0,0.5260326651096344,83.1,1,numeric:interpolate_ffill_bfill_median;categorical:mode_or_marker
2,SGD,0.0,42,1.5339317501280043,42.15111111111111,1.4452810735702517,46.5,46.5,2,46.5,1.4452810735702517,83.82,47.0,0.5260326651096344,83.1,1,numeric:interpolate_ffill_bfill_median;categorical:mode_or_marker
3,SGD,0.0,42,1.4132188510047066,47.63333333333333,1.304559358024597,52.08,52.08,3,52.08,1.304559358024597,83.82,47.0,0.5260326651096344,83.1,1,numeric:interpolate_ffill_bfill_median;categorical:mode_or_marker
4,SGD,0.0,42,1.2983802473915949,52.53333333333333,1.236175044631958,55.56,55.56,4,55.56,1.236175044631958,83.82,47.0,0.5260326651096344,83.1,1,numeric:interpolate_ffill_bfill_median;categorical:mode_or_marker
5,SGD,0.0,42,1.2019304229312473,56.14666666666667,1.187747184753418,58.1,58.1,5,58.1,1.187747184753418,83.82,47.0,0.5260326651096344,83.1,1,numeric:interpolate_ffill_bfill_median;categorical:mode_or_marker
6,SGD,0.0,42,1.1234260395685831,59.07555555555555,1.1432685474395752,58.68,58.68,6,58.68,1.1432685474395752,83.82,47.0,0.5260326651096344,83.1,1,numeric:interpolate_ffill_bfill_median;categorical:mode_or_marker
7,SGD,0.0,42,1.0576463226742214,61.782222222222224,1.1021710329055787,61.0,61.0,7,61.0,1.1021710329055787,83.82,47.0,0.5260326651096344,83.1,1,numeric:interpolate_ffill_bfill_median;categorical:mode_or_marker
8,SGD,0.0,42,1.0079220690409345,63.61333333333334,1.0057064243316651,64.4,64.4,8,64.4,1.0057064243316651,83.82,47.0,0.5260326651096344,83.1,1,numeric:interpolate_ffill_bfill_median;categorical:mode_or_marker
9,SGD,0.0,42,0.9545934975094266,65.90222222222222,0.9681678924560548,65.92,65.92,9,65.92,0.9681678924560548,83.82,47.0,0.5260326651096344,83.1,1,numeric:interpolate_ffill_bfill_median;categorical:mode_or_marker
10,SGD,0.0,42,0.9109969975365532,67.39333333333333,0.9067003469467164,67.8,67.8,10,67.8,0.9067003469467164,83.82,47.0,0.5260326651096344,83.1,1,numeric:interpolate_ffill_bfill_median;categorical:mode_or_marker
11,SGD,0.0,42,0.8794862695270115,68.44888888888889,0.8870189476013184,68.92,68.92,11,68.92,0.8870189476013184,83.82,47.0,0.5260326651096344,83.1,1,numeric:interpolate_ffill_bfill_median;categorical:mode_or_marker
12,SGD,0.0,42,0.8495387749142117,69.71555555555555,0.8294013198852539,71.0,71.0,12,71.0,0.8294013198852539,83.82,47.0,0.5260326651096344,83.1,1,numeric:interpolate_ffill_bfill_median;categorical:mode_or_marker
13,SGD,0.0,42,0.8121302391158209,70.99555555555555,0.9003673351287842,68.94,71.0,12,68.94,0.9003673351287842,83.82,47.0,0.5260326651096344,83.1,1,numeric:interpolate_ffill_bfill_median;categorical:mode_or_marker
14,SGD,0.0,42,0.786964259507921,72.02888888888889,0.8361707382202148,70.94,71.0,12,70.94,0.8361707382202148,83.82,47.0,0.5260326651096344,83.1,1,numeric:interpolate_ffill_bfill_median;categorical:mode_or_marker
15,SGD,0.0,42,0.7544500005616082,73.3,0.775628334236145,72.6,72.6,15,72.6,0.775628334236145,83.82,47.0,0.5260326651096344,83.1,1,numeric:interpolate_ffill_bfill_median;categorical:mode_or_marker
16,SGD,0.0,42,0.7302857201576233,74.0,0.7496260234832763,74.42,74.42,16,74.42,0.7496260234832763,83.82,47.0,0.5260326651096344,83.1,1,numeric:interpolate_ffill_bfill_median;categorical:mode_or_marker
17,SGD,0.0,42,0.7054300609588623,74.82666666666667,0.6938364871978759,75.94,75.94,17,75.94,0.6938364871978759,83.82,47.0,0.5260326651096344,83.1,1,numeric:interpolate_ffill_bfill_median;categorical:mode_or_marker
18,SGD,0.0,42,0.6798302029079861,76.06222222222222,0.6906393167495728,76.52,76.52,18,76.52,0.6906393167495728,83.82,47.0,0.5260326651096344,83.1,1,numeric:interpolate_ffill_bfill_median;categorical:mode_or_marker
