phase,seed,torch_version,cuda_available,device,cudnn_deterministic,cudnn_benchmark,time_sec,epoch,batch,global_step,train_loss,grad_norm,update_norm,lr,tainted,effective_batch_size,original_batch_size,test_loss,test_accuracy,synthetic_filled_row,synthetic_fill_policy
meta_begin,1617.0,2.6.0+cu124,True,cuda,True,False,0.0,1.0,1.0,1.0,2.3341472148895264,0.0,0.0001000010423202,0.0001,False,128.0,128.0,2.2890185554504394,0.1747,1,numeric:interpolate_ffill_bfill_median;categorical:mode_or_marker
train,1617.0,2.6.0+cu124,True,cuda,True,False,0.1082196235656738,1.0,1.0,1.0,2.3341472148895264,0.0,0.0001000010423202,0.0001,False,128.0,128.0,2.2890185554504394,0.1747,1,numeric:interpolate_ffill_bfill_median;categorical:mode_or_marker
train,1617.0,2.6.0+cu124,True,cuda,True,False,0.226320743560791,1.0,2.0,2.0,2.338528871536255,0.9999995231628418,9.99997800365244e-05,0.0001,False,128.0,128.0,2.2890185554504394,0.1747,1,numeric:interpolate_ffill_bfill_median;categorical:mode_or_marker
train,1617.0,2.6.0+cu124,True,cuda,True,False,0.341151475906372,1.0,3.0,3.0,2.3375678062438965,0.999999463558197,9.999986572334225e-05,0.0001,False,128.0,128.0,2.2890185554504394,0.1747,1,numeric:interpolate_ffill_bfill_median;categorical:mode_or_marker
train,1617.0,2.6.0+cu124,True,cuda,True,False,0.445199966430664,1.0,4.0,4.0,2.3747482299804688,0.999999463558197,0.0001000019644289,0.0001,False,128.0,128.0,2.2890185554504394,0.1747,1,numeric:interpolate_ffill_bfill_median;categorical:mode_or_marker
train,1617.0,2.6.0+cu124,True,cuda,True,False,0.5304582118988037,1.0,5.0,5.0,2.314703702926636,0.999999463558197,0.0001000010084761,0.0001,False,128.0,128.0,2.2890185554504394,0.1747,1,numeric:interpolate_ffill_bfill_median;categorical:mode_or_marker
train,1617.0,2.6.0+cu124,True,cuda,True,False,0.6274783611297607,1.0,6.0,6.0,2.336897611618042,0.999999463558197,9.999954049208258e-05,0.0001,False,128.0,128.0,2.2890185554504394,0.1747,1,numeric:interpolate_ffill_bfill_median;categorical:mode_or_marker
train,1617.0,2.6.0+cu124,True,cuda,True,False,0.7546741962432861,1.0,7.0,7.0,2.346018552780152,0.9999995827674866,9.999931166339556e-05,0.0001,False,128.0,128.0,2.2890185554504394,0.1747,1,numeric:interpolate_ffill_bfill_median;categorical:mode_or_marker
train,1617.0,2.6.0+cu124,True,cuda,True,False,0.8728988170623779,1.0,8.0,8.0,2.311574459075928,0.9999994039535522,0.0001000004306612,0.0001,False,128.0,128.0,2.2890185554504394,0.1747,1,numeric:interpolate_ffill_bfill_median;categorical:mode_or_marker
train,1617.0,2.6.0+cu124,True,cuda,True,False,0.9971137046813964,1.0,9.0,9.0,2.3704702854156494,0.9999995231628418,0.000100000474311,0.0001,False,128.0,128.0,2.2890185554504394,0.1747,1,numeric:interpolate_ffill_bfill_median;categorical:mode_or_marker
train,1617.0,2.6.0+cu124,True,cuda,True,False,1.0881094932556152,1.0,10.0,10.0,2.335296630859375,0.999999463558197,0.0001000018296218,0.0001,False,128.0,128.0,2.2890185554504394,0.1747,1,numeric:interpolate_ffill_bfill_median;categorical:mode_or_marker
train,1617.0,2.6.0+cu124,True,cuda,True,False,1.1793131828308103,1.0,11.0,11.0,2.36200213432312,0.999999463558197,0.0001000009518249,0.0001,False,128.0,128.0,2.2890185554504394,0.1747,1,numeric:interpolate_ffill_bfill_median;categorical:mode_or_marker
train,1617.0,2.6.0+cu124,True,cuda,True,False,1.2626228332519531,1.0,12.0,12.0,2.347461223602295,0.999999463558197,0.0001000012574234,0.0001,False,128.0,128.0,2.2890185554504394,0.1747,1,numeric:interpolate_ffill_bfill_median;categorical:mode_or_marker
train,1617.0,2.6.0+cu124,True,cuda,True,False,1.3596930503845217,1.0,13.0,13.0,2.3139102458953857,0.999999463558197,0.0001000010006807,0.0001,False,128.0,128.0,2.2890185554504394,0.1747,1,numeric:interpolate_ffill_bfill_median;categorical:mode_or_marker
train,1617.0,2.6.0+cu124,True,cuda,True,False,1.463047981262207,1.0,14.0,14.0,2.3759524822235107,0.9999995827674866,9.999942711430776e-05,0.0001,False,128.0,128.0,2.2890185554504394,0.1747,1,numeric:interpolate_ffill_bfill_median;categorical:mode_or_marker
train,1617.0,2.6.0+cu124,True,cuda,True,False,1.5502331256866455,1.0,15.0,15.0,2.3684234619140625,0.999999463558197,0.000100000047401,0.0001,False,128.0,128.0,2.2890185554504394,0.1747,1,numeric:interpolate_ffill_bfill_median;categorical:mode_or_marker
train,1617.0,2.6.0+cu124,True,cuda,True,False,1.7112832069396973,1.0,16.0,16.0,2.338589906692505,0.999999463558197,9.999952940281118e-05,0.0001,False,128.0,128.0,2.2890185554504394,0.1747,1,numeric:interpolate_ffill_bfill_median;categorical:mode_or_marker
train,1617.0,2.6.0+cu124,True,cuda,True,False,1.8027138710021973,1.0,17.0,17.0,2.312051296234131,0.999999463558197,0.0001000002080492,0.0001,False,128.0,128.0,2.2890185554504394,0.1747,1,numeric:interpolate_ffill_bfill_median;categorical:mode_or_marker
train,1617.0,2.6.0+cu124,True,cuda,True,False,1.8937056064605715,1.0,18.0,18.0,2.337153673171997,0.9999994039535522,0.0001000004876943,0.0001,False,128.0,128.0,2.2890185554504394,0.1747,1,numeric:interpolate_ffill_bfill_median;categorical:mode_or_marker
train,1617.0,2.6.0+cu124,True,cuda,True,False,1.9972715377807615,1.0,19.0,19.0,2.3298230171203613,0.999999463558197,0.0001000013504467,0.0001,False,128.0,128.0,2.2890185554504394,0.1747,1,numeric:interpolate_ffill_bfill_median;categorical:mode_or_marker
train,1617.0,2.6.0+cu124,True,cuda,True,False,2.1205027103424072,1.0,20.0,20.0,2.3744826316833496,0.9999995231628418,0.0001000009282199,0.0001,False,128.0,128.0,2.2890185554504394,0.1747,1,numeric:interpolate_ffill_bfill_median;categorical:mode_or_marker
train,1617.0,2.6.0+cu124,True,cuda,True,False,2.229574680328369,1.0,21.0,21.0,2.320159912109375,0.9999995231628418,0.0001000000533684,0.0001,False,128.0,128.0,2.2890185554504394,0.1747,1,numeric:interpolate_ffill_bfill_median;categorical:mode_or_marker
train,1617.0,2.6.0+cu124,True,cuda,True,False,2.319581985473633,1.0,22.0,22.0,2.354682922363281,0.9999994039535522,0.0001000009889736,0.0001,False,128.0,128.0,2.2890185554504394,0.1747,1,numeric:interpolate_ffill_bfill_median;categorical:mode_or_marker
train,1617.0,2.6.0+cu124,True,cuda,True,False,2.4627134799957275,1.0,23.0,23.0,2.339306354522705,0.9999994039535522,0.0001000004803109,0.0001,False,128.0,128.0,2.2890185554504394,0.1747,1,numeric:interpolate_ffill_bfill_median;categorical:mode_or_marker
train,1617.0,2.6.0+cu124,True,cuda,True,False,2.5690619945526123,1.0,24.0,24.0,2.3427083492279053,0.9999994039535522,9.9999927752781e-05,0.0001,False,128.0,128.0,2.2890185554504394,0.1747,1,numeric:interpolate_ffill_bfill_median;categorical:mode_or_marker
train,1617.0,2.6.0+cu124,True,cuda,True,False,2.719167947769165,1.0,25.0,25.0,2.2880470752716064,0.9999995231628418,9.99994379173595e-05,0.0001,False,128.0,128.0,2.2890185554504394,0.1747,1,numeric:interpolate_ffill_bfill_median;categorical:mode_or_marker
train,1617.0,2.6.0+cu124,True,cuda,True,False,2.8777480125427246,1.0,26.0,26.0,2.3547160625457764,0.999999463558197,0.0001000012852827,0.0001,False,128.0,128.0,2.2890185554504394,0.1747,1,numeric:interpolate_ffill_bfill_median;categorical:mode_or_marker
train,1617.0,2.6.0+cu124,True,cuda,True,False,2.9834816455841064,1.0,27.0,27.0,2.3207969665527344,0.999999463558197,9.99986444428968e-05,0.0001,False,128.0,128.0,2.2890185554504394,0.1747,1,numeric:interpolate_ffill_bfill_median;categorical:mode_or_marker
train,1617.0,2.6.0+cu124,True,cuda,True,False,3.087120056152344,1.0,28.0,28.0,2.356325149536133,0.999999463558197,9.999801068143324e-05,0.0001,False,128.0,128.0,2.2890185554504394,0.1747,1,numeric:interpolate_ffill_bfill_median;categorical:mode_or_marker
train,1617.0,2.6.0+cu124,True,cuda,True,False,3.1860506534576416,1.0,29.0,29.0,2.3506221771240234,0.9999995231628418,0.0001000004915584,0.0001,False,128.0,128.0,2.2890185554504394,0.1747,1,numeric:interpolate_ffill_bfill_median;categorical:mode_or_marker
train,1617.0,2.6.0+cu124,True,cuda,True,False,3.276789665222168,1.0,30.0,30.0,2.3386919498443604,0.9999994039535522,0.0001000004176335,0.0001,False,128.0,128.0,2.2890185554504394,0.1747,1,numeric:interpolate_ffill_bfill_median;categorical:mode_or_marker
train,1617.0,2.6.0+cu124,True,cuda,True,False,3.3863329887390137,1.0,31.0,31.0,2.3181257247924805,0.9999995231628418,9.999936812034375e-05,0.0001,False,128.0,128.0,2.2890185554504394,0.1747,1,numeric:interpolate_ffill_bfill_median;categorical:mode_or_marker
train,1617.0,2.6.0+cu124,True,cuda,True,False,3.4914205074310303,1.0,32.0,32.0,2.307381391525269,0.999999463558197,0.0001000000330179,0.0001,False,128.0,128.0,2.2890185554504394,0.1747,1,numeric:interpolate_ffill_bfill_median;categorical:mode_or_marker
train,1617.0,2.6.0+cu124,True,cuda,True,False,3.5908241271972656,1.0,33.0,33.0,2.359692335128784,0.9999994039535522,0.0001000021181526,0.0001,False,128.0,128.0,2.2890185554504394,0.1747,1,numeric:interpolate_ffill_bfill_median;categorical:mode_or_marker
train,1617.0,2.6.0+cu124,True,cuda,True,False,3.687575101852417,1.0,34.0,34.0,2.335305690765381,0.9999994039535522,9.999883503936712e-05,0.0001,False,128.0,128.0,2.2890185554504394,0.1747,1,numeric:interpolate_ffill_bfill_median;categorical:mode_or_marker
train,1617.0,2.6.0+cu124,True,cuda,True,False,3.83974814414978,1.0,35.0,35.0,2.336122989654541,0.9999994039535522,9.999971191376044e-05,0.0001,False,128.0,128.0,2.2890185554504394,0.1747,1,numeric:interpolate_ffill_bfill_median;categorical:mode_or_marker
train,1617.0,2.6.0+cu124,True,cuda,True,False,3.940192699432373,1.0,36.0,36.0,2.335358142852783,0.999999463558197,9.99996128867365e-05,0.0001,False,128.0,128.0,2.2890185554504394,0.1747,1,numeric:interpolate_ffill_bfill_median;categorical:mode_or_marker
train,1617.0,2.6.0+cu124,True,cuda,True,False,4.081256866455078,1.0,37.0,37.0,2.342365264892578,0.9999995827674866,0.000100001575359,0.0001,False,128.0,128.0,2.2890185554504394,0.1747,1,numeric:interpolate_ffill_bfill_median;categorical:mode_or_marker
train,1617.0,2.6.0+cu124,True,cuda,True,False,4.189478397369385,1.0,38.0,38.0,2.35738468170166,0.9999994039535522,0.0001000016395471,0.0001,False,128.0,128.0,2.2890185554504394,0.1747,1,numeric:interpolate_ffill_bfill_median;categorical:mode_or_marker
train,1617.0,2.6.0+cu124,True,cuda,True,False,4.308909177780151,1.0,39.0,39.0,2.354767084121704,0.9999995231628418,0.0001000016913017,0.0001,False,128.0,128.0,2.2890185554504394,0.1747,1,numeric:interpolate_ffill_bfill_median;categorical:mode_or_marker
train,1617.0,2.6.0+cu124,True,cuda,True,False,4.492502689361572,1.0,40.0,40.0,2.3402328491210938,0.999999463558197,0.0001000004060976,0.0001,False,128.0,128.0,2.2890185554504394,0.1747,1,numeric:interpolate_ffill_bfill_median;categorical:mode_or_marker
train,1617.0,2.6.0+cu124,True,cuda,True,False,4.644728899002075,1.0,41.0,41.0,2.313616752624512,0.9999995231628418,0.0001000001139709,0.0001,False,128.0,128.0,2.2890185554504394,0.1747,1,numeric:interpolate_ffill_bfill_median;categorical:mode_or_marker
