phase,seed,torch_version,cuda_available,device,cudnn_deterministic,cudnn_benchmark,time_sec,epoch,batch,global_step,train_loss,grad_norm,update_norm,lr,tainted,effective_batch_size,original_batch_size,test_loss,test_accuracy,synthetic_filled_row,synthetic_fill_policy
meta_begin,1415.0,2.5.1+cu121,True,cuda,True,False,0.0,1.0,1.0,1.0,2.3454833030700684,0.0,0.0099999972240751,0.01,False,128.0,128.0,0.4278711660385131,0.8896,1,numeric:interpolate_ffill_bfill_median;categorical:mode_or_marker
train,1415.0,2.5.1+cu121,True,cuda,True,False,0.041959524154663,1.0,1.0,1.0,2.3454833030700684,0.0,0.0099999972240751,0.01,False,128.0,128.0,0.4278711660385131,0.8896,1,numeric:interpolate_ffill_bfill_median;categorical:mode_or_marker
train,1415.0,2.5.1+cu121,True,cuda,True,False,0.0786554813385009,1.0,2.0,2.0,2.3327176570892334,0.9999995231628418,0.0099999934653023,0.01,False,128.0,128.0,0.4278711660385131,0.8896,1,numeric:interpolate_ffill_bfill_median;categorical:mode_or_marker
train,1415.0,2.5.1+cu121,True,cuda,True,False,0.1085443496704101,1.0,3.0,3.0,2.311707735061645,0.9999994039535522,0.0099999938383374,0.01,False,128.0,128.0,0.4278711660385131,0.8896,1,numeric:interpolate_ffill_bfill_median;categorical:mode_or_marker
train,1415.0,2.5.1+cu121,True,cuda,True,False,0.1440587043762207,1.0,4.0,4.0,2.3077423572540283,0.999999463558197,0.0099999940937777,0.01,False,128.0,128.0,0.4278711660385131,0.8896,1,numeric:interpolate_ffill_bfill_median;categorical:mode_or_marker
train,1415.0,2.5.1+cu121,True,cuda,True,False,0.2049713134765625,1.0,5.0,5.0,2.284916877746582,0.9999993443489076,0.0099999962946849,0.01,False,128.0,128.0,0.4278711660385131,0.8896,1,numeric:interpolate_ffill_bfill_median;categorical:mode_or_marker
train,1415.0,2.5.1+cu121,True,cuda,True,False,0.2756283283233642,1.0,6.0,6.0,2.302830696105957,0.9999995231628418,0.0099999937228742,0.01,False,128.0,128.0,0.4278711660385131,0.8896,1,numeric:interpolate_ffill_bfill_median;categorical:mode_or_marker
train,1415.0,2.5.1+cu121,True,cuda,True,False,0.3470966815948486,1.0,7.0,7.0,2.302922010421753,0.999999463558197,0.009999996495058,0.01,False,128.0,128.0,0.4278711660385131,0.8896,1,numeric:interpolate_ffill_bfill_median;categorical:mode_or_marker
train,1415.0,2.5.1+cu121,True,cuda,True,False,0.4032936096191406,1.0,8.0,8.0,2.252534866333008,0.9999995231628418,0.0099999945126429,0.01,False,128.0,128.0,0.4278711660385131,0.8896,1,numeric:interpolate_ffill_bfill_median;categorical:mode_or_marker
train,1415.0,2.5.1+cu121,True,cuda,True,False,0.4402806758880615,1.0,9.0,9.0,2.26003646850586,0.9999995231628418,0.0099999928812357,0.01,False,128.0,128.0,0.4278711660385131,0.8896,1,numeric:interpolate_ffill_bfill_median;categorical:mode_or_marker
train,1415.0,2.5.1+cu121,True,cuda,True,False,0.4852807521820068,1.0,10.0,10.0,2.2239058017730717,0.999999463558197,0.0099999957802517,0.01,False,128.0,128.0,0.4278711660385131,0.8896,1,numeric:interpolate_ffill_bfill_median;categorical:mode_or_marker
train,1415.0,2.5.1+cu121,True,cuda,True,False,1.3136472702026367,1.0,11.0,11.0,2.1938493251800537,0.9999995827674866,0.0099999950242339,0.01,False,128.0,128.0,0.4278711660385131,0.8896,1,numeric:interpolate_ffill_bfill_median;categorical:mode_or_marker
