iteration,loss,grad_norm,x,y,optimizer,elapsed_seconds,test_acc
0,823.45717954379,1000.0,1.0923810005187988,-1.6762832403182983,SGD,0.0,0.01
1,820.839512269383,1000.0,1.090652585029602,-1.675492286682129,SGD,0.001,0.01
2,818.2315393688755,999.9999389648438,1.088926076889038,-1.6747008562088013,SGD,0.002,0.01
3,815.6332912514791,1000.0,1.087201476097107,-1.673909068107605,SGD,0.003,0.01
4,813.0445824448485,1000.0,1.085478663444519,-1.67311692237854,SGD,0.004,0.01
5,810.465455893542,1000.0,1.083757758140564,-1.672324299812317,SGD,0.005,0.01
6,807.8957954268517,1000.0000610351562,1.082038640975952,-1.671531319618225,SGD,0.006,0.01
7,805.3357111979469,1000.0,1.0803214311599731,-1.6707379817962646,SGD,0.007,0.01
8,802.7850983406797,1000.0000610351562,1.078606128692627,-1.669944167137146,SGD,0.008,0.01
9,800.2438421655477,1000.0,1.076892614364624,-1.6691499948501587,SGD,0.009,0.01
10,797.711984499212,999.9999389648438,1.075181007385254,-1.6683553457260132,SGD,0.01,0.01
11,795.1894116294031,1000.0000610351562,1.073471188545227,-1.667560338973999,SGD,0.011,0.01
12,792.6762320655282,1000.0,1.071763277053833,-1.6667649745941162,SGD,0.012,0.01
13,790.1723421545818,1000.0,1.0700572729110718,-1.6659691333770752,SGD,0.013,0.01
14,787.6776296399869,1000.0,1.0683530569076538,-1.6651729345321655,SGD,0.014,0.01
15,785.1921352503063,1000.0,1.0666507482528689,-1.6643762588500977,SGD,0.015,0.01
16,782.7157476893458,1000.0,1.0649502277374268,-1.6635792255401611,SGD,0.016,0.01
17,780.248573848021,999.9999389648438,1.0632516145706177,-1.662781834602356,SGD,0.017,0.01
18,777.7903700846454,1000.0,1.061554789543152,-1.6619839668273926,SGD,0.018,0.01
19,775.3413093510469,1000.0,1.0598598718643188,-1.6611857414245603,SGD,0.019,0.01
20,772.9013559459164,999.9999389648438,1.0581668615341189,-1.66038715839386,SGD,0.02,0.01
21,770.4702682774472,999.9999389648438,1.0564756393432615,-1.659588098526001,SGD,0.021,0.01
22,768.048218030307,1000.0,1.0547863245010376,-1.6587886810302734,SGD,0.022,0.01
23,765.6349649672003,999.9999389648438,1.0530987977981567,-1.6579887866973877,SGD,0.023,0.01
24,763.2306799323899,1000.0,1.0514131784439087,-1.6571885347366333,SGD,0.024,0.01
25,760.8351897982984,1000.0000610351562,1.049729347229004,-1.6563879251480105,SGD,0.025,0.01
26,758.4485329434083,1000.0000610351562,1.048047423362732,-1.655586838722229,SGD,0.026,0.01
27,756.0706032388615,1000.0,1.0463672876358032,-1.654785394668579,SGD,0.027,0.01
28,753.7014386451441,999.9999389648438,1.044689059257507,-1.653983473777771,SGD,0.028,0.01
29,751.3409339512586,1000.0,1.043012619018555,-1.6531811952590942,SGD,0.029,0.01
30,748.9891919522015,1000.0,1.0413380861282349,-1.6523785591125488,SGD,0.03,0.01
31,746.6461132196944,1000.0,1.039665460586548,-1.6515754461288452,SGD,0.031,0.01
32,744.3115939099466,1000.0,1.037994623184204,-1.650771975517273,SGD,0.032,0.01
33,741.9856709538435,999.9999389648438,1.0363256931304932,-1.6499680280685425,SGD,0.033,0.01
34,739.6682414095384,1000.0,1.0346585512161257,-1.6491637229919434,SGD,0.034,0.01
35,737.3594065412642,1000.0,1.0329933166503906,-1.6483590602874756,SGD,0.035,0.01
36,735.0589347197804,1000.0,1.031329870223999,-1.6475539207458496,SGD,0.036,0.01
37,732.7669914449428,1000.0,1.0296683311462402,-1.646748423576355,SGD,0.037,0.01
38,730.4833463811896,1000.0000610351562,1.0280085802078247,-1.645942449569702,SGD,0.038,0.01
