epoch,train_loss,train_acc,test_loss,test_acc,ema_test_acc,optimizer,elapsed_seconds
1,1.597437817955017,41.73833333333334,1.103214379310608,60.52,9.85,Unknown,1
2,0.9634206124305724,67.26166666666667,0.7267119568824768,76.57,10.7,Unknown,2
3,0.6669577212015788,78.55666666666667,0.5283565842628479,82.37,11.54,Unknown,3
4,0.4760456932544708,85.57166666666667,0.352467486333847,90.13,12.84,Unknown,4
5,0.365263291978836,89.10666666666667,0.3329519742488861,90.11,14.62,Unknown,5
6,0.3237607769648234,90.27666666666669,0.2926713223457336,91.31,18.88,Unknown,6
7,0.2884480603377024,91.38833333333334,0.2466328292846679,92.68,25.77,Unknown,7
8,0.264639021062851,92.11833333333334,0.2479849136590957,92.63,36.51,Unknown,8
9,0.2501485205809275,92.48666666666666,0.2350917626619339,93.03,47.25,Unknown,9
10,0.2437236595153808,92.78333333333332,0.2252397988796234,93.22,56.2,Unknown,10
