epoch,train_loss,train_acc,test_loss,test_acc,ema_test_acc
1,1.5612073586146036,42.403333333333336,1.093325556755066,63.1,12.61
2,0.9316809031486512,68.46166666666667,0.6170087128639221,82.07,12.78
3,0.5610388364791871,82.63166666666666,0.4305277654647827,86.71,13.33
4,0.4043393443266551,87.56166666666667,0.3174676952600479,90.52,12.78
5,0.33499288832346596,89.67,0.2697739371538162,91.73,12.97
6,0.2878720954100291,91.39,0.24701397552490234,92.76,16.04
7,0.2664516274054845,92.02,0.2302133552789688,93.17,27.04
8,0.25449827477931974,92.28666666666666,0.22435468199253084,93.19,37.18
9,0.2459608548482259,92.59666666666666,0.22116146206855775,93.48,47.02
10,0.24009997210502623,92.73666666666666,0.22083741841316223,93.43,56.1
