epoch,train_loss,train_acc,test_loss,test_acc,ema_test_acc,optimizer,elapsed_seconds
1,1.5663265555699666,42.81,1.115246496963501,58.05,58.05,Unknown,1
2,0.9497806310017904,68.5,0.6972812093734742,79.26,79.26,Unknown,2
3,0.6178580604553222,80.95333333333333,0.457857662153244,86.71,86.71,Unknown,3
4,0.4481643238862355,86.47,0.3649812381029129,89.36,89.36,Unknown,4
5,0.3644299848079681,89.16166666666666,0.3149144387960434,90.75,90.75,Unknown,5
6,0.3237569455305735,90.37166666666668,0.2784647307157517,91.86,91.86,Unknown,6
7,0.3017798334360123,91.015,0.2753303768873215,92.11,92.11,Unknown,7
8,0.2880174748818079,91.38666666666668,0.256146485710144,92.69,92.69,Unknown,8
9,0.276433224550883,91.79,0.2539485984206199,92.47,92.47,Unknown,9
10,0.2706244177023569,92.02166666666666,0.2438329161524772,92.89,92.89,Unknown,10
