epoch,train_loss,train_acc,test_loss,test_acc,ema_test_acc
1,1.5430652184168498,42.95,1.12975051984787,57.7,57.7
2,1.0405121340751649,63.32333333333333,0.841417506313324,73.41,73.41
3,0.7689355507214864,75.30833333333334,0.6304593795776368,79.05,79.05
4,0.5421734769980112,83.41666666666667,0.41753543939590454,87.57,87.57
5,0.4187376250108083,87.44,0.3386785892009735,90.11,90.11
6,0.3668057291030884,89.105,0.3090495453119278,90.88,90.88
7,0.33586328295866646,90.08333333333333,0.2936751888751984,91.35,91.35
8,0.3141763570944468,90.7,0.28028679437637327,91.94,91.94
9,0.299220311721166,91.15666666666667,0.2767078596591949,92.09,92.09
10,0.29170010034243266,91.46833333333333,0.2610670611619949,92.59,92.59
