epoch,train_loss,train_acc,test_loss,test_acc,ema_test_acc
1,1.440835324637095,48.00833333333333,0.9468874289512634,67.37,67.37
2,0.7862220139821371,75.16333333333333,0.544594177389145,83.25,83.25
3,0.49558465813000996,84.64333333333333,0.3845227244853973,88.5,88.5
4,0.38427094798088074,88.26333333333334,0.30238007822036744,91.12,91.12
5,0.3243263728459676,89.97833333333334,0.26553842087984086,92.02,92.02
6,0.2893210155169169,90.99833333333333,0.24330361852645874,92.34,92.34
7,0.2627942313035329,91.88833333333334,0.2281121005654335,92.99,92.99
8,0.24380795691808066,92.61,0.2114294976234436,93.57,93.57
9,0.23064289419651032,92.94,0.20879737053513528,93.73,93.73
10,0.22704352729320526,92.94166666666666,0.20297393497228622,94.01,94.01
