epoch,train_loss,train_acc,test_loss,test_acc,ema_test_acc,optimizer,elapsed_seconds
1,1.6373276309331255,50.001666666666665,1.219335767364502,74.49,10.58,Unknown,1
2,1.1017779477437335,79.79166666666667,0.9279411697387696,88.56,9.89,Unknown,2
3,0.912272964922587,88.53166666666667,0.8460522432327271,91.38,9.8,Unknown,3
4,0.8376931564331055,91.33833333333334,0.7823051617622375,93.28,10.12,Unknown,4
5,0.7939669090906779,92.825,0.7596935127258301,94.05,13.08,Unknown,5
6,0.7675015822410584,93.66333333333333,0.7514892366409301,94.31,16.55,Unknown,6
7,0.750767183081309,94.23666666666666,0.728765756702423,95.16,19.46,Unknown,7
8,0.738366299088796,94.63166666666666,0.7230970871925354,95.26,25.76,Unknown,8
9,0.7307292428970337,94.80833333333334,0.7171388283729553,95.37,30.49,Unknown,9
10,0.7272575227101644,94.96666666666668,0.7163412616729736,95.37,35.36,Unknown,10
