iteration,loss,grad_norm,x,y,optimizer,elapsed_seconds,test_acc
0,2501.0,2.12426495552063,1.8969550132751465,-0.974251627922058,SGD_Momentum_start4,0.0,0.01
5,168.36268615722656,0.9840378165245056,0.4524146616458893,-0.5379897356033325,SGD_Momentum_start4,0.005,0.01
10,22.37747001647949,0.6465749740600586,-0.8574550747871399,0.1679115295410156,SGD_Momentum_start4,0.01,0.01
15,8.378087997436523,1.2419131994247437,-0.919923722743988,1.0074348449707031,SGD_Momentum_start4,0.015,0.01
20,5.5880937576293945,1.6384104490280151,-1.2283809185028076,1.300709843635559,SGD_Momentum_start4,0.02,0.01
25,6.939349174499512,1.781186580657959,-1.2920385599136353,1.4392387866973877,SGD_Momentum_start4,0.025,0.01
30,13.651317596435549,1.8004919290542605,-1.1583685874938965,1.5110135078430176,SGD_Momentum_start4,0.03,0.01
35,11.07301139831543,1.7589823007583618,-1.0601818561553955,1.4848895072937012,SGD_Momentum_start4,0.035,0.01
40,4.65937614440918,1.68681800365448,-1.02837872505188,1.3018327951431274,SGD_Momentum_start4,0.04,0.01
45,13.845544815063477,1.3588732481002808,-1.0519016981124878,0.8601489067077637,SGD_Momentum_start4,0.045,0.01
50,13.294787406921388,0.9738834500312804,-0.6758165955543518,0.6984697580337524,SGD_Momentum_start4,0.05,0.01
55,11.40074634552002,0.8301963210105896,-0.7513179183006287,0.3283026218414306,SGD_Momentum_start4,0.055,0.01
60,3.459637403488159,0.4864772856235504,-0.3731285333633423,0.2440592348575592,SGD_Momentum_start4,0.06,0.01
65,2.132498264312744,0.2402783036231994,-0.2109324783086776,-0.0459480136632919,SGD_Momentum_start4,0.065,0.01
70,1.831037521362305,0.0914991945028305,-0.0136110186576843,-0.0772361978888511,SGD_Momentum_start4,0.07,0.01
75,0.9433885216712952,0.0965865850448608,0.1200626045465469,-0.0067531149834394,SGD_Momentum_start4,0.075,0.01
80,0.6143208146095276,0.2217091172933578,0.2613744139671325,0.0607563182711601,SGD_Momentum_start4,0.08,0.01
85,0.3684678673744201,0.4021936655044555,0.4470594525337219,0.1741078794002533,SGD_Momentum_start4,0.085,0.01
90,0.3949686288833618,0.6403862833976746,0.6300590634346008,0.3486113250255584,SGD_Momentum_start4,0.09,0.01
95,0.0735843107104301,0.8677962422370911,0.7527819871902466,0.5979199409484863,SGD_Momentum_start4,0.095,0.01
100,0.0417995750904083,1.083185791969299,0.9042034149169922,0.7673411965370178,SGD_Momentum_start4,0.1,0.01
105,1.185617208480835,1.2137770652770996,0.9195442199707032,0.92683607339859,SGD_Momentum_start4,0.105,0.01
110,0.107982724905014,1.3096781969070437,1.042886734008789,0.9553030133247375,SGD_Momentum_start4,0.11,0.01
115,2.2541286945343018,1.37117600440979,1.0598021745681765,0.9823182821273804,SGD_Momentum_start4,0.115,0.01
120,1.6503974199295044,1.3734074831008911,0.9891176819801332,1.0182114839553833,SGD_Momentum_start4,0.12,0.01
125,0.4368963837623596,1.3341212272644043,0.9708666205406188,1.008735418319702,SGD_Momentum_start4,0.125,0.01
130,0.9850906133651732,1.3068289756774902,1.002509593963623,0.9622952938079834,SGD_Momentum_start4,0.13,0.01
135,0.0009941388852894,0.7547573447227478,0.9887377619743348,0.9338886737823486,SGD_Momentum_start4,0.135,0.01
140,3.640247344970703,1.2951740026474,0.9839360117912292,0.9043880701065063,SGD_Momentum_start4,0.14,0.01
145,0.2004866898059845,1.218271017074585,1.0343472957611084,0.8193473219871521,SGD_Momentum_start4,0.145,0.01
150,0.5453585386276245,1.1495813131332395,0.8178722262382507,0.8485875129699707,SGD_Momentum_start4,0.15,0.01
155,7.523464679718018,1.13204026222229,0.9537563920021056,0.6756015419960022,SGD_Momentum_start4,0.155,0.01
160,5.733676433563232,0.9710460901260376,0.738214910030365,0.6953436136245728,SGD_Momentum_start4,0.16,0.01
165,0.4945636689662933,0.9179728627204896,0.7269169688224792,0.612801194190979,SGD_Momentum_start4,0.165,0.01
