Seed,Beta1,Beta2,Optimizer,Final_Train_Acc,Final_Test_Acc,Final_Train_Loss,Final_Test_Loss,mean_grad_norm,smoothness_index
42,0.7,0.9,Adam,93.53,89.2,0.20118183641433715,0.34078590154647825,1.1520145178071104,0.0
42,0.7,0.99,Adam,93.63,88.9,0.20501876907348632,0.34138321185111997,1.168884125043419,0.0
42,0.7,0.999,Adam,93.72,89.3,0.20484685392379762,0.33732138729095457,1.1738464625036638,0.0
42,0.9,0.9,Adam,94.68,89.9,0.18508559045791625,0.315356486082077,1.354768737576198,0.0
42,0.9,0.99,Adam,94.43,89.65,0.19496316046714782,0.3227252607345581,1.3174839239280365,0.0
42,0.9,0.999,Adam,94.37,89.45,0.19670297179222107,0.3235100088119507,1.314189822745234,0.0
42,0.99,0.9,Adam,91.4,86.7,0.30127372360229493,0.49240609073638913,2.209594583342528,0.0
42,0.99,0.99,Adam,92.27,87.85,0.26824134006500244,0.4352944626808167,1.9601394512683774,0.0
42,0.99,0.999,Adam,92.32,87.95,0.2670912121772766,0.43130921411514284,1.9438108817086182,0.0
123,0.7,0.9,Adam,93.51,89.1,0.1993296093940735,0.33364764189720153,1.1263985019055216,0.0
123,0.7,0.99,Adam,93.48,89.25,0.20274433588981627,0.3350116443634033,1.1385714883099882,0.0
123,0.7,0.999,Adam,93.77,89.75,0.19773391623497008,0.32764726400375366,1.1374575425247355,0.0
123,0.9,0.9,Adam,95.01,90.5,0.1765973111629486,0.30092441725730895,1.3436765010115057,0.0
123,0.9,0.99,Adam,94.77,90.55,0.18710547919273376,0.30690626907348634,1.3035847627671677,0.0
123,0.9,0.999,Adam,94.79,90.65,0.18890175504684448,0.3082653207778931,1.3016713488127003,0.0
123,0.99,0.9,Adam,91.68,87.65,0.30203012857437134,0.4774994707107544,2.1012016552228387,0.0
123,0.99,0.99,Adam,92.52,88.5,0.26197028493881225,0.4255477786064148,1.8571521837839504,0.0
123,0.99,0.999,Adam,92.6,88.65,0.2587008875846863,0.41923902940750124,1.8344537573393316,0.0
456,0.7,0.9,Adam,93.57,89.05,0.20419960050582886,0.3429493999481201,1.137068994128859,0.0
456,0.7,0.99,Adam,93.45,88.75,0.20880384097099305,0.3422166142463684,1.1538161439231083,0.0
456,0.7,0.999,Adam,93.62,88.95,0.20685883989334106,0.33882780265808105,1.1544775721888831,0.0
456,0.9,0.9,Adam,94.56,89.95,0.18698496532440184,0.3166934597492218,1.3641275816030445,0.0
456,0.9,0.99,Adam,94.47,90.1,0.19463759007453918,0.3225982542037964,1.3094342112154884,0.0
456,0.9,0.999,Adam,94.49,89.95,0.19633655624389648,0.32372362112998965,1.3043961553581271,0.0
456,0.99,0.9,Adam,91.74,87.25,0.29111498851776124,0.4799781632423401,2.127778543166622,0.0
456,0.99,0.99,Adam,92.38,88.15,0.26631833925247195,0.4302692687511444,1.922194006409178,0.0
456,0.99,0.999,Adam,92.46,88.05,0.26410632581710813,0.42553478813171386,1.9062224013257993,0.0
