epoch,train_loss,train_acc,val_loss,val_acc,tainted,effective_batch_size,original_batch_size,test_acc,test_loss
1,2.0244850475679743,24.613333333333333,1.8935619950294496,28.76,False,128,128,,
2,1.78390910950574,32.977777777777774,1.752262818813324,34.5,False,128,128,,
3,1.6586163951592012,37.36888888888889,1.626673126220703,38.88,False,128,128,,
4,1.5697014839811758,40.68666666666667,1.5638171434402466,40.68,False,128,128,,
5,1.497221559963443,43.84444444444444,1.5037930965423585,44.38,False,128,128,,
6,1.4331069297411225,46.76222222222222,1.4343834161758422,46.84,False,128,128,,
7,1.371357497843829,49.46,1.3933500528335572,49.52,False,128,128,,
8,1.313158999789845,51.913333333333334,1.3638076663017273,51.28,False,128,128,,
9,1.2593034383925525,54.02444444444444,1.275264048576355,54.28,False,128,128,,
10,1.2063933407718486,55.906666666666666,1.238401472568512,54.84,False,128,128,,
11,1.1557756079868837,58.24888888888889,1.1942553043365478,56.98,False,128,128,,
12,1.1164695867760615,59.59777777777778,1.1481732606887818,58.14,False,128,128,,
13,1.0811429629949005,60.77333333333333,1.1766847610473632,58.12,False,128,128,,
14,1.0364034158939666,62.73111111111111,1.0920751810073852,59.96,False,128,128,,
15,1.010275100781159,63.56444444444445,1.053684765100479,61.82,False,128,128,,
16,0.9849340695549141,64.54666666666667,1.0542333841323852,61.58,False,128,128,,
17,0.9591258936984972,65.66444444444444,1.0040687382221223,64.14,False,128,128,,
18,0.9338270632380788,66.41777777777777,1.0436581432819367,62.18,False,128,128,,
19,0.9097581018101085,67.34444444444445,1.0515806257724762,63.34,False,128,128,,
20,0.8907631913369353,67.89333333333333,0.9696270763874054,65.6,False,128,128,,
21,0.865405392579057,68.93555555555555,0.9039399027824402,67.24,False,128,128,,
22,0.8428154520013116,69.67333333333333,0.9174650967121124,67.22,False,128,128,,
23,0.8282999216832898,70.55333333333333,0.9012198328971863,67.46,False,128,128,,
24,0.8063343082639304,71.37555555555555,0.8793766796588898,68.18,False,128,128,,
25,0.7897742021490227,72.16444444444444,0.88188436627388,69.14,False,128,128,,
26,0.7762186225842346,72.32666666666667,0.8318608820438385,70.02,False,128,128,,
27,0.7567405084317381,73.29555555555555,0.8717791736125946,67.86,False,128,128,,
28,0.738380204886198,73.84444444444445,0.8365857422351837,70.22,False,128,128,,
29,0.7260667746039954,74.07777777777778,0.7905161261558533,71.8,False,128,128,,
30,0.7067255804484541,74.97777777777777,0.7961144804954529,71.86,False,128,128,,
31,0.6983309476213022,75.21777777777778,0.8127857446670532,70.68,False,128,128,,
32,0.6791856078939005,76.04888888888888,0.7352926135063171,73.24,False,128,128,,
33,0.6668149974535812,76.57777777777778,0.78406543135643,72.6,False,128,128,,
34,0.6529716510664333,76.7,0.7695745468139649,72.88,False,128,128,,
35,0.6436003869907423,77.19111111111111,0.7427846431732178,72.92,False,128,128,,
36,0.6357859571210362,77.54888888888888,0.7918171942234039,72.86,False,128,128,,
37,0.6231648412279107,78.01777777777778,0.7470937192440033,73.68,False,128,128,,
38,0.6067579068582166,78.74444444444444,0.7479252338409423,73.36,False,128,128,,
39,0.5958138551901687,78.93555555555555,0.7447129309177398,73.96,False,128,128,,
40,0.5857955271547491,79.4,0.7248754560947418,74.0,False,128,128,,
41,0.5791887364942919,79.54666666666667,0.7099284708499909,74.24,False,128,128,,
42,0.5690783304585652,80.01555555555555,0.7375029027462006,74.44,False,128,128,,
43,0.5569508957930587,80.4,0.6602534592151642,76.94,False,128,128,,
44,0.547678245570172,80.69333333333333,0.664147424697876,76.8,False,128,128,,
45,0.5376415647227656,81.10222222222222,0.6201504409313202,77.64,False,128,128,,
46,0.5299361277032982,81.44666666666667,0.6582028150558472,76.76,False,128,128,,
47,0.5208642699501731,81.64222222222222,0.6404938101768494,77.8,False,128,128,,
48,0.5158376698805527,81.95555555555555,0.6330099642276764,78.04,False,128,128,,
49,0.5042963000861082,82.23555555555555,0.6759664177894592,76.86,False,128,128,,
50,0.4989935743876479,82.43333333333334,0.6178553402423859,78.14,False,128,128,79.0,0.6326668441295624
