epoch,train_loss,train_acc,val_loss,val_acc,tainted,effective_batch_size,original_batch_size,test_acc,test_loss
1,1.4607595598155803,45.73777777777778,1.2645821809768676,55.18,False,128,128,,
2,1.0044431002302603,64.03777777777778,1.0529381871223449,62.12,False,128,128,,
3,0.8047057860954241,71.68666666666667,0.9376805424690247,68.94,False,128,128,,
4,0.6850119117986072,76.07555555555555,0.7887395799160004,72.1,False,128,128,,
5,0.5928269878707149,79.42444444444445,0.6811913669109344,76.38,False,128,128,,
6,0.5300158436664126,81.64666666666666,0.6637537002563476,77.02,False,128,128,,
7,0.47957268509675155,83.39111111111112,0.613031142950058,78.6,False,128,128,,
8,0.4436626198955558,84.92888888888889,0.6347805142402649,79.28,False,128,128,,
9,0.40866847488690505,85.92666666666666,0.5285282075405121,81.6,False,128,128,,
10,0.3795397027649663,86.9888888888889,0.7305960118770599,77.42,False,128,128,,
11,0.35576030298728833,87.91333333333333,0.4369807928800583,84.86,False,128,128,,
12,0.3282952223989097,88.63111111111111,0.4616855621337891,84.88,False,128,128,,
13,0.30662033275108447,89.39111111111112,0.4552991777658463,83.94,False,128,128,,
14,0.2915395302698016,89.93555555555555,0.5034856110811233,83.56,False,128,128,,
15,0.2687287218022076,90.73777777777778,0.48697382509708403,84.18,False,128,128,,
16,0.25593334885144775,91.1511111111111,0.35871709883213043,87.64,False,128,128,,
17,0.23393680832602762,92.00888888888889,0.4142464905977249,86.3,False,128,128,,
18,0.22591249272227287,92.14666666666666,0.41898386776447294,86.28,False,128,128,,
19,0.20879398459907283,92.80888888888889,0.35382398068904874,88.24,False,128,128,,
20,0.19303663684563202,93.33111111111111,0.37464787662029264,87.12,False,128,128,,
21,0.1803217835893685,93.88444444444444,0.3611025154590607,88.42,False,128,128,,
22,0.16623182188380847,94.32444444444444,0.4775318741798401,85.66,False,128,128,,
23,0.1520882601511072,94.81333333333333,0.3429082065820694,88.9,False,128,128,,
24,0.14568223135376518,95.01777777777778,0.40223408341407774,87.26,False,128,128,,
25,0.12870012058622457,95.53555555555556,0.41137351989746096,87.28,False,128,128,,
26,0.11744384725832126,95.82,0.3852867841720581,88.26,False,128,128,,
27,0.10958745228973302,96.26444444444445,0.3431496560573578,89.32,False,128,128,,
28,0.09805060281756926,96.57333333333334,0.31164348125457764,90.26,False,128,128,,
29,0.08843732862309976,96.99333333333334,0.2978078544139862,90.68,False,128,128,,
30,0.07676080491563136,97.30888888888889,0.3938615083694458,88.56,False,128,128,,
31,0.07034294387664307,97.65333333333334,0.3619349986314774,89.64,False,128,128,,
32,0.062329312289049005,97.81777777777778,0.3021039694547653,91.02,False,128,128,,
33,0.05400905198290606,98.20666666666666,0.29776041954755783,91.5,False,128,128,,
34,0.04572791036811064,98.41777777777777,0.32409554421901704,91.2,False,128,128,,
35,0.04123045537959446,98.58,0.31181099712848664,91.64,False,128,128,,
36,0.03128863022853197,99.0,0.31296486854553224,91.74,False,128,128,,
37,0.026640443028141322,99.09333333333333,0.3146088242530823,91.86,False,128,128,,
38,0.023624611536929893,99.25333333333333,0.32353878319263457,91.6,False,128,128,,
39,0.01932998055152976,99.39333333333333,0.31616365909576416,92.26,False,128,128,,
40,0.016661817469866946,99.44888888888889,0.3169997364282608,92.14,False,128,128,,
41,0.014112327265055765,99.50888888888889,0.3171285718679428,92.62,False,128,128,,
42,0.0123844557039609,99.6,0.31090610176324845,92.64,False,128,128,,
43,0.009164920141550036,99.71333333333334,0.29600899666547775,92.4,False,128,128,,
44,0.007833591119296298,99.76444444444445,0.32031787037849424,92.7,False,128,128,,
45,0.006309573679490396,99.84444444444445,0.3093352034687996,92.86,False,128,128,,
46,0.006304899648305515,99.80222222222223,0.32306362986564635,92.44,False,128,128,,
47,0.005318895825356859,99.85555555555555,0.323584708571434,92.72,False,128,128,,
48,0.004650961093416713,99.86444444444444,0.3001273229718208,93.22,False,128,128,,
49,0.004612709086359246,99.87555555555555,0.3181796818971634,92.56,False,128,128,,
50,0.004193213792280982,99.89777777777778,0.3284497529268265,92.84,False,128,128,92.64,0.3646179661154747
