epoch,train_loss,train_acc,val_loss,val_acc,test_loss,test_acc,grad_norm,effective_batch_size,original_batch_size,elapsed_seconds,learning_rate,grad_noise_var
1,0.2604634161703112,83.04333333333334,0.12757660337585083,96.06666666666666,0.12757660337585083,96.06666666666666,0.7857447670403985,128,128,39.74711012840271,0.08102356207766662,
2,0.09952395268543777,87.30166666666666,0.08371308160589096,97.43333333333334,0.08371308160589096,97.43333333333334,0.6641203713925091,128,128,79.71450614929199,0.08094442073928104,
3,0.06487472162701154,88.20166666666667,0.06999156061322132,97.83333333333333,0.06999156061322132,97.83333333333333,0.4291307365073919,128,128,120.12464451789856,0.08070730905883068,
4,0.04487069302472458,88.78833333333333,0.06461281452248706,98.15,0.06461281452248706,98.15,0.558690641226526,128,128,159.73420906066895,0.08031316280779226,
5,0.032602847398201365,89.13,0.05798446684283145,98.18333333333334,0.05798446684283145,98.18333333333334,0.3594875232942372,128,128,200.26382160186768,0.0797635375013503,
6,0.023173226433104318,89.39,0.06169246563172721,97.96666666666667,0.06169246563172721,97.96666666666667,0.4602457991046788,128,128,240.17607164382935,0.07906060225948947,
7,0.015447701789853626,89.65,0.06944072103880822,97.73333333333333,0.06944072103880822,97.73333333333333,0.38158937797542125,128,128,284.44759368896484,0.07820713124646876,
8,0.011234334547246996,89.78833333333333,0.05588277587865261,98.43333333333334,0.05588277587865261,98.43333333333334,0.15283934155963017,128,128,352.12159538269043,0.0772064927224628,
9,0.007379061082031542,89.90833333333333,0.0508846147382196,98.5,0.0508846147382196,98.5,0.2901658776032938,128,128,400.87026047706604,0.07606263575057756,
10,0.0049258965476950125,89.95833333333333,0.052090560700348086,98.46666666666667,0.052090560700348086,98.46666666666667,0.06579428945155004,128,128,457.04357051849365,0.07478007461170254,0.01844538003206253
11,0.0036651423331725266,89.985,0.05415333687585402,98.45,0.05415333687585402,98.45,0.28020717529198097,128,128,500.98330307006836,0.07336387098870642,
12,0.002858767729810929,89.99166666666666,0.05256824488652513,98.56666666666666,0.05256824488652513,98.56666666666666,0.07158310167292092,128,128,543.5616192817688,0.07181961399028729,
13,0.0023014477789440628,89.99666666666667,0.053692355345776106,98.51666666666667,0.053692355345776106,98.51666666666667,0.044219572642691114,128,128,586.6040251255035,0.07015339809331397,
14,0.0019507300833784158,89.99666666666667,0.05249866317125394,98.51666666666667,0.05249866317125394,98.51666666666667,0.16958972435352848,128,128,631.1843719482422,0.06837179909071021,
15,0.0017058332212064062,89.99833333333333,0.05321516783194656,98.53333333333333,0.05321516783194656,98.53333333333333,0.01828090755516051,128,128,674.4999959468842,0.06648184813980411,
16,0.001540937582822627,89.99833333333333,0.05439469268783293,98.5,0.05439469268783293,98.5,0.06908591634716578,128,128,716.8529374599457,0.06449100401356243,
17,0.0014188255492230365,90.0,0.05397840183069731,98.55,0.05397840183069731,98.55,0.05625809324129377,128,128,757.4243655204773,0.062407123664221284,
18,0.001292649985504032,90.0,0.05427826951911792,98.5,0.05427826951911792,98.5,0.04186570524009552,128,128,800.3531467914581,0.06023843121548516,
19,0.0012008588351016883,90.0,0.05564742804841792,98.53333333333333,0.05564742804841792,98.53333333333333,0.12940422925766767,128,128,839.5310323238373,0.05799348550566789,
20,0.0011326165623139143,90.0,0.055026517913458826,98.53333333333333,0.055026517913458826,98.53333333333333,0.027755790871989258,128,128,891.3790669441223,0.05568114630986797,0.0008894264465197921
21,0.0010641423664116455,90.0,0.05483256522169773,98.51666666666667,0.062353554020486215,98.18,0.030838127423727928,128,128,932.1711182594299,0.05331053937448393,
