dimension,optimizer,seed,final_loss,iterations,converged,run_status,converged_epoch,converged_iteration
100,SGD,42,9.76540945885063e-07,355,True,converged,354.0,354.0
100,SGD,123,9.652254675529548e-07,358,True,converged,357.0,357.0
100,SGD,456,9.762491117726313e-07,350,True,converged,349.0,349.0
100,SGD,789,9.685962822914007e-07,349,True,converged,348.0,348.0
100,SGD,1011,9.880517382043763e-07,350,True,converged,349.0,349.0
100,SGD,1213,9.891487025015522e-07,354,True,converged,353.0,353.0
100,SGD,1415,9.750730214364012e-07,355,True,converged,354.0,354.0
100,SGD,1617,9.907100775308209e-07,351,True,converged,350.0,350.0
100,SGD,1819,9.894388313114175e-07,357,True,converged,356.0,356.0
100,SGD,2021,9.857859595285845e-07,353,True,converged,352.0,352.0
100,Adam,42,9.143730039795628e-07,125,True,converged,124.0,124.0
100,Adam,123,9.60604097599571e-07,128,True,converged,127.0,127.0
100,Adam,456,8.915320677260752e-07,129,True,converged,128.0,128.0
100,Adam,789,8.479025268570695e-07,125,True,converged,124.0,124.0
100,Adam,1011,9.885513918561628e-07,124,True,converged,123.0,123.0
100,Adam,1213,9.126578675022756e-07,130,True,converged,129.0,129.0
100,Adam,1415,9.601945976100978e-07,129,True,converged,128.0,128.0
100,Adam,1617,9.425909865967695e-07,128,True,converged,127.0,127.0
100,Adam,1819,8.721043514015037e-07,128,True,converged,127.0,127.0
100,Adam,2021,9.764208925844289e-07,129,True,converged,128.0,128.0
100,SAM_SGD,42,9.2284034280965e-07,153,True,converged,152.0,152.0
100,SAM_SGD,123,9.01853880463932e-08,159,True,converged,158.0,158.0
100,SAM_SGD,456,5.527908228941669e-07,153,True,converged,152.0,152.0
100,SAM_SGD,789,1.6317477147254067e-08,152,True,converged,151.0,151.0
100,SAM_SGD,1011,3.154351873035921e-07,151,True,converged,150.0,150.0
100,SAM_SGD,1213,2.0136596390329947e-07,156,True,converged,155.0,155.0
100,SAM_SGD,1415,1.3164848766678006e-08,157,True,converged,156.0,156.0
100,SAM_SGD,1617,1.94298579003771e-07,154,True,converged,153.0,153.0
100,SAM_SGD,1819,6.553532898578851e-07,158,True,converged,157.0,157.0
100,SAM_SGD,2021,2.7975787020295684e-07,157,True,converged,156.0,156.0
200,SGD,42,9.71525878412649e-07,370,True,converged,369.0,369.0
200,SGD,123,9.733104207043652e-07,373,True,converged,372.0,372.0
200,SGD,456,9.880045581667218e-07,371,True,converged,370.0,370.0
200,SGD,789,9.887299938782237e-07,367,True,converged,366.0,366.0
200,SGD,1011,9.74519366536697e-07,368,True,converged,367.0,367.0
200,SGD,1213,9.8218504263059e-07,376,True,converged,375.0,375.0
200,SGD,1415,9.657984492150715e-07,376,True,converged,375.0,375.0
200,SGD,1617,9.836255685513606e-07,369,True,converged,368.0,368.0
200,SGD,1819,9.82449705588806e-07,370,True,converged,369.0,369.0
200,SGD,2021,9.939672054315452e-07,367,True,converged,366.0,366.0
200,Adam,42,9.73867940956552e-07,131,True,converged,130.0,130.0
200,Adam,123,9.95178879747982e-07,134,True,converged,133.0,133.0
200,Adam,456,8.873333285919216e-07,136,True,converged,135.0,135.0
200,Adam,789,9.430569321011716e-07,132,True,converged,131.0,131.0
200,Adam,1011,9.424148856851388e-07,131,True,converged,130.0,130.0
200,Adam,1213,8.90550381882349e-07,137,True,converged,136.0,136.0
200,Adam,1415,9.537753840049843e-07,137,True,converged,136.0,136.0
200,Adam,1617,9.732162880027315e-07,132,True,converged,131.0,131.0
200,Adam,1819,9.711233133202768e-07,133,True,converged,132.0,132.0
200,Adam,2021,9.911815368468524e-07,134,True,converged,133.0,133.0
200,SAM_SGD,42,9.21335811199242e-07,169,True,converged,168.0,168.0
200,SAM_SGD,123,4.374246600491461e-07,173,True,converged,172.0,172.0
200,SAM_SGD,456,1.9770205028635249e-07,173,True,converged,172.0,172.0
200,SAM_SGD,789,6.827131642239692e-07,168,True,converged,167.0,167.0
200,SAM_SGD,1011,6.993484475970035e-07,168,True,converged,167.0,167.0
200,SAM_SGD,1213,2.3012809435840612e-08,177,True,converged,176.0,176.0
200,SAM_SGD,1415,6.17409796177526e-07,175,True,converged,174.0,174.0
200,SAM_SGD,1617,2.964704890473513e-07,170,True,converged,169.0,169.0
200,SAM_SGD,1819,4.9306883909139294e-08,172,True,converged,171.0,171.0
200,SAM_SGD,2021,4.279943510709927e-08,170,True,converged,169.0,169.0
