epoch,train_loss,train_acc,test_loss,test_acc,optimizer,elapsed_seconds
1,1.3437117730458576,54.708333333333336,0.7807499882698059,77.79,Adam,1
2,0.6022168732325236,82.34166666666667,0.4225955553054809,88.29,Adam,2
3,0.3759089493433634,88.87666666666667,0.2794028374195099,91.93,Adam,3
4,0.2913324234485626,91.25666666666666,0.2283617451310158,93.22,Adam,4
5,0.2420282090584437,92.75,0.2021920048832893,93.9,Adam,5
6,0.2254388352592786,93.18833333333332,0.171136360579729,95.02,Adam,6
7,0.1986479224443435,93.85166666666667,0.1691948745429516,94.75,Adam,7
8,0.1770156135082244,94.58833333333334,0.1512606914341449,95.38,Adam,8
9,0.1671906228701273,94.88833333333334,0.1421463745653629,95.78,Adam,9
10,0.1532798647721608,95.36166666666666,0.1539930930376052,95.38,Adam,10
