epoch,train_loss,train_acc,test_loss,test_acc,optimizer,elapsed_seconds
1,1.2090108899116516,60.36666666666667,0.584203236579895,83.34,Adam,1
2,0.4403450683752696,87.04,0.3166989785909653,90.78,Adam,2
3,0.3089211313645045,90.67666666666666,0.278784621810913,90.66,Adam,3
4,0.2516785669167836,92.22833333333334,0.234784434390068,93.27,Adam,4
5,0.2178215164065361,93.39666666666666,0.2046784873485565,93.48,Adam,5
6,0.1973033084630966,93.98833333333332,0.1677507024168968,94.71,Adam,6
7,0.1737782775878906,94.72833333333334,0.1412477506399154,95.74,Adam,7
8,0.1610327569246292,95.03166666666668,0.1499401463001966,95.32,Adam,8
9,0.1497537670453389,95.445,0.1336210604667663,95.77,Adam,9
10,0.1366307264049848,95.84,0.1379330008566379,95.69,Adam,10
