epoch,train_loss,train_acc,test_loss,test_acc,optimizer,elapsed_seconds
1,1.115766329272588,63.61666666666667,0.5259812962055206,85.26,Adam,1
2,0.4136956178983053,87.86166666666666,0.2887989703774452,91.96,Adam,2
3,0.2752762236674627,91.72333333333331,0.2106436702370643,94.09,Adam,3
4,0.2161381776968638,93.58333333333331,0.1703964646935463,95.18,Adam,4
5,0.1896960346380869,94.22333333333331,0.1506609715342521,95.58,Adam,5
6,0.1681739746967951,94.85666666666668,0.1388505646526813,95.91,Adam,6
7,0.1532244403640429,95.375,0.1392211064189672,95.7,Adam,7
8,0.1409231182654698,95.64,0.1201692336738109,96.33,Adam,8
9,0.1318797374327977,95.90333333333334,0.1209682316452264,96.35,Adam,9
10,0.1253425367474556,96.12833333333332,0.1041152917832136,96.77,Adam,10
