epoch,train_loss,train_acc,test_loss,test_acc,optimizer,elapsed_seconds
1,1.1984172357877096,58.74,0.5416231651306153,83.4,SGD,1
2,0.4664390319347382,85.49666666666667,0.3238036186218261,89.61,SGD,2
3,0.2909738228480021,91.13666666666668,0.2420210094690323,92.33,SGD,3
4,0.2390686287720998,92.66166666666666,0.1827689187169075,94.52,SGD,4
5,0.2052118758002917,93.64166666666668,0.1768745860934257,94.51,SGD,5
6,0.1750027188658714,94.615,0.1588623482823372,95.22,SGD,6
7,0.1631040199359258,94.94,0.1334218453764915,95.91,SGD,7
8,0.1482450643380483,95.43333333333334,0.1443684853941202,95.37,SGD,8
9,0.1428479355454444,95.57333333333334,0.1577037373006344,95.3,SGD,9
10,0.1316440331657727,96.03333333333332,0.1409964049041271,95.6,SGD,10
