epoch,train_loss,train_acc,test_loss,test_acc,optimizer,elapsed_seconds
1,1.832686634381612,27.68,1.562328625679016,37.21,Adam,1
2,1.536200863901774,39.56333333333333,1.492181358909607,39.55,Adam,2
3,1.314624304707845,49.833333333333336,1.0890285367965695,59.98,Adam,3
4,1.0253588395118711,62.845,0.8987385138511658,68.54,Adam,4
5,0.823327387269338,71.705,0.6842310435295105,76.4,Adam,5
6,0.6802283684889475,77.25,0.612573391008377,79.99,Adam,6
7,0.5913676652590434,80.47333333333333,0.5288267724514008,82.54,Adam,7
8,0.516225430949529,83.05166666666666,0.4634486385345459,84.48,Adam,8
9,0.468987332868576,84.66666666666667,0.4021244402408599,87.36,Adam,9
10,0.421344852177302,86.49,0.4132274680137634,86.67,Adam,10
