epoch,train_loss,train_acc,test_loss,test_acc,optimizer,elapsed_seconds
1,1.8295879700342808,29.668333333333333,1.4873648654937743,40.21,Adam,1
2,1.4080502154032388,45.86833333333333,1.2391942037582395,51.38,Adam,2
3,1.0752996832529704,61.72666666666667,0.9008705857276916,67.6,Adam,3
4,0.7883203221321106,72.935,0.6532380769729614,77.42,Adam,4
5,0.6202224755922954,78.91666666666667,0.5870768146038056,79.23,Adam,5
6,0.5206964914162954,82.45166666666667,0.4993092936515808,83.36,Adam,6
7,0.4499407424926758,85.26333333333334,0.413448833322525,86.53,Adam,7
8,0.404973936955134,86.825,0.3750489479541778,88.08,Adam,8
9,0.3603973935763041,88.33,0.3240512201309204,89.69,Adam,9
10,0.3297940979162852,89.54333333333334,0.3031271841049194,90.34,Adam,10
