epoch,train_loss,train_acc,test_loss,test_acc
1,1.8234010318120322,28.235,1.5439407510757446,37.68
2,1.5251999470392863,40.22833333333333,1.4765002727508545,40.56
3,1.3039313079198203,50.653333333333336,1.0854264330863952,61.76
4,1.0066352410634358,64.24,0.8485977033615112,71.02
5,0.7965632794380187,72.85333333333334,0.6547731143474579,77.58
6,0.6543835464954376,78.095,0.5656350092887878,81.68
7,0.5649932177225748,81.31166666666667,0.48786363682746886,84.4
8,0.49427001264890036,83.79666666666667,0.4437579045772552,85.59
9,0.44868224550882974,85.49333333333334,0.3856874940395355,88.06
10,0.4109848259290059,86.815,0.3991507176876068,87.32
