epoch,train_loss,train_acc,test_loss,test_acc,optimizer,elapsed_seconds
1,2.302147831853231,10.856666666666667,2.3016356346130373,11.35,SGD,1
2,2.301547318394979,11.236666666666666,2.301255997085572,11.35,SGD,2
3,2.3013194423675536,11.236666666666666,2.301115679931641,11.35,SGD,3
4,2.301235906855265,11.236666666666666,2.301054542541504,11.35,SGD,4
5,2.301207139460246,11.236666666666666,2.301034824371338,11.35,SGD,5
6,2.301196987533569,11.236666666666666,2.30102759513855,11.35,SGD,6
7,2.301193871943156,11.236666666666666,2.301023401260376,11.35,SGD,7
8,2.3011900732676187,11.236666666666666,2.301023231506348,11.35,SGD,8
9,2.301188754781087,11.236666666666666,2.301010791015625,11.35,SGD,9
10,2.301189897282918,11.236666666666666,2.301008543395996,11.35,SGD,10
