epoch,train_loss,train_acc,test_loss,test_acc,optimizer,elapsed_seconds
1,1.5411302129745483,42.876666666666665,1.0443777494430542,65.35,Adam,1
2,0.8435030177752177,72.46833333333333,0.589559827709198,82.34,Adam,2
3,0.5454837893486023,82.9,0.4522387321949005,85.69,Adam,3
4,0.4168956814130147,86.95833333333333,0.3193454417943954,90.27,Adam,4
5,0.3389894796530405,89.50666666666666,0.2647361183643341,91.59,Adam,5
6,0.2937102152824402,90.88333333333334,0.2634371549963951,91.77,Adam,6
7,0.2585259177287419,91.955,0.2105874711036682,93.57,Adam,7
8,0.2323552157799402,92.87666666666668,0.2077802363634109,93.72,Adam,8
9,0.210929081082344,93.51,0.1793420495271682,94.73,Adam,9
10,0.1948003115733464,93.96166666666667,0.1820829843997955,94.62,Adam,10
