epoch,train_loss,train_acc,test_loss,test_acc,optimizer,elapsed_seconds
1,2.1219979331970213,20.95833333333333,1.6675872856140137,34.85,SGD,1
2,1.4475492627779645,45.32833333333333,1.3038024517059326,48.74,SGD,2
3,0.9442881895701092,66.49,0.7013683376312256,75.39,SGD,3
4,0.5555315343062083,82.27833333333334,0.3695804418563843,88.21,SGD,4
5,0.3762987016359965,88.17,0.263068790268898,91.77,SGD,5
6,0.3043858291943868,90.525,0.3162944995999336,89.46,SGD,6
7,0.2497725415468216,92.33166666666666,0.186908272588253,94.18,SGD,7
8,0.217183687488238,93.27666666666669,0.1678395066857338,94.8,SGD,8
9,0.1936570214907328,94.07666666666668,0.1658907287478447,94.71,SGD,9
10,0.1766962160189946,94.65666666666668,0.1436548627495765,95.93,SGD,10
