epoch,train_loss,train_acc,test_loss,test_acc,optimizer,elapsed_seconds
1,1.397421600564321,51.725,0.7872850663185119,75.01,Adam,1
2,0.6103794987519582,81.38166666666666,0.4079780246734619,88.19,Adam,2
3,0.3941492113272349,87.96666666666667,0.3901144673347473,87.31,Adam,3
4,0.3076960250695546,90.64666666666666,0.2569404937148094,92.49,Adam,4
5,0.2557011451562245,92.18,0.2086928224980831,93.53,Adam,5
6,0.2217483534495035,93.27,0.2645921319454908,91.29,Adam,6
7,0.2042353121678034,93.805,0.1719543389081955,94.86,Adam,7
8,0.1834030395269394,94.385,0.1563595019608736,95.41,Adam,8
9,0.1640955049753189,95.18333333333334,0.1545593746483326,95.18,Adam,9
10,0.1543842360417048,95.35166666666667,0.1704838890880346,94.53,Adam,10
