epoch,train_loss,train_acc,test_loss,test_acc,optimizer,elapsed_seconds
1,1.7932602017084758,34.53,1.2303529081344604,51.75,SGD,1
2,0.913295656045278,68.92333333333333,0.746657931137085,74.28,SGD,2
3,0.483389377339681,84.75,0.424975025844574,86.1,SGD,3
4,0.3210236191908518,90.01333333333334,0.2312796631097793,93.02,SGD,4
5,0.2532123559792836,92.24833333333332,0.2213156412124634,93.43,SGD,5
6,0.2137838526010513,93.39166666666668,0.1650415830373764,95.04,SGD,6
7,0.1855268883665402,94.38,0.1489983435630798,95.47,SGD,7
8,0.1760537327607472,94.59833333333331,0.1656137193858623,94.94,SGD,8
9,0.1601903689225514,95.07833333333332,0.1280181059837341,96.25,SGD,9
10,0.1471744037310282,95.47166666666666,0.1247834040254354,96.02,SGD,10
