epoch,train_loss,train_acc,test_loss,test_acc
1,1.776364932568868,35.94833333333333,1.1802865568161012,56.3
2,0.8510718077659607,71.95833333333333,0.49840111646652224,85.26
3,0.4589529553572337,85.73833333333333,0.36165351729393,89.14
4,0.3097231918891271,90.48833333333333,0.21614710202217102,93.39
5,0.2496592426776886,92.35333333333334,0.23239655225276948,93.11
6,0.20752977453072866,93.61333333333333,0.2207195921421051,92.79
7,0.18985878219604493,94.26,0.17951174879670143,94.36
8,0.17113914047082265,94.73,0.1707566809296608,94.53
9,0.15908529269297916,95.09,0.1362185683131218,95.65
10,0.14511271394689879,95.565,0.1362685209363699,95.69
