epoch,train_loss,train_acc,test_loss,test_acc,optimizer,elapsed_seconds
1,2.2762684096018475,16.783333333333335,2.244532540130616,19.74,SGD,1
2,2.194379703140259,22.14,2.112230572891235,26.19,SGD,2
3,2.013563202857972,28.625,1.905569865036011,33.03,SGD,3
4,1.835764292462667,34.44833333333333,1.71809542427063,37.71,SGD,4
5,1.652432871055603,40.19166666666667,1.5424655166625976,44.6,SGD,5
6,1.5141060495376586,45.653333333333336,1.4059043365478516,50.86,SGD,6
7,1.3845741380691527,51.98333333333333,1.2544633918762207,57.88,SGD,7
8,1.2460551825205486,57.925,1.1432812660217284,59.21,SGD,8
9,1.1494920962651571,60.513333333333335,1.0169426287651062,66.28,SGD,9
10,1.0866269847869874,62.74666666666667,1.1167919204711914,57.26,SGD,10
