epoch,train_loss,train_acc,test_loss,test_acc,optimizer,elapsed_seconds
1,1.7987053003311158,34.10333333333333,1.2242216522216798,54.16,SGD,1
2,0.8424848138809204,72.07833333333333,0.4698260694503784,85.81,SGD,2
3,0.4536786983648936,85.69,0.4950288445949554,83.12,SGD,3
4,0.328857826089859,89.80666666666667,0.2549778278112412,92.28,SGD,4
5,0.2694842073917389,91.77833333333334,0.270450131547451,91.31,SGD,5
6,0.2278134594599405,93.07833333333332,0.2477549032866954,91.87,SGD,6
7,0.203518395447731,93.71166666666667,0.1548236986041069,95.23,SGD,7
8,0.1804379986921946,94.43833333333332,0.1366769344091415,95.97,SGD,8
9,0.1614377414862315,95.14,0.1567442691624164,95.04,SGD,9
10,0.153046153306961,95.36,0.12873307005167,96.04,SGD,10
