epoch,train_loss,train_acc,test_loss,test_acc
1,2.28285051612854,12.59,2.2599943252563475,17.17
2,2.230499376296997,20.813333333333333,2.1859798080444337,24.45
3,2.111239590072632,26.346666666666668,1.999523372077942,30.02
4,1.8985319246292114,33.56666666666667,1.7673599601745607,35.23
5,1.676580938911438,40.735,1.5454752588272094,45.17
6,1.4985865585962932,46.89666666666667,1.3828147590637208,49.07
7,1.3605203856786092,52.095,1.2636525566101073,54.05
8,1.2470707666397094,56.135,1.1306696766853332,59.29
9,1.1783827896753947,58.185,1.1076501810073853,57.86
10,1.1129544902165731,60.64833333333333,1.0190682697296143,62.76
