epoch,train_loss,train_acc,test_loss,test_acc,optimizer,elapsed_seconds
1,2.282661010487874,13.671666666666669,2.2616339881896974,18.94,SGD,1
2,2.227515446472168,23.71,2.1789395320892333,25.26,SGD,2
3,2.0932776800791424,27.26,1.9872524490356445,27.87,SGD,3
4,1.905042708396912,32.51166666666666,1.7946093009948731,35.94,SGD,4
5,1.71478755569458,38.10333333333333,1.6021700466156006,41.96,SGD,5
6,1.5671416377385456,42.443333333333335,1.4836334001541138,42.94,SGD,6
7,1.4625330340067546,47.645,1.3878417985916138,49.94,SGD,7
8,1.3446034561157227,53.38333333333333,1.2357640104293823,58.0,SGD,8
9,1.2393957852045694,57.47666666666667,1.3008149229049684,48.72,SGD,9
10,1.1557792238235474,60.54166666666666,1.023203561592102,68.26,SGD,10
