epoch,train_acc,test_acc,train_loss,test_loss
1,89.61,85.8,0.3542711895942688,0.45703418374061583
2,91.26,87.2,0.29563716883659363,0.41413522362709043
3,92.85,88.9,0.24276426141262056,0.3635086772441864
4,94.08,89.7,0.2113560983002186,0.33913219714164733
5,94.64,89.55,0.18725084788799287,0.3256591477394104
6,94.91,90.1,0.17760997350215912,0.3141654827594757
7,95.72,90.3,0.1539853839278221,0.3008563494682312
8,96.17,90.35,0.13732894644141197,0.28799519848823546
9,96.33,90.55,0.1264298602581024,0.2886052136421204
10,96.12,90.85,0.1363725619673729,0.29436317682266233
