epoch,train_acc,test_acc,train_loss,test_loss
1,69.44,79.75,0.9912020648956299,0.6875031294822693
2,78.11,85.2,0.7216664402961731,0.5378008687496185
3,84.29,88.35,0.5335901319503784,0.41190180921554564
4,87.68,91.8,0.4226144568681717,0.33108740830421446
5,89.6,92.4,0.36440951352119444,0.2886076340675354
6,90.65,92.85,0.3369615490198135,0.2678784943819046
7,92.06,93.45,0.28915108716487886,0.23753961491584777
8,92.56,94.45,0.27519526143074036,0.2259422950744629
9,92.46,94.25,0.2607624857902527,0.2212262213230133
10,92.87,94.25,0.2505862056255341,0.21675847029685974
