epoch,train_acc,test_acc,train_loss,test_loss
1,90.33,86.8,0.3464433675527573,0.4521787428855896
2,92.61,88.35,0.26579791107177736,0.37641059613227845
3,93.9,89.75,0.21296088502407073,0.323054071187973
4,95.08,91.0,0.17918120992183686,0.2963239915370941
5,95.52,91.5,0.15708604596853257,0.2755029010772705
6,96.07,91.9,0.1345343096256256,0.2525209531784058
7,96.49,91.9,0.12597172033190726,0.24676731491088869
8,97.17,93.05,0.10555221952795982,0.22821872997283935
9,97.27,92.45,0.09823569767475128,0.22613916420936583
10,97.47,92.45,0.09193680891394615,0.22166151988506316
