epoch,train_acc,test_acc,train_loss,test_loss,optimizer
1,92.69,92.88,0.2586009043296178,0.251356508231163,GradientClip_0.5
2,95.07166666666669,94.83,0.1750868300398191,0.1776209866285324,GradientClip_0.5
3,96.31,95.8,0.1319498303850491,0.1397588182687759,GradientClip_0.5
4,97.07833333333332,96.39,0.105427381269137,0.1151575922012329,GradientClip_0.5
5,97.56666666666666,96.9,0.0866559272487958,0.0992262781575322,GradientClip_0.5
6,98.085,97.36,0.071326192176342,0.0892343939781189,GradientClip_0.5
7,98.27166666666666,97.39,0.0628171059608459,0.0861807966306805,GradientClip_0.5
8,98.58833333333334,97.68,0.0534525618299841,0.0786326804451644,GradientClip_0.5
9,98.81333333333332,97.92,0.0453165779173374,0.0727029523890465,GradientClip_0.5
10,99.00666666666666,98.02,0.0396740015814701,0.0698559732072055,GradientClip_0.5
11,99.14833333333333,97.9,0.0352156290600697,0.0705954592740163,GradientClip_0.5
12,99.23166666666668,98.01,0.0317302926495671,0.0679558735476806,GradientClip_0.5
13,99.285,98.07,0.029544359006981,0.0673296584360301,GradientClip_0.5
14,99.37833333333332,98.04,0.0263441132764021,0.064923281274829,GradientClip_0.5
15,99.52,98.11,0.0224435352961222,0.0627910850785672,GradientClip_0.5
