epoch,train_acc,test_acc,train_loss,test_loss
1,86.02,81.85,0.5051045909404754,0.6243902034759522
2,90.38,86.25,0.34812291755676267,0.4628764877319336
3,91.81,87.95,0.28919183745384214,0.40224783086776733
4,93.04,88.9,0.25681568430662155,0.3767273120880127
5,93.73,89.15,0.22917325239181519,0.3541349890232086
6,93.96,90.15,0.21295547664165496,0.33820728087425234
7,94.73,90.45,0.19036860805749894,0.31813515377044677
8,95.12,90.65,0.17399950284957885,0.30420609426498413
9,95.56,90.8,0.1578037649154663,0.2933949062824249
10,95.73,91.45,0.14974622500538826,0.2876723916530609
