epoch,train_acc,test_acc,train_loss,test_loss
1,89.53,86.15,0.6126749076843262,0.7321360530853271
2,92.61,88.45,0.5236135613441467,0.6388619232177735
3,94.16,89.8,0.4818758834838867,0.5974472041130066
4,95.17,91.0,0.4420126814842224,0.5572747507095337
5,95.93,91.65,0.4155374868392944,0.5337615990638733
6,96.39,91.75,0.3984278109550476,0.5145513467788696
7,96.98,92.5,0.3849317111492157,0.5045925393104553
8,97.35,92.9,0.3798230051040649,0.49611777544021607
9,97.67,93.05,0.35836060552597043,0.4807599983215332
10,97.85,93.6,0.3611968855857849,0.48056644225120543
