epoch,train_loss,train_acc,val_loss,val_acc,test_loss,test_acc,grad_norm,effective_batch_size,original_batch_size,elapsed_seconds,learning_rate,grad_noise_var
1,0.4062365476412796,79.32833333333333,0.20961197776099047,93.48333333333333,0.20961197776099047,93.48333333333333,0.5856874569538765,128,128,8.320640087127686,0.002482076244951997,
2,0.16389540533460148,85.68333333333334,0.15003617107868195,95.63333333333334,0.15003617107868195,95.63333333333334,0.3272312749123697,128,128,16.794564723968506,0.0024796518287579492,
3,0.11401124051396881,86.96166666666667,0.11985026439651847,96.65,0.11985026439651847,96.65,0.5213137841911912,128,128,25.41048812866211,0.0024723881482389127,
4,0.08954229807013302,87.7,0.11595625073338549,96.96666666666667,0.11595625073338549,96.96666666666667,0.4996745653458918,128,128,34.43736004829407,0.002460313869823437,
5,0.07641502456536507,88.09,0.11001545377075672,97.41666666666667,0.11001545377075672,97.41666666666667,0.5343307541083594,128,128,42.81970930099487,0.002443476645172213,
6,0.06607773228243911,88.345,0.12382186747466524,97.2,0.12382186747466524,97.2,0.5753453305474272,128,128,51.17807698249817,0.002421942923118745,
7,0.059876595314821646,88.53666666666666,0.12469495072339971,97.03333333333333,0.12469495072339971,97.03333333333333,0.4987658741486239,128,128,60.12568402290344,0.002395797687426155,
8,0.05223070154787522,88.68,0.1396066021795074,97.35,0.1396066021795074,97.35,0.6512833880372563,128,128,68.60240054130554,0.0023651441213951,
9,0.048450172701144316,88.81833333333333,0.1357037074243029,97.21666666666667,0.1357037074243029,97.21666666666667,0.35399451456128317,128,128,77.05341219902039,0.0023301032006464223,
10,0.04338696175056258,88.96666666666667,0.14815989175500968,97.13333333333334,0.14815989175500968,97.13333333333334,0.28697509227985163,128,128,89.88743758201599,0.0022908132156856434,0.2342555820941925
11,0.042814232954111006,88.97333333333333,0.15361274879736206,97.43333333333334,0.15361274879736206,97.43333333333334,0.6900933816707502,128,128,99.04478931427002,0.0022474292261335164,
12,0.03829435968023429,89.14,0.16650249095012745,97.23333333333333,0.16650249095012745,97.23333333333333,0.29753657529231053,128,128,107.68139600753784,0.002200122448776544,
13,0.03533819097345827,89.16166666666666,0.1617056306762,97.25,0.1617056306762,97.25,0.3118631506151893,128,128,116.23710322380066,0.002149079581852543,
14,0.03411278959483149,89.24166666666666,0.1820212183520198,97.18333333333334,0.1820212183520198,97.18333333333334,0.799698317852375,128,128,125.1428291797638,0.002094502068237996,
15,0.0325209181242671,89.25333333333333,0.18611754787464937,97.06666666666666,0.18611754787464937,97.06666666666666,0.2018716997220041,128,128,133.82872915267944,0.0020366053004450438,
16,0.030467428614041146,89.325,0.20858472989251217,97.16666666666667,0.20858472989251217,97.16666666666667,0.4446928882567156,128,128,142.33812046051025,0.0019756177705656497,
17,0.028489407826153234,89.33666666666667,0.19650004602347812,97.4,0.19650004602347812,97.4,0.8838743388613852,128,128,150.94741082191467,0.0019117801685176938,
18,0.02673719060688359,89.385,0.21335352569197616,97.06666666666666,0.21335352569197616,97.06666666666666,0.6644862646839778,128,128,160.14431166648865,0.0018453444321518346,
19,0.027523803576397804,89.37,0.251662182311217,96.63333333333334,0.251662182311217,96.63333333333334,0.35952864064850104,128,128,168.68422889709473,0.0017765727529679065,
20,0.02767827422560857,89.395,0.23191593990971646,97.11666666666666,0.23191593990971646,97.11666666666666,0.8414677493283313,128,128,181.60039114952087,0.0017057365413648575,0.3503078520298004
21,0.022391208414343115,89.51,0.21925359700495997,97.56666666666666,0.21925359700495997,97.56666666666666,0.9347390962434996,128,128,190.5805368423462,0.001633115355507897,
22,0.02120388918217648,89.475,0.25176122939834994,97.11666666666666,0.25176122939834994,97.11666666666666,1.2227980178735829,128,128,199.05862092971802,0.0015589957980401395,
23,0.02114238859495254,89.50166666666667,0.26289900376771885,96.88333333333334,0.26289900376771885,96.88333333333334,0.9322963035785791,128,128,207.63042449951172,0.0014836703849929057,
24,0.020411813866346523,89.54333333333334,0.2764927053358406,97.1,0.2764927053358406,97.1,0.20431684146645057,128,128,216.1741075515747,0.0014074363913585842,
25,0.018788529183240817,89.54833333333333,0.27770633716136217,97.06666666666666,0.27770633716136217,97.06666666666666,0.949753400677645,128,128,225.2301721572876,0.0013305946778820509,
26,0.020217528569304342,89.52833333333334,0.2636910617972414,97.45,0.2636910617972414,97.45,0.6123472607610707,128,128,233.80198121070862,0.0012534485037007587,
27,0.018066153285005743,89.58,0.288572790256391,96.98333333333333,0.288572790256391,96.98333333333333,0.26322366125603297,128,128,242.42797303199768,0.0011763023295194666,
28,0.0164366686520018,89.64333333333333,0.2820927862388392,97.16666666666667,0.2820927862388392,97.16666666666667,0.878379245571246,128,128,250.82167673110962,0.0010994606160429337,
29,0.015219908141240288,89.65333333333334,0.30009055758515996,97.11666666666666,0.30009055758515996,97.11666666666666,0.883830401915811,128,128,259.7750709056854,0.0010232266224086122,
30,0.014237814888077974,89.67166666666667,0.3037230810150504,97.08333333333333,0.16848075670980042,97.45,1.2979552766186713,128,128,272.51546716690063,0.0009479012093613776,0.7145007252693176
