iteration,x,y,loss,grad_norm,lambda_min,lambda_max
0,1e-06,0.0,5e-13,0.004206284063023899,-1.0,1.0
1,-0.009998947612490752,-0.009999973320735787,-1.0256529046514704e-08,0.009994992751453909,-1.0,1.0
2,-0.004037516271975071,-0.010004154709996084,-4.189078690753668e-05,0.015502900252068248,-1.0,1.0
3,0.003767113838038805,-0.015878454570895838,-0.00011896708644562974,0.02639608999747009,-1.0,1.0
4,0.01103064584620005,-0.023209499086320362,-0.00020850285002680765,0.022436160511956703,-1.0,1.0
5,0.01229594696114127,-0.03138298370481802,-0.0004168506772728371,0.031058640632942943,-1.0,1.0
6,0.009641821706937476,-0.040150937954499505,-0.0007595665463988491,0.055099456970196414,-1.0,1.0
7,0.005236372521783875,-0.04891804230681907,-0.0011827776329724237,0.0454805254058756,-1.0,1.0
8,-0.0001030353994065274,-0.05810011576771921,-0.0016878064179644216,0.0711429203085548,-1.0,1.0
9,-0.0030688110452345486,-0.06746905660448675,-0.002271327998934042,0.05512895793480751,-1.0,1.0
10,-0.00536246471310404,-0.07711836530917904,-0.0029592431200803513,0.07729953491307896,-1.0,1.0
11,-0.007073390681492176,-0.08700228959200798,-0.0037596827692593,0.08903053155352884,-1.0,1.0
12,-0.005972762732703639,-0.09709760633565245,-0.004696135630726081,0.08620843982689017,-1.0,1.0
13,-0.0036179066750969906,-0.10739471498527649,-0.00576026777902953,0.11224978822582898,-1.0,1.0
14,-0.0031508987722632257,-0.11786330987132816,-0.006940915825375837,0.1380276529081571,-1.0,1.0
15,-0.0010625063413811204,-0.12847166820052133,-0.008251920305249684,0.13233999822368409,-1.0,1.0
16,0.0007077837617399196,-0.1392582920091936,-0.009696185467732224,0.14601470358484642,-1.0,1.0
17,0.002236657001722198,-0.15021592903815653,-0.011279911351126564,0.14419250985340407,-1.0,1.0
18,0.004374387754348867,-0.16132796920822493,-0.013003789190312287,0.16237825137636355,-1.0,1.0
19,0.003661076493359422,-0.17259735590908598,-0.014888221892858735,0.18154649965580236,-1.0,1.0
20,0.0014235240749842669,-0.18402660081784197,-0.016931881693888647,0.17090003268988613,-1.0,1.0
21,-0.00032364097299063385,-0.19558202218811513,-0.01912611132985648,0.19416938602693337,-1.0,1.0
22,-0.0017584794721602248,-0.20728398972546255,-0.021481780073225827,0.20770147096575511,-1.0,1.0
23,-0.0023764267915614315,-0.21913079672934682,-0.02400632933547133,0.22251709342725776,-1.0,1.0
24,-0.004276804494390261,-0.23112158893692789,-0.026699448908023515,0.22724825033354074,-1.0,1.0
25,-0.004759534324582613,-0.24324102966139594,-0.029571772671874608,0.24746450768249387,-1.0,1.0
26,-0.003492017466364382,-0.2554987759371063,-0.032633715159687125,0.2569192059605309,-1.0,1.0
27,-0.002887723487589009,-0.267886565288401,-0.03587743645753798,0.2625460860276422,-1.0,1.0
28,-0.0027443379568101323,-0.28038993312248595,-0.03930549160280548,0.28796788146164976,-1.0,1.0
29,-0.0029989864384422533,-0.2930279389630044,-0.04292818954662413,0.29801696046194753,-1.0,1.0
30,-0.002357079125914909,-0.305790276260806,-0.04675106861682712,0.3011544711561645,-1.0,1.0
31,-0.0017210345527617673,-0.31865711094431626,-0.050769696197723244,0.3374683336051212,-1.0,1.0
