epoch,train_loss,loss,test_loss,test_acc,val_acc,optimizer,elapsed_seconds
1,1.1166137157122291,1.1166137157122291,0.5357503383636475,87.52,87.52,SAM_rho_0.01,1
2,0.4683884280045827,0.4683884280045827,0.3899516005516052,89.46,89.46,SAM_rho_0.01,2
3,0.3816611210505167,0.3816611210505167,0.3401397457122803,90.5,90.5,SAM_rho_0.01,3
4,0.342809881957372,0.342809881957372,0.3122484071731567,91.24,91.24,SAM_rho_0.01,4
5,0.318171876446406,0.318171876446406,0.2932716519355774,91.79,91.79,SAM_rho_0.01,5
6,0.2997028657674789,0.2997028657674789,0.2787303576469421,92.19,92.19,SAM_rho_0.01,6
7,0.2847305282433828,0.2847305282433828,0.266696411705017,92.59,92.59,SAM_rho_0.01,7
8,0.271575312312444,0.271575312312444,0.2553403862953186,92.84,92.84,SAM_rho_0.01,8
9,0.2598448638518651,0.2598448638518651,0.2455261353969574,93.06,93.06,SAM_rho_0.01,9
10,0.2491549834648768,0.2491549834648768,0.236822965478897,93.27,93.27,SAM_rho_0.01,10
